appid,is_eligible,exclusion_reason,evaluated_at,appdetails_status,app_type,search_release_date,store_release_date_raw,store_release_date,release_date_status
2992700,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-30,"Jul 30, 2025",2025-07-30,exact_match
2992980,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-18,"Aug 18, 2025",2025-08-18,exact_match
2993320,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-03,"Jul 3, 2025",2025-07-03,exact_match
2993370,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-15,"Sep 15, 2025",2025-09-15,exact_match
2993990,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-06,"Nov 6, 2025",2025-11-06,exact_match
2994070,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-02,"Sep 2, 2025",2025-09-02,exact_match
2995100,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-18,"Sep 18, 2025",2025-09-18,exact_match
2995450,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-24,"Jul 24, 2025",2025-07-24,exact_match
2995560,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-23,"Oct 23, 2025",2025-10-23,exact_match
2995960,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-31,"Jul 31, 2025",2025-07-31,exact_match
2995990,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-18,"Sep 18, 2025",2025-09-18,exact_match
2996020,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-05,"Dec 5, 2025",2025-12-05,exact_match
2996290,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-23,"Aug 23, 2025",2025-08-23,exact_match
2996540,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-22,"Oct 22, 2025",2025-10-22,exact_match
2996810,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-30,"Sep 30, 2025",2025-09-30,exact_match
2996960,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-01,"Aug 1, 2025",2025-08-01,exact_match
2997780,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-10,"Dec 10, 2025",2025-12-10,exact_match
2997880,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-23,"Jul 23, 2025",2025-07-23,exact_match
2998130,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-24,"Sep 24, 2025",2025-09-24,exact_match
2998750,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-23,"Jul 23, 2025",2025-07-23,exact_match
2999060,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-22,"Oct 22, 2025",2025-10-22,exact_match
2999180,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-04,"Nov 4, 2025",2025-11-04,exact_match
2999220,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-12,"Jul 12, 2025",2025-07-12,exact_match
2999880,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-24,"Nov 24, 2025",2025-11-24,exact_match
3000020,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-09,"Oct 9, 2025",2025-10-09,exact_match
3001330,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-17,"Jul 17, 2025",2025-07-17,exact_match
3002070,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-17,"Nov 17, 2025",2025-11-17,exact_match
3002400,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-17,"Oct 17, 2025",2025-10-17,exact_match
3002560,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-30,"Jul 30, 2025",2025-07-30,exact_match
3002630,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-05,"Jul 5, 2025",2025-07-05,exact_match
3003050,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-14,"Aug 14, 2025",2025-08-14,exact_match
3003460,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-07,"Aug 7, 2025",2025-08-07,exact_match
3003730,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-10,"Aug 10, 2025",2025-08-10,exact_match
3004140,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-17,"Nov 17, 2025",2025-11-17,exact_match
3004260,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-10,"Jul 10, 2025",2025-07-10,exact_match
3004860,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-05,"Sep 5, 2025",2025-09-05,exact_match
