"term","profile_ci95_logit_lower","profile_ci95_logit_upper","profile_or_ci95_lower","profile_or_ci95_upper","status","failure_reason"
"(Intercept)",1.26786279169643,1.82132201123551,3.55325040528176,6.18002311179654,"PASS",""
"is_free",-4.58736456132846,-3.83496662020285,0.0101796508984747,0.0216020595305066,"PASS",""
"z_log1p_paid_price_component",0.065326706002226,0.299769639163892,1.06750772860157,1.34954788878559,"PASS",""
"z_days_since_release",-0.0954138788716789,0.112810755921855,0.90899664209928,1.11942006928318,"PASS",""
"platform_segmentWindows + macOS",-0.017082032829266,0.836823354463601,0.98306303788477,2.30902037491657,"PASS",""
"platform_segmentWindows + Linux",-0.401861775302045,0.502694875525643,0.669073221742947,1.6531703614815,"PASS",""
"platform_segmentWindows + macOS + Linux",0.238950239750127,1.24044394695023,1.26991534370678,3.45714791440343,"PASS",""
"genre_action",-0.109303348071325,0.348106054016566,0.896458437310008,1.41638245482328,"PASS",""
"genre_adventure",0.0118999492026825,0.466823779034255,1.01197103529197,1.59492032025223,"PASS",""
"genre_casual",-0.65188555752979,-0.205103529857193,0.521062356854519,0.814562980456804,"PASS",""
"genre_indie",-0.0554281360009263,0.427667447256275,0.946080010320494,1.5336759680014,"PASS",""
"genre_rpg",-0.259937423409068,0.299043379265786,0.771099837092923,1.34856812209909,"PASS",""
"genre_simulation",0.264195165465255,0.815540032121022,1.3023823515565,2.26039602926611,"PASS",""
"genre_strategy",-0.398233902267848,0.117993578557576,0.671504942762486,1.12523688570027,"PASS",""
