"comparison_id","same_rows","reduced_rank","full_rank","combined_rank","max_reduced_projection_residual","strictly_nested","formal_lrt_valid","lrt_deviance_difference","lrt_df_difference","lrt_p_value","conclusion"
"FULL_MARKET_LINEAR_VS_DF3_SPLINE",TRUE,14,16,16,4.23261122885614e-12,TRUE,TRUE,18.8413926329754,2,8.10295774299717e-05,"Reduced linear column space is contained in the frozen natural-spline column space"
"STEP6A_PAID_ONLY_LINEAR_VS_DF3_SPLINE",TRUE,13,15,15,1.97468451095998e-12,TRUE,TRUE,18.9363352181831,2,7.72728719418374e-05,"Reduced linear column space is contained in the frozen natural-spline column space"
