"check","n_flagged","details"
"glm_not_converged",0,"converged = TRUE"
"rank_deficient_model_matrix",0,"rank = 16 of 16"
"absolute_coefficient_gt_10_or_se_gt_10",0,"none"
"fitted_probability_below_1e_6",0,"Complete/quasi-separation heuristic"
"fitted_probability_above_1_minus_1e_6",0,"Complete/quasi-separation heuristic"
"categorical_zero_event_cell",0,"Raw categorical outcome cells"
"categorical_zero_non_event_cell",0,"Raw categorical outcome cells"
"glm_warning",0,"warning count = 0"
