"fitted_probability","false_positive_rate","true_positive_rate"
Inf,0,0
0.966261050083209,0,0.000446428571428571
0.965345171645244,0,0.000892857142857143
0.963757789334628,0,0.00133928571428571
0.963749209748393,0,0.00178571428571429
0.963561527217969,0,0.00223214285714286
0.962688981471531,0,0.00267857142857143
0.960479201501583,0,0.003125
0.959984742326225,0,0.00357142857142857
0.959971026774111,0,0.00401785714285714
0.959928576365602,0,0.00446428571428571
0.959496384796282,0,0.00491071428571429
0.957235268964727,0,0.00535714285714286
0.956816204044609,0,0.00580357142857143
0.95674725476125,0,0.00625
0.956551304615589,0,0.00669642857142857
0.954479559193985,0,0.00714285714285714
0.954347668897952,0,0.00758928571428571
0.954051351476598,0,0.00803571428571428
0.953477481937674,0,0.00848214285714286
0.953138088671288,0,0.00892857142857143
0.952703553957055,0,0.009375
0.952351632221362,0,0.00982142857142857
0.951662839912444,0,0.0102678571428571
0.951323722125784,0,0.0107142857142857
0.951084485900817,0,0.0111607142857143
0.950460434639642,0,0.0116071428571429
0.95027886621149,0,0.0120535714285714
0.950250043736521,0,0.0125
0.950235320534329,0,0.0129464285714286
0.950177446072575,0,0.0133928571428571
0.950176219529741,0,0.0138392857142857
0.949974552212613,0,0.0142857142857143
0.949808117155932,0,0.0147321428571429
0.949733018142666,0,0.0151785714285714
0.949031511487541,0,0.015625
0.948876261855345,0,0.0160714285714286
0.948764276727834,0,0.0165178571428571
0.947710012419582,0,0.0169642857142857
0.947659144472729,0,0.0174107142857143
0.947150456233755,0.00131926121372032,0.0174107142857143
0.947004103056099,0.00131926121372032,0.0178571428571429
0.946994268182098,0.00131926121372032,0.0183035714285714
0.94643077374373,0.00263852242744063,0.0183035714285714
0.946151336723229,0.00263852242744063,0.01875
0.946147350946687,0.00263852242744063,0.0191964285714286
0.945985619150778,0.00263852242744063,0.0196428571428571
0.945966404840275,0.00263852242744063,0.0200892857142857
0.945726656155429,0.00263852242744063,0.0205357142857143
0.945585169015304,0.00263852242744063,0.0209821428571429
0.945555119219087,0.00263852242744063,0.0214285714285714
0.945123245571774,0.00263852242744063,0.021875
0.94499708925145,0.00263852242744063,0.0223214285714286
0.944315081367699,0.00263852242744063,0.0227678571428571
0.943756076880403,0.00263852242744063,0.0232142857142857
0.943216926924765,0.00263852242744063,0.0236607142857143
0.942857893082564,0.00395778364116095,0.0236607142857143
0.942770293200811,0.00395778364116095,0.0241071428571429
0.942767694319221,0.00395778364116095,0.0245535714285714
0.942670333584767,0.00395778364116095,0.025
0.942268902631971,0.00395778364116095,0.0254464285714286
0.942040961155628,0.00395778364116095,0.0258928571428571
0.941888084238977,0.00395778364116095,0.0263392857142857
0.941680995269621,0.00527704485488127,0.0263392857142857
0.941261492091324,0.00527704485488127,0.0267857142857143
0.941161728993027,0.00527704485488127,0.0272321428571429
0.940806467030061,0.00527704485488127,0.0276785714285714
0.940583543291518,0.00527704485488127,0.028125
0.940255429172226,0.00527704485488127,0.0285714285714286
0.939679145429661,0.00659630606860158,0.0285714285714286
0.939491299342653,0.00659630606860158,0.0290178571428571
0.939179400641046,0.00659630606860158,0.0294642857142857
0.938611270441734,0.00659630606860158,0.0299107142857143
0.938403165423191,0.00659630606860158,0.0303571428571429
0.938273611391038,0.00659630606860158,0.0308035714285714
0.937512815884645,0.00659630606860158,0.03125
0.937362117144875,0.00659630606860158,0.0316964285714286
0.937239831183153,0.00659630606860158,0.0321428571428571
0.937034702564723,0.00659630606860158,0.0325892857142857
0.937015860502228,0.00659630606860158,0.0330357142857143
0.936866111676541,0.00659630606860158,0.0334821428571429
0.936759648731638,0.00659630606860158,0.0339285714285714
0.936631044826208,0.00659630606860158,0.034375
0.936572355594652,0.00659630606860158,0.0348214285714286
0.936569528568159,0.00659630606860158,0.0352678571428571
0.936520135977773,0.00659630606860158,0.0357142857142857
0.936311637751369,0.00659630606860158,0.0361607142857143
0.936199019751845,0.00659630606860158,0.0366071428571429
0.936031977827766,0.00659630606860158,0.0370535714285714
0.935987777413413,0.00659630606860158,0.0375
0.935913301322492,0.00659630606860158,0.0379464285714286
0.935701616095627,0.00659630606860158,0.0383928571428571
0.935518397208465,0.00659630606860158,0.0388392857142857
0.934706096023051,0.00659630606860158,0.0392857142857143
0.934500743051551,0.00659630606860158,0.0397321428571429
0.934077700032003,0.00659630606860158,0.0401785714285714
0.934057409699675,0.00659630606860158,0.040625
0.934037202557151,0.00659630606860158,0.0410714285714286
0.933983393855145,0.00659630606860158,0.0415178571428571
0.933720834150985,0.00659630606860158,0.0419642857142857
0.933715366738782,0.00659630606860158,0.0424107142857143
0.933690513743846,0.00659630606860158,0.0428571428571429
0.933672242554946,0.00659630606860158,0.0433035714285714
0.933611964304102,0.00659630606860158,0.04375
0.93356637560478,0.00659630606860158,0.0441964285714286
0.933547882912027,0.00659630606860158,0.0446428571428571
0.933399107203674,0.00659630606860158,0.0450892857142857
0.933284491641343,0.00659630606860158,0.0455357142857143
0.93320687692786,0.00659630606860158,0.0459821428571429
0.933046626240915,0.00659630606860158,0.0464285714285714
0.932630447882701,0.00659630606860158,0.046875
0.932540644393218,0.00659630606860158,0.0473214285714286
0.932517076560197,0.00659630606860158,0.0477678571428571
0.932394955389928,0.00659630606860158,0.0482142857142857
0.932028130212933,0.00659630606860158,0.0486607142857143
0.93151176055215,0.00659630606860158,0.0491071428571429
0.931279109439718,0.0079155672823219,0.0491071428571429
0.930950371388626,0.0079155672823219,0.0495535714285714
0.930828154590308,0.0079155672823219,0.05
0.930762621493735,0.0079155672823219,0.0504464285714286
0.930436071607401,0.00923482849604222,0.0504464285714286
0.930410403708315,0.0105540897097625,0.0504464285714286
0.930286463309623,0.0105540897097625,0.0508928571428571
0.930217320587072,0.0105540897097625,0.0513392857142857
0.93014213306274,0.0105540897097625,0.0517857142857143
0.930133019952845,0.0105540897097625,0.0522321428571429
0.930097892548064,0.0105540897097625,0.0526785714285714
0.929913494486807,0.0105540897097625,0.053125
0.929870752189128,0.0105540897097625,0.0535714285714286
0.929844768569858,0.0105540897097625,0.0540178571428571
0.929741791505537,0.0105540897097625,0.0544642857142857
0.929568850289727,0.0105540897097625,0.0549107142857143
0.92942222730231,0.0105540897097625,0.0553571428571429
0.929290775230362,0.0105540897097625,0.05625
0.929269231677924,0.0105540897097625,0.0566964285714286
0.929265591157983,0.0105540897097625,0.0571428571428571
0.928744986787164,0.0105540897097625,0.0575892857142857
0.928591087646107,0.0105540897097625,0.0580357142857143
0.928162656351858,0.0105540897097625,0.0584821428571429
0.928006088388491,0.0105540897097625,0.0589285714285714
0.927745286291496,0.0118733509234828,0.0589285714285714
0.927576976614573,0.0118733509234828,0.059375
0.927447104629321,0.0118733509234828,0.0598214285714286
0.927439497485725,0.0118733509234828,0.0602678571428571
0.92743332237624,0.0118733509234828,0.0607142857142857
0.92733227636892,0.0118733509234828,0.0611607142857143
0.92702452799873,0.0118733509234828,0.0616071428571429
0.92701465726538,0.0118733509234828,0.0620535714285714
0.926855676733985,0.0118733509234828,0.0625
0.926630041208148,0.0131926121372032,0.0625
0.926186153064046,0.0131926121372032,0.0629464285714286
0.926143690724958,0.0131926121372032,0.0633928571428571
0.92582915357597,0.0131926121372032,0.0638392857142857
0.925629175830859,0.0131926121372032,0.0642857142857143
0.925594503211051,0.0131926121372032,0.0647321428571429
0.925518628091253,0.0131926121372032,0.0651785714285714
0.925513366885017,0.0131926121372032,0.065625
0.925315683730407,0.0131926121372032,0.0660714285714286
0.925218779505106,0.0131926121372032,0.0665178571428571
0.925187106480473,0.0131926121372032,0.0669642857142857
0.925049898884147,0.0131926121372032,0.0674107142857143
0.925036780932478,0.0131926121372032,0.0678571428571429
0.924869152776024,0.0131926121372032,0.0683035714285714
0.924573037644361,0.0131926121372032,0.06875
0.924522638926626,0.0131926121372032,0.0691964285714286
0.92452112397863,0.0131926121372032,0.0696428571428571
0.924378153461476,0.0131926121372032,0.0700892857142857
0.924320191030866,0.0131926121372032,0.0705357142857143
0.92413402741927,0.0131926121372032,0.0709821428571429
0.924115523739599,0.0131926121372032,0.0714285714285714
0.924056985528768,0.0131926121372032,0.071875
0.923914661815034,0.0131926121372032,0.0723214285714286
0.923671819965044,0.0131926121372032,0.0727678571428571
0.923580472972835,0.0131926121372032,0.0732142857142857
0.923492503772221,0.0131926121372032,0.0736607142857143
0.923388212084495,0.0131926121372032,0.0741071428571429
0.923365018455837,0.0131926121372032,0.0745535714285714
0.923349666111517,0.0131926121372032,0.075
0.923314435630637,0.0145118733509235,0.075
0.923310857360399,0.0158311345646438,0.075
0.923263701850186,0.0158311345646438,0.0754464285714286
0.923258267603079,0.0158311345646438,0.0758928571428571
