"model_id","price_usd","price_support_region","predicted_probability","ci95_lower","ci95_upper","link_estimate","link_standard_error"
"PRICE_SPLINE_DF4_SENSITIVITY",0.49,"SPARSE_TAIL",0.766924578888076,0.633247289450065,0.862460657886985,1.19102636697536,0.329012763139084
"PRICE_SPLINE_DF4_SENSITIVITY",1.49251256281407,"CENTRAL_5_95",0.779944194589902,0.717951233667365,0.831509132518649,1.26534119658573,0.16889062165606
"PRICE_SPLINE_DF4_SENSITIVITY",2.49502512562814,"CENTRAL_5_95",0.787679224165961,0.72429536208539,0.839715971395283,1.31099270639231,0.176086694169768
"PRICE_SPLINE_DF4_SENSITIVITY",3.49753768844221,"CENTRAL_5_95",0.793077688952716,0.736439635952973,0.840185737002443,1.34357777138176,0.161244252104674
"PRICE_SPLINE_DF4_SENSITIVITY",4.50005025125628,"CENTRAL_5_95",0.801112122749421,0.746279314247718,0.846531673600825,1.39325968069994,0.160407913984229
"PRICE_SPLINE_DF4_SENSITIVITY",5.50256281407035,"CENTRAL_5_95",0.814803537035486,0.759849766855401,0.859507272944723,1.48152980176339,0.168203989845445
"PRICE_SPLINE_DF4_SENSITIVITY",6.50507537688442,"CENTRAL_5_95",0.830887377551995,0.779847142742086,0.872036130626886,1.59192936126773,0.166918139831813
"PRICE_SPLINE_DF4_SENSITIVITY",7.50758793969849,"CENTRAL_5_95",0.845634701386361,0.799451263413799,0.882742683334403,1.70076560888535,0.162195495560367
"PRICE_SPLINE_DF4_SENSITIVITY",8.51010050251256,"CENTRAL_5_95",0.85778496906578,0.815315303244853,0.891784662413797,1.79701323471808,0.159231676081842
"PRICE_SPLINE_DF4_SENSITIVITY",9.51261306532663,"CENTRAL_5_95",0.867157940485829,0.826825191353497,0.899241829396334,1.87606022903851,0.159578683384564
"PRICE_SPLINE_DF4_SENSITIVITY",10.5151256281407,"CENTRAL_5_95",0.873968489629841,0.834546215383779,0.905066219814153,1.93651236396155,0.162409183416245
"PRICE_SPLINE_DF4_SENSITIVITY",11.5176381909548,"CENTRAL_5_95",0.878732108413141,0.839499139335968,0.909409806909908,1.98047800423705,0.16631522846843
"PRICE_SPLINE_DF4_SENSITIVITY",12.5201507537688,"CENTRAL_5_95",0.882005502556752,0.842574328795849,0.9125848247193,2.01156030317232,0.17043774344423
"PRICE_SPLINE_DF4_SENSITIVITY",13.5226633165829,"CENTRAL_5_95",0.884165999301718,0.844319029179344,0.914842685175883,2.03248668928017,0.17437316530515
"PRICE_SPLINE_DF4_SENSITIVITY",14.525175879397,"CENTRAL_5_95",0.885472803622087,0.845079353357206,0.916376394484055,2.04530942599131,0.177958332488391
"PRICE_SPLINE_DF4_SENSITIVITY",15.5276884422111,"CENTRAL_5_95",0.88610918142963,0.845083381339729,0.917333113909786,2.05159991498002,0.181152126874801
"PRICE_SPLINE_DF4_SENSITIVITY",16.5302010050251,"CENTRAL_5_95",0.886208020229873,0.844486945904355,0.917825310000238,2.05257966618773,0.183972801514702
"PRICE_SPLINE_DF4_SENSITIVITY",17.5327135678392,"CENTRAL_5_95",0.885867850160741,0.843399881655448,0.917939592960211,2.04921080001647,0.186465231592993
"PRICE_SPLINE_DF4_SENSITIVITY",18.5352261306533,"CENTRAL_5_95",0.885163191401294,0.841901688959139,0.91774336466622,2.04225996018569,0.188683963551383
"PRICE_SPLINE_DF4_SENSITIVITY",19.5377386934673,"CENTRAL_5_95",0.884151417861322,0.840051241652171,0.917289704162734,2.03234432310804,0.190684593046504
"PRICE_SPLINE_DF4_SENSITIVITY",20.5402512562814,"SPARSE_TAIL",0.882877419816419,0.837893015092621,0.91662092859793,2.01996528833596,0.192519548247265
"PRICE_SPLINE_DF4_SENSITIVITY",21.5427638190955,"SPARSE_TAIL",0.881376839745274,0.835461208087733,0.915771188494019,2.00553352750229,0.19423620669881
"PRICE_SPLINE_DF4_SENSITIVITY",22.5452763819095,"SPARSE_TAIL",0.879678361624007,0.832782547704169,0.914768367550828,1.98938786557641,0.195876241937906
"PRICE_SPLINE_DF4_SENSITIVITY",23.5477889447236,"SPARSE_TAIL",0.877805358998271,0.829878245409183,0.913635482986796,1.97180969081599,0.197475606843339
"PRICE_SPLINE_DF4_SENSITIVITY",24.5503015075377,"SPARSE_TAIL",0.875777100331811,0.82676539127908,0.912391726389351,1.95303407701747,0.199064833523601
"PRICE_SPLINE_DF4_SENSITIVITY",25.5528140703518,"SPARSE_TAIL",0.873609643339953,0.823457966755664,0.911053244557884,1.93325845699556,0.200669476933014
"PRICE_SPLINE_DF4_SENSITIVITY",26.5553266331658,"SPARSE_TAIL",0.871316507344029,0.819967592492715,0.909633731120359,1.91264945052242,0.20231060974332
"PRICE_SPLINE_DF4_SENSITIVITY",27.5578391959799,"SPARSE_TAIL",0.868909184873596,0.816304088338877,0.908144879491174,1.89134828622311,0.204005320000051
"PRICE_SPLINE_DF4_SENSITIVITY",28.560351758794,"SPARSE_TAIL",0.866397535287488,0.812475897517515,0.906596733499071,1.86947514152905,0.205767187184281
"PRICE_SPLINE_DF4_SENSITIVITY",29.562864321608,"SPARSE_TAIL",0.863790090728801,0.808490410909564,0.904997961943214,1.8471326423774,0.207606725395661
"PRICE_SPLINE_DF4_SENSITIVITY",30.5653768844221,"SPARSE_TAIL",0.86109429619091,0.804354216689425,0.90335607617021,1.82440870475891,0.209531789377631
"PRICE_SPLINE_DF4_SENSITIVITY",31.5678894472362,"SPARSE_TAIL",0.858316699534287,0.800073293402225,0.901677604632244,1.80137885664281,0.211547942748256
"PRICE_SPLINE_DF4_SENSITIVITY",32.5704020100503,"SPARSE_TAIL",0.855463103109569,0.795653159671029,0.899968234685515,1.7781081466054,0.213658789607085
"PRICE_SPLINE_DF4_SENSITIVITY",33.5729145728643,"SPARSE_TAIL",0.852538685656381,0.79109899031165,0.898232929203247,1.75465272145402,0.215866271514338
"PRICE_SPLINE_DF4_SENSITIVITY",34.5754271356784,"SPARSE_TAIL",0.84954810099187,0.786415706217088,0.896476023620227,1.73106113703462,0.218170932158542
"PRICE_SPLINE_DF4_SENSITIVITY",35.5779396984925,"SPARSE_TAIL",0.846495558429624,0.781608043633216,0.894701307593318,1.70737545265676,0.220572152101379
"PRICE_SPLINE_DF4_SENSITIVITY",36.5804522613065,"SPARSE_TAIL",0.843384888709756,0.776680607171615,0.892912094411373,1.6836321490348,0.223068355950488
"PRICE_SPLINE_DF4_SENSITIVITY",37.5829648241206,"SPARSE_TAIL",0.840219598357474,0.771637909954555,0.891111280515638,1.65986290151452,0.225657194230074
"PRICE_SPLINE_DF4_SENSITIVITY",38.5854773869347,"SPARSE_TAIL",0.837002914738891,0.766484403566845,0.889301396923713,1.63609523403449,0.228335702125836
"PRICE_SPLINE_DF4_SENSITIVITY",39.5879899497487,"SPARSE_TAIL",0.833737823591532,0.761224499935452,0.887484653932141,1.61235307432659,0.231100437185881
"PRICE_SPLINE_DF4_SENSITIVITY",40.5905025125628,"SPARSE_TAIL",0.830427100431816,0.755862586826575,0.885662980164963,1.58865722696583,0.233947597964935
"PRICE_SPLINE_DF4_SENSITIVITY",41.5930150753769,"SPARSE_TAIL",0.827073336953136,0.750403038310264,0.883838056808445,1.5650257777935,0.23687312550362
"PRICE_SPLINE_DF4_SENSITIVITY",42.595527638191,"SPARSE_TAIL",0.823678963304423,0.744850221273127,0.882011347704171,1.54147444077962,0.239872789435799
"PRICE_SPLINE_DF4_SENSITIVITY",43.598040201005,"SPARSE_TAIL",0.820246266964544,0.739208498844275,0.880184125847494,1.5180168564204,0.242942260413486
"PRICE_SPLINE_DF4_SENSITIVITY",44.6005527638191,"SPARSE_TAIL",0.816777408790797,0.733482231426947,0.878357496744269,1.4946648491803,0.246077170430278
"PRICE_SPLINE_DF4_SENSITIVITY",45.6030653266332,"SPARSE_TAIL",0.813274436711442,0.727675775889442,0.876532419007184,1.47142865020461,0.249273162511348
"PRICE_SPLINE_DF4_SENSITIVITY",46.6055778894472,"SPARSE_TAIL",0.809739297446124,0.721793483357411,0.874709722517506,1.44831709048482,0.25252593112219
"PRICE_SPLINE_DF4_SENSITIVITY",47.6080904522613,"SPARSE_TAIL",0.806173846569227,0.715839695959868,0.87289012443428,1.42533776880647,0.255831254531303
"PRICE_SPLINE_DF4_SENSITIVITY",48.6106030150754,"SPARSE_TAIL",0.80257985717592,0.709818742809413,0.871074243297558,1.40249719811049,0.259185020245958
"PRICE_SPLINE_DF4_SENSITIVITY",49.6131155778894,"SPARSE_TAIL",0.79895902736599,0.703734935439618,0.869262611442985,1.37980093332302,0.262583244526859
"PRICE_SPLINE_DF4_SENSITIVITY",50.6156281407035,"SPARSE_TAIL",0.795312986724338,0.697592562876583,0.867455685920326,1.35725368323322,0.266022086878682
"PRICE_SPLINE_DF4_SENSITIVITY",51.6181407035176,"SPARSE_TAIL",0.791643301947452,0.691395886485143,0.865653858087191,1.33485940860346,0.269497860310414
"PRICE_SPLINE_DF4_SENSITIVITY",52.6206532663317,"SPARSE_TAIL",0.787951481740981,0.685149134701169,0.863857462030573,1.31262140836761,0.273007038063143
"PRICE_SPLINE_DF4_SENSITIVITY",53.6231658291457,"SPARSE_TAIL",0.784238981093641,0.678856497738356,0.862066781952315,1.29054239549838,0.276546257414111
"PRICE_SPLINE_DF4_SENSITIVITY",54.6256783919598,"SPARSE_TAIL",0.780507205016225,0.672522122339701,0.860282058639859,1.26862456389448,0.280112321084745
"PRICE_SPLINE_DF4_SENSITIVITY",55.6281909547739,"SPARSE_TAIL",0.77675751182089,0.666150106629404,0.858503495130429,1.2468696474446,0.283702196707149
"PRICE_SPLINE_DF4_SENSITIVITY",56.6307035175879,"SPARSE_TAIL",0.772991216004523,0.659744495109474,0.856731261664877,1.2252789722619,0.287313014737927
"PRICE_SPLINE_DF4_SENSITIVITY",57.633216080402,"SPARSE_TAIL",0.769209590790536,0.6533092738362,0.854965500016708,1.20385350294451,0.290942065150005
"PRICE_SPLINE_DF4_SENSITIVITY",58.6357286432161,"SPARSE_TAIL",0.765413870375482,0.64684836580433,0.853206327272155,1.18259388360041,0.294586793181817
"PRICE_SPLINE_DF4_SENSITIVITY",59.6382412060302,"SPARSE_TAIL",0.761605251920222,0.640365626560947,0.851453839128497,1.1615004742752,0.298244794378347
"PRICE_SPLINE_DF4_SENSITIVITY",60.6407537688442,"SPARSE_TAIL",0.757784897319717,0.633864840066185,0.849708112770023,1.14057338333649,0.301913809119528
"PRICE_SPLINE_DF4_SENSITIVITY",61.6432663316583,"SPARSE_TAIL",0.753953934780751,0.627349714814018,0.847969209374069,1.1198124962956,0.305591716797824
"PRICE_SPLINE_DF4_SENSITIVITY",62.6457788944724,"SPARSE_TAIL",0.750113460232874,0.62082388022304,0.846237176293372,1.09921750148536,0.309276529777875
"PRICE_SPLINE_DF4_SENSITIVITY",63.6482914572864,"SPARSE_TAIL",0.746264538594352,0.614290883304333,0.844512048955376,1.07878791295905,0.312966387246407
"PRICE_SPLINE_DF4_SENSITIVITY",64.6508040201005,"SPARSE_TAIL",0.742408204912005,0.607754185611151,0.842793852514246,1.05852309092947,0.316659549039606
"PRICE_SPLINE_DF4_SENSITIVITY",65.6533165829146,"SPARSE_TAIL",0.738545465391294,0.601217160473019,0.841082603286968,1.03842226002744,0.320354389517445
