"specification","n_games","log_likelihood","aic","bic","parameter_count","converged","theta","beta_log_days","beta_log_days_se","beta_vs_one_z","delta_aic_from_best"
"LOG_DAYS_COVARIATE",2240,-10632.5256590693,21299.0513181387,21396.1932476011,17,TRUE,1.43263857576127e-09,0.889438212515455,0.466786779423557,-0.236857152683457,1.9437489269003
"OFFSET",2240,-10632.5537846059,21297.1075692118,21388.5352675293,16,TRUE,1.31592044245888e-09,,,,0
"NONLINEAR_LOG_DAYS",2240,-10630.8275472641,21299.6550945282,21408.2254862803,19,TRUE,1.24961950222269e-09,,,,2.54752531641861
