"model","days_since_release","predicted_probability"
"Linear",256,0.821546062013844
"Linear",256.91959798995,0.821568159024318
"Linear",257.8391959799,0.821590253892829
"Linear",258.758793969849,0.821612346619437
"Linear",259.678391959799,0.821634437204203
"Linear",260.597989949749,0.821656525647187
"Linear",261.517587939699,0.82167861194845
"Linear",262.437185929648,0.821700696108053
"Linear",263.356783919598,0.821722778126055
"Linear",264.276381909548,0.821744858002519
"Linear",265.195979899498,0.821766935737503
"Linear",266.115577889447,0.821789011331071
"Linear",267.035175879397,0.821811084783281
"Linear",267.954773869347,0.821833156094196
"Linear",268.874371859297,0.821855225263875
"Linear",269.793969849246,0.82187729229238
"Linear",270.713567839196,0.821899357179772
"Linear",271.633165829146,0.821921419926112
"Linear",272.552763819096,0.82194348053146
"Linear",273.472361809045,0.821965538995878
"Linear",274.391959798995,0.821987595319428
"Linear",275.311557788945,0.822009649502169
"Linear",276.231155778894,0.822031701544163
"Linear",277.150753768844,0.822053751445473
"Linear",278.070351758794,0.822075799206157
"Linear",278.989949748744,0.822097844826279
"Linear",279.909547738693,0.8221198883059
"Linear",280.829145728643,0.82214192964508
"Linear",281.748743718593,0.822163968843881
"Linear",282.668341708543,0.822186005902364
"Linear",283.587939698492,0.822208040820592
"Linear",284.507537688442,0.822230073598625
"Linear",285.427135678392,0.822252104236526
"Linear",286.346733668342,0.822274132734354
"Linear",287.266331658291,0.822296159092174
"Linear",288.185929648241,0.822318183310045
"Linear",289.105527638191,0.82234020538803
"Linear",290.025125628141,0.82236222532619
"Linear",290.94472361809,0.822384243124587
"Linear",291.86432160804,0.822406258783283
"Linear",292.78391959799,0.82242827230234
"Linear",293.70351758794,0.82245028368182
"Linear",294.623115577889,0.822472292921784
"Linear",295.542713567839,0.822494300022294
"Linear",296.462311557789,0.822516304983414
"Linear",297.381909547739,0.822538307805203
"Linear",298.301507537688,0.822560308487725
"Linear",299.221105527638,0.822582307031042
"Linear",300.140703517588,0.822604303435216
"Linear",301.060301507538,0.822626297700308
"Linear",301.979899497487,0.822648289826382
"Linear",302.899497487437,0.822670279813499
"Linear",303.819095477387,0.822692267661721
"Linear",304.738693467337,0.822714253371112
"Linear",305.658291457286,0.822736236941733
"Linear",306.577889447236,0.822758218373647
"Linear",307.497487437186,0.822780197666916
"Linear",308.417085427136,0.822802174821602
"Linear",309.336683417085,0.822824149837769
"Linear",310.256281407035,0.822846122715478
"Linear",311.175879396985,0.822868093454792
"Linear",312.095477386935,0.822890062055775
"Linear",313.015075376884,0.822912028518487
"Linear",313.934673366834,0.822933992842993
"Linear",314.854271356784,0.822955955029354
"Linear",315.773869346734,0.822977915077635
"Linear",316.693467336683,0.822999872987896
"Linear",317.613065326633,0.823021828760202
"Linear",318.532663316583,0.823043782394614
"Linear",319.452261306533,0.823065733891197
"Linear",320.371859296482,0.823087683250013
"Linear",321.291457286432,0.823109630471124
"Linear",322.211055276382,0.823131575554594
"Linear",323.130653266332,0.823153518500486
"Linear",324.050251256281,0.823175459308863
"Linear",324.969849246231,0.823197397979789
"Linear",325.889447236181,0.823219334513325
"Linear",326.809045226131,0.823241268909536
"Linear",327.72864321608,0.823263201168484
"Linear",328.64824120603,0.823285131290233
"Linear",329.56783919598,0.823307059274847
"Linear",330.48743718593,0.823328985122388
"Linear",331.407035175879,0.82335090883292
"Linear",332.326633165829,0.823372830406506
"Linear",333.246231155779,0.82339474984321
"Linear",334.165829145729,0.823416667143095
"Linear",335.085427135678,0.823438582306225
"Linear",336.005025125628,0.823460495332663
"Linear",336.924623115578,0.823482406222473
"Linear",337.844221105528,0.823504314975718
"Linear",338.763819095477,0.823526221592462
"Linear",339.683417085427,0.82354812607277
"Linear",340.603015075377,0.823570028416704
"Linear",341.522613065327,0.823591928624328
"Linear",342.442211055276,0.823613826695706
"Linear",343.361809045226,0.823635722630902
"Linear",344.281407035176,0.82365761642998
"Linear",345.201005025126,0.823679508093004
"Linear",346.120603015075,0.823701397620037
"Linear",347.040201005025,0.823723285011144
"Linear",347.959798994975,0.823745170266389
"Linear",348.879396984925,0.823767053385835
"Linear",349.798994974874,0.823788934369547
"Linear",350.718592964824,0.82381081321759
"Linear",351.638190954774,0.823832689930026
"Linear",352.557788944724,0.82385456450692
"Linear",353.477386934673,0.823876436948337
"Linear",354.396984924623,0.823898307254341
"Linear",355.316582914573,0.823920175424996
"Linear",356.236180904523,0.823942041460366
"Linear",357.155778894472,0.823963905360517
"Linear",358.075376884422,0.823985767125511
"Linear",358.994974874372,0.824007626755414
"Linear",359.914572864322,0.82402948425029
"Linear",360.834170854271,0.824051339610204
"Linear",361.753768844221,0.82407319283522
"Linear",362.673366834171,0.824095043925403
"Linear",363.592964824121,0.824116892880818
"Linear",364.51256281407,0.824138739701528
"Linear",365.43216080402,0.824160584387599
"Linear",366.35175879397,0.824182426939096
"Linear",367.27135678392,0.824204267356084
"Linear",368.190954773869,0.824226105638626
"Linear",369.110552763819,0.824247941786788
"Linear",370.030150753769,0.824269775800635
"Linear",370.949748743719,0.824291607680232
"Linear",371.869346733668,0.824313437425644
"Linear",372.788944723618,0.824335265036935
"Linear",373.708542713568,0.824357090514171
"Linear",374.628140703518,0.824378913857417
"Linear",375.547738693467,0.824400735066738
"Linear",376.467336683417,0.824422554142199
"Linear",377.386934673367,0.824444371083865
"Linear",378.306532663317,0.824466185891801
"Linear",379.226130653266,0.824487998566073
"Linear",380.145728643216,0.824509809106746
"Linear",381.065326633166,0.824531617513885
"Linear",381.984924623116,0.824553423787555
"Linear",382.904522613065,0.824575227927823
"Linear",383.824120603015,0.824597029934753
"Linear",384.743718592965,0.82461882980841
"Linear",385.663316582915,0.824640627548861
"Linear",386.582914572864,0.824662423156171
"Linear",387.502512562814,0.824684216630404
"Linear",388.422110552764,0.824706007971628
"Linear",389.341708542714,0.824727797179908
"Linear",390.261306532663,0.824749584255308
"Linear",391.180904522613,0.824771369197896
"Linear",392.100502512563,0.824793152007736
"Linear",393.020100502513,0.824814932684895
"Linear",393.939698492462,0.824836711229438
"Linear",394.859296482412,0.824858487641431
"Linear",395.778894472362,0.82488026192094
"Linear",396.698492462312,0.824902034068031
"Linear",397.618090452261,0.82492380408277
"Linear",398.537688442211,0.824945571965222
"Linear",399.457286432161,0.824967337715454
"Linear",400.376884422111,0.824989101333533
"Linear",401.29648241206,0.825010862819523
"Linear",402.21608040201,0.825032622173491
"Linear",403.13567839196,0.825054379395504
"Linear",404.05527638191,0.825076134485627
"Linear",404.974874371859,0.825097887443927
"Linear",405.894472361809,0.825119638270469
"Linear",406.814070351759,0.825141386965321
"Linear",407.733668341709,0.825163133528549
"Linear",408.653266331658,0.825184877960218
"Linear",409.572864321608,0.825206620260396
"Linear",410.492462311558,0.825228360429149
"Linear",411.412060301507,0.825250098466543
"Linear",412.331658291457,0.825271834372645
"Linear",413.251256281407,0.825293568147522
"Linear",414.170854271357,0.825315299791239
"Linear",415.090452261306,0.825337029303864
"Linear",416.010050251256,0.825358756685463
"Linear",416.929648241206,0.825380481936103
"Linear",417.849246231156,0.825402205055851
"Linear",418.768844221105,0.825423926044773
"Linear",419.688442211055,0.825445644902936
"Linear",420.608040201005,0.825467361630408
"Linear",421.527638190955,0.825489076227254
"Linear",422.447236180904,0.825510788693543
"Linear",423.366834170854,0.82553249902934
"Linear",424.286432160804,0.825554207234712
"Linear",425.206030150754,0.825575913309728
"Linear",426.125628140703,0.825597617254453
"Linear",427.045226130653,0.825619319068956
"Linear",427.964824120603,0.825641018753302
"Linear",428.884422110553,0.82566271630756
"Linear",429.804020100502,0.825684411731796
"Linear",430.723618090452,0.825706105026077
"Linear",431.643216080402,0.825727796190471
"Linear",432.562814070352,0.825749485225046
"Linear",433.482412060301,0.825771172129867
"Linear",434.402010050251,0.825792856905004
"Linear",435.321608040201,0.825814539550523
"Linear",436.241206030151,0.825836220066491
"Linear",437.1608040201,0.825857898452977
"Linear",438.08040201005,0.825879574710047
"Linear",439,0.825901248837769
"Natural spline df=3",256,0.795013634475207
"Natural spline df=3",256.91959798995,0.796224560716299
"Natural spline df=3",257.8391959799,0.797429469774912
"Natural spline df=3",258.758793969849,0.798627689219069
"Natural spline df=3",259.678391959799,0.799818559006264
"Natural spline df=3",260.597989949749,0.801001431421166
"Natural spline df=3",261.517587939699,0.802175670993106
"Natural spline df=3",262.437185929648,0.803340654393503
"Natural spline df=3",263.356783919598,0.804495770313435
"Natural spline df=3",264.276381909548,0.805640419321565
"Natural spline df=3",265.195979899498,0.806774013702654
"Natural spline df=3",266.115577889447,0.807895977276912
"Natural spline df=3",267.035175879397,0.809005745200456
"Natural spline df=3",267.954773869347,0.810102763747144
"Natural spline df=3",268.874371859297,0.811186490072087
"Natural spline df=3",269.793969849246,0.812256391957132
"Natural spline df=3",270.713567839196,0.813311947538626
"Natural spline df=3",271.633165829146,0.814352645017779
"Natural spline df=3",272.552763819096,0.815377982353934
"Natural spline df=3",273.472361809045,0.81638746694108
"Natural spline df=3",274.391959798995,0.817380615267908
"Natural spline df=3",275.311557788945,0.818356952561742
"Natural spline df=3",276.231155778894,0.819316012416654
"Natural spline df=3",277.150753768844,0.820257336406067
"Natural spline df=3",278.070351758794,0.821180473680148
"Natural spline df=3",278.989949748744,0.822084980548275
"Natural spline df=3",279.909547738693,0.822970420046857
"Natural spline df=3",280.829145728643,0.823836361492778
"Natural spline df=3",281.748743718593,0.824682380022687
