"term","ordinal_estimate","tier2plus_estimate","tier3plus_estimate","tier4_estimate","threshold_min","threshold_max","max_threshold_se","all_exact_directions_agree","major_direction_reversal","independence_approx_q","independence_approx_df","independence_approx_p","diagnostic_note"
"is_free",-0.677335913207412,-0.658977866775777,-0.67638151027896,0.172950126490839,-0.67638151027896,0.172950126490839,1.04141155889492,FALSE,FALSE,0.590709084935198,2,0.744267666188099,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"tier_price_spline_1",2.43560753282654,2.11228139995152,3.55885234108307,4.58455511040168,2.11228139995152,4.58455511040168,0.812616284281025,TRUE,FALSE,14.9107422224585,2,0.000578326996582541,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"tier_price_spline_2",4.25376939192057,4.10159566005229,5.23750438689137,6.22798494991137,4.10159566005229,6.22798494991137,2.81197846022813,TRUE,FALSE,0.916572335635609,2,0.632366487374264,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"tier_price_spline_3",5.58659630062484,5.3439215216162,4.5098146247082,5.57064601053,4.5098146247082,5.57064601053,1.36302766999056,TRUE,FALSE,0.561612187662267,2,0.755174754327427,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"log_days",1.01387177904984,0.841853085655497,1.38560905834347,1.23718694712745,0.841853085655497,1.38560905834347,0.716854388522435,TRUE,FALSE,1.21232970075547,2,0.54543870197151,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"platform_segmentWindows + macOS",0.210119275093341,0.193728680143542,0.215405836871394,0.288421511912074,0.193728680143542,0.288421511912074,0.331777088283591,TRUE,FALSE,0.0647682432116359,2,0.968134629217783,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"platform_segmentWindows + Linux",-0.17732613607527,0.037050072583226,-1.08439625394419,-0.708326927223016,-1.08439625394419,0.037050072583226,0.610159398937474,FALSE,FALSE,7.88192653591828,2,0.0194294899232172,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"platform_segmentWindows + macOS + Linux",0.582680294296562,0.672485144510647,0.578148005638432,-0.211287314211095,-0.211287314211095,0.672485144510647,0.448501833551776,FALSE,FALSE,3.34207400665908,2,0.188051953988104,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"genre_action",0.0235896907453629,-0.00157775998227961,0.0230399946315866,0.244216421146065,-0.00157775998227961,0.244216421146065,0.223156141614185,FALSE,FALSE,1.02675371886792,2,0.598471209580759,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"genre_adventure",0.263876305070111,0.278694218912388,0.24428313415332,0.174030284146004,0.174030284146004,0.278694218912388,0.214386493926912,TRUE,FALSE,0.211251181102775,2,0.899761464212116,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"genre_casual",0.0225334067667201,-0.030336517158359,0.124586205164242,0.244982504817655,-0.030336517158359,0.244982504817655,0.230503742313468,FALSE,FALSE,1.72514818637408,2,0.422074224409132,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"genre_indie",0.0717800208300362,0.131172950543036,-0.0671993620012969,-0.0294801495412631,-0.0671993620012969,0.131172950543036,0.235067240430116,FALSE,FALSE,1.35983483062915,2,0.506658832898206,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"genre_rpg",0.269677239449312,0.292347258401245,0.247314741245822,0.309446239633805,0.247314741245822,0.309446239633805,0.235152943995162,TRUE,FALSE,0.0782732593658554,2,0.961619314428334,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"genre_simulation",0.36187410775264,0.365814119455828,0.368417252779719,0.276193994577498,0.276193994577498,0.368417252779719,0.235604340557903,TRUE,FALSE,0.130978186442162,2,0.936609262094074,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
"genre_strategy",-0.151378309768337,-0.187906763056817,-0.0352916934061122,-0.0582962800782894,-0.187906763056817,-0.0352916934061122,0.255978195249221,TRUE,FALSE,0.721879675886158,2,0.697020931418425,"Threshold-logit diagnostic; Q treats fits as independent and is not a formal Brant test"
