"model_id","sample_scope","n_games","parameter_count","log_likelihood","aic","bic","comparison","lrt_p_value_linear_vs_spline","max_absolute_probability_gap","converged","warning_count","same_rows_within_comparison","spline_df"
"LINEAR_PRICE","Paid primary-model games only",2596,13,-1066.09246195595,2158.18492391191,2234.38737592362,"PAID_PRICE",7.72728719418374e-05,0.524772268458401,TRUE,0,TRUE,
"SPLINE_PRICE_DF3","Paid primary-model games only",2596,15,-1056.62429434686,2143.24858869372,2231.17449486108,"PAID_PRICE",7.72728719418374e-05,0.524772268458401,TRUE,0,TRUE,3
