"days","log_days_covariate","offset","nonlinear_log_days"
256,95.1992458737804,93.0517340698577,88.5703380281887
257.53781512605,95.628459561111,93.5231880549572,89.2356798749182
259.075630252101,96.0571004254883,93.9942831458712,89.9028494211864
260.613445378151,96.4851728000863,94.4650219885985,90.5725035794617
262.151260504202,96.9126809595931,94.9354071938511,91.2452961038278
263.689075630252,97.3396291213422,95.405441337731,91.9218777168865
265.226890756303,97.7660214464149,95.8751269623909,92.6028962790249
266.764705882353,98.1918620407137,96.3444665766778,93.2889969970765
268.302521008403,98.6171549560109,96.8134626567593,93.9808226696023
269.840336134454,99.0419041909719,97.2821176467381,94.6790139662247
270,99.0859728431857,97.330756367047,94.7518942251066
271.378151260504,99.46611369215,97.7504339592481,95.3842097386245
272.915966386555,99.8897873549603,98.218413976037,96.0970473609996
274.453781512605,100.312929024629,98.6860600485369,96.8181630979713
275.991596638655,100.735542497121,99.1533744984184,97.5481924980764
277.529411764706,101.157631520039,99.6203596181322,98.2877708111678
279.067226890756,101.579199793514,100.08701767144,99.037533428186
280.605042016807,102.00025097106,100.553350893931,99.7981163419313
282.142857142857,102.42078866042,101.019361493522,100.570156627595
283.680672268908,102.840816424384,101.485051650959,101.354292941961
285.218487394958,103.260337781594,101.95042352029,102.151166040305
286.756302521008,103.679356207328,102.415479229343,102.961419310155
288.294117647059,104.097875134264,102.880220880177,103.785699321201
289.831932773109,104.515897953231,103.34465054954,104.624656390722
291.36974789916,104.933428013937,103.8087702893,105.478945164059
292.90756302521,105.350468625688,104.272582126883,106.349225209722
294.445378151261,105.767023058079,104.736088065681,107.23616162883
295.983193277311,106.183094541687,105.199290085474,108.14042567868
297.521008403361,106.598686268731,105.662190142821,109.062695410341
299.058823529412,107.013801393727,106.124790171458,110.003656320207
300,107.26762715822,106.407764319229,110.589062799926
300.596638655462,107.428443034126,106.587092082678,110.964002015595
302.134453781513,107.84261427094,107.049097765711,111.944434894479
303.672268907563,108.256318149351,107.510809088085,112.945666839582
305.210084033613,108.669557679308,107.972227895988,113.96841992708
306.747899159664,109.082335836112,108.433356014619,115.013427150261
308.285714285714,109.49465556099,108.894195248531,116.081433158542
309.823529411765,109.906519761649,109.35474738197,117.173195012304
311.361344537815,110.317931312832,109.815014179201,118.289475541918
312.899159663866,110.728893056846,110.27499738483,119.430002372422
314.436974789916,111.139407804089,110.734698724122,120.592377493317
315.974789915966,111.549478333568,111.194119903311,121.773924441138
317.512605042017,111.959107393395,111.653262609897,122.971940170841
319.050420168067,112.368297701285,112.112128512948,124.183692468031
320.588235294118,112.777051945037,112.570719263388,125.406418090541
322.126050420168,113.185372783003,113.029036494279,126.637321616443
323.663865546219,113.593262844556,113.487081821105,127.87357497735
325.201680672269,114.000724730537,113.944856842038,129.112317657204
326.739495798319,114.407761013707,114.402363138209,130.350657537474
328.27731092437,114.814374239173,114.859602273972,131.585672370067
329.81512605042,115.22056692482,115.316575797154,132.814411859134
330,115.269370633933,115.371494692745,132.961565258339
331.352941176471,115.62634156173,115.773285239315,134.033900332544
332.890756302521,116.031700614585,116.229732115986,135.241139983023
334.428571428571,116.436646522073,116.685917926918,136.433114657907
335.966386554622,116.841181697283,117.141844156313,137.606794175225
