"model_id","term","estimate_log_odds","std_error","z_value","p_value","odds_ratio","or_ci95_lower","or_ci95_upper","direction"
"NONLINEAR_PRICE_DF3_PRIMARY","(Intercept)",1.61093230740049,0.15112905746991,10.6593155172772,1.57754170972139e-26,5.00747756065488,3.72372606640599,6.7338013251505,"POSITIVE"
"NONLINEAR_PRICE_DF3_PRIMARY","is_free",-4.23124501812126,0.196069469463222,-21.5803359375895,2.74863729826871e-103,0.0145342838324094,0.00989689589727582,0.0213446123626686,"NEGATIVE"
"NONLINEAR_PRICE_DF3_PRIMARY","z_days_since_release",0.0120235312464151,0.0533656550706168,0.22530466890184,0.821742267784079,1.0120961044687,0.911584275862642,1.12369042753768,"POSITIVE"
"NONLINEAR_PRICE_DF3_PRIMARY","platform_segmentWindows + macOS",0.350081225953443,0.219022930284212,1.59837705348552,0.109959088266534,1.41918281838928,0.923858988170152,2.18007282258577,"POSITIVE"
"NONLINEAR_PRICE_DF3_PRIMARY","platform_segmentWindows + Linux",-0.00602961637358712,0.231439523570237,-0.0260526649924478,0.979215332096953,0.993988525282496,0.631509213665621,1.56452695703093,"NEGATIVE"
"NONLINEAR_PRICE_DF3_PRIMARY","platform_segmentWindows + macOS + Linux",0.692502773484121,0.256427427682119,2.70057996425634,0.00692186952636036,1.99871160101965,1.20914590964997,3.30385938716608,"POSITIVE"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_action",0.106420175110472,0.117007911477138,0.909512645486932,0.363079585889614,1.11228913454454,0.884342261803653,1.3989912868153,"POSITIVE"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_adventure",0.22143774412766,0.116634572828325,1.89856008178291,0.0576223411029534,1.24786955859454,0.992863766736133,1.56837069438627,"POSITIVE"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_casual",-0.413545311587135,0.114408876397121,-3.61462610778286,0.000300781383182518,0.661301569077884,0.528462945434175,0.827531559295189,"NEGATIVE"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_indie",0.166762652400346,0.124397627475398,1.34056135783881,0.180062910453499,1.18147381205388,0.92584150748044,1.50768825688949,"POSITIVE"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_rpg",-0.00523939249586225,0.143581618811188,-0.0364906910734315,0.970891101214788,0.994774309181068,0.750771305018939,1.31807904696319,"NEGATIVE"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_simulation",0.545069225511367,0.141493710242034,3.85225056703222,0.00011703717120957,1.72472777340602,1.30701596478353,2.27593692235485,"POSITIVE"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_strategy",-0.146553602781084,0.13240352163916,-1.10687088203354,0.268349756695023,0.863679435474247,0.666270365496369,1.11957878646665,"NEGATIVE"
"RELEASE_MONTH_SENSITIVITY","(Intercept)",1.69597664976561,0.19542233903293,8.6785198568308,4.00952550794345e-18,5.4519680291913,3.71714501106957,7.9964476238637,"POSITIVE"
"RELEASE_MONTH_SENSITIVITY","is_free",-4.22908214677585,0.196389191204046,-21.5341899462373,7.44853999875616e-103,0.0145657536387397,0.00991211147262984,0.0214042365897819,"NEGATIVE"
"RELEASE_MONTH_SENSITIVITY","release_month2025-08",-0.205558967659018,0.187087178177828,-1.09873359393786,0.27188428488563,0.814192082150502,0.564258330889832,1.17483200574313,"NEGATIVE"
"RELEASE_MONTH_SENSITIVITY","release_month2025-09",-0.0901367314367278,0.19624809709161,-0.459299900343244,0.646018819324359,0.91380623069,0.622024415516862,1.34245828044226,"NEGATIVE"
"RELEASE_MONTH_SENSITIVITY","release_month2025-10",-0.103073856280437,0.182779699330961,-0.563923984215553,0.57280586655031,0.902060348199152,0.630453747903189,1.2906781417344,"NEGATIVE"
"RELEASE_MONTH_SENSITIVITY","release_month2025-11",0.101204638029214,0.185628042974634,0.545201233646813,0.58561512315903,1.10650305120036,0.769034351039623,1.59206022547701,"POSITIVE"
"RELEASE_MONTH_SENSITIVITY","release_month2025-12",-0.204037242756057,0.186264483183178,-1.09541679266573,0.273334080508903,0.815432001686655,0.566029590905345,1.17472542082327,"NEGATIVE"
"RELEASE_MONTH_SENSITIVITY","platform_segmentWindows + macOS",0.355479868714888,0.219114731804936,1.62234581758451,0.10472932352403,1.42686519799167,0.928692947567423,2.1922684979709,"POSITIVE"
"RELEASE_MONTH_SENSITIVITY","platform_segmentWindows + Linux",-0.00398937502525084,0.232067711462949,-0.0171905647713847,0.986284589300205,0.996018571959948,0.632020321255283,1.56965363664063,"NEGATIVE"
"RELEASE_MONTH_SENSITIVITY","platform_segmentWindows + macOS + Linux",0.698180258383357,0.256619360598418,2.72068427243856,0.00651469507980863,2.01009153007182,1.21557297971772,3.32392051047791,"POSITIVE"
"RELEASE_MONTH_SENSITIVITY","genre_action",0.0936346769034664,0.117330158646437,0.798044407198196,0.424844720640724,1.09815848996756,0.87255620526028,1.38209098946022,"POSITIVE"
"RELEASE_MONTH_SENSITIVITY","genre_adventure",0.222191954899779,0.116760161445748,1.90297745522577,0.0570434870543375,1.24881107026232,0.993368330859085,1.56994041461036,"POSITIVE"
"RELEASE_MONTH_SENSITIVITY","genre_casual",-0.409852166440728,0.114490391926241,-3.5797952958775,0.000343863472483518,0.663748367167225,0.53033350734656,0.830726116329023,"NEGATIVE"
"RELEASE_MONTH_SENSITIVITY","genre_indie",0.161723564517275,0.124555171216251,1.29840907397166,0.194146802701078,1.17553523675104,0.920903445185451,1.50057326863952,"POSITIVE"
"RELEASE_MONTH_SENSITIVITY","genre_rpg",-0.00820722932329385,0.143575366936849,-0.0571632132892529,0.954415181763866,0.991826358034097,0.748555613771514,1.31415689949184,"NEGATIVE"
"RELEASE_MONTH_SENSITIVITY","genre_simulation",0.541943353729335,0.141823792974506,3.82124425220212,0.000132780063884157,1.71934491297623,1.3020941165993,2.270302040453,"POSITIVE"
