"model_id","warning"
"TNB_LOG_DAYS","NONE"
"TNB_OFFSET","NONE"
"TNB_NONLINEAR","NONE"
"POISSON","NONE"
"NB2_ORDINARY","NONE"
"TAIL_REMOVE_TOP1_GAME","NONE"
"TAIL_REMOVE_TOP1_PERCENT_BY_REVIEW_COUNT","NONE"
"TAIL_REMOVE_TOP5_PERCENT_BY_REVIEW_COUNT","NONE"
"PRICE_DF4","NONE"
"RELEASE_MONTH","NONE"
