"model_id","term","estimate_log_odds","std_error","z_value","p_value","odds_ratio","or_ci95_lower","or_ci95_upper","direction"
"PRIMARY_LINEAR","(Intercept)",1.54147261827228,0.141122141984805,10.9229678390103,8.95218516508105e-28,4.67146449216344,3.54266157703255,6.15993936395784,"POSITIVE"
"PRIMARY_LINEAR","is_free",-4.19549832885985,0.191417297945326,-21.9180730994238,1.74696830652635e-106,0.0150632341471413,0.0103510290525016,0.0219206246857908,"NEGATIVE"
"PRIMARY_LINEAR","z_log1p_paid_price_component",0.181805038988623,0.0597903426849687,3.04070909823249,0.00236021744324599,1.19938033868043,1.06675157624889,1.34849877782375,"POSITIVE"
"PRIMARY_LINEAR","z_days_since_release",0.00850851604937393,0.0530941080236039,0.160253488872839,0.872681395774559,1.00854481635292,0.908869260057824,1.11915177605152,"POSITIVE"
"PRIMARY_LINEAR","platform_segmentWindows + macOS",0.396085162583398,0.21753281680879,1.82080648057601,0.0686362788529739,1.48599586340947,0.970182264279015,2.27605037462839,"POSITIVE"
"PRIMARY_LINEAR","platform_segmentWindows + Linux",0.034241474199434,0.230146018158828,0.148781519112806,0.881726033929426,1.03483446238341,0.659128723113889,1.62469382228897,"POSITIVE"
"PRIMARY_LINEAR","platform_segmentWindows + macOS + Linux",0.719962486890507,0.255212923567391,2.82102676003551,0.0047870209468725,2.05435614391143,1.24577066732572,3.38776572343484,"POSITIVE"
"PRIMARY_LINEAR","genre_action",0.118180737029429,0.116618863716614,1.0133929731695,0.310872494433841,1.12544750302506,0.89548658704019,1.41446237207403,"POSITIVE"
"PRIMARY_LINEAR","genre_adventure",0.238040267685799,0.115982531839202,2.05238033616836,0.0401327140301132,1.26876028183667,1.01077633331822,1.59259036812001,"POSITIVE"
"PRIMARY_LINEAR","genre_casual",-0.427855886727728,0.113918026535992,-3.75582249568332,0.000172773120725458,0.651905356243565,0.521455616300569,0.814989004268561,"NEGATIVE"
"PRIMARY_LINEAR","genre_indie",0.188092280597956,0.123157164587751,1.52725406782111,0.126697846304768,1.20694488780672,0.948103764558095,1.53645203896193,"POSITIVE"
"PRIMARY_LINEAR","genre_rpg",0.0153341096193047,0.142464855982226,0.107634332085506,0.914285762118357,1.01545228031975,0.768056579619474,1.34253564251405,"POSITIVE"
"PRIMARY_LINEAR","genre_simulation",0.535123073171039,0.14052562972527,3.80801049756697,0.000140089327562144,1.70765839625567,1.2965383432685,2.24914073189008,"POSITIVE"
"PRIMARY_LINEAR","genre_strategy",-0.142797301641077,0.131596972988258,-1.08511083802679,0.27787256769351,0.866929776330046,0.669835828191467,1.1220170756122,"NEGATIVE"
"RELEASE_MONTH_ALTERNATIVE","(Intercept)",1.61740215426461,0.187758499211257,8.61426865393074,7.03894626469868e-18,5.03998020383279,3.48825725636662,7.28197451855503,"POSITIVE"
"RELEASE_MONTH_ALTERNATIVE","is_free",-4.1956359750051,0.191760197642578,-21.879597677644,4.06412524383953e-106,0.0150611608937168,0.0103426510385863,0.0219323427446346,"NEGATIVE"
"RELEASE_MONTH_ALTERNATIVE","z_log1p_paid_price_component",0.179866591869951,0.0597380173480502,3.01092335927384,0.00260454583056184,1.19705765524553,1.06479493290696,1.34574929472091,"POSITIVE"
"RELEASE_MONTH_ALTERNATIVE","release_month2025-08",-0.173431932953968,0.18622165709334,-0.931319888679966,0.351688116938575,0.840774378242526,0.583669912659713,1.21113242224161,"NEGATIVE"
"RELEASE_MONTH_ALTERNATIVE","release_month2025-09",-0.0798224732239175,0.195719061480445,-0.407842100918171,0.683389602398077,0.923280238802775,0.629125332852537,1.35497071068273,"NEGATIVE"
"RELEASE_MONTH_ALTERNATIVE","release_month2025-10",-0.112646464051784,0.182079287203411,-0.618667097075908,0.536135689905281,0.893466476804526,0.625305274495085,1.27662819703237,"NEGATIVE"
"RELEASE_MONTH_ALTERNATIVE","release_month2025-11",0.113416264986442,0.185006550244402,0.61303918610781,0.539850429580821,1.12009809353641,0.779431937100044,1.6096591368989,"POSITIVE"
"RELEASE_MONTH_ALTERNATIVE","release_month2025-12",-0.175551547431281,0.185391533832896,-0.946923215973364,0.343677906887895,0.838994148065591,0.583382466040049,1.20660325166506,"NEGATIVE"
"RELEASE_MONTH_ALTERNATIVE","platform_segmentWindows + macOS",0.402305632955363,0.21761264675713,1.8487235873031,0.0644977359623506,1.49526826610476,0.976083329849901,2.29061097474511,"POSITIVE"
"RELEASE_MONTH_ALTERNATIVE","platform_segmentWindows + Linux",0.0352917796264896,0.230724298606433,0.152960827444924,0.87842916686623,1.03592192561965,0.659073949536628,1.62824556597027,"POSITIVE"
"RELEASE_MONTH_ALTERNATIVE","platform_segmentWindows + macOS + Linux",0.722554473753243,0.255364366137871,2.82950391505735,0.0046620229615846,2.05968791500306,1.24863320014429,3.39756648046794,"POSITIVE"
"RELEASE_MONTH_ALTERNATIVE","genre_action",0.106185176037389,0.116941189780928,0.908022025740552,0.363866584785695,1.11202777833936,0.884250094308851,1.39847966967414,"POSITIVE"
"RELEASE_MONTH_ALTERNATIVE","genre_adventure",0.238835809638301,0.116072104698133,2.05765037395883,0.0396237073528931,1.26977003546597,1.01140319113027,1.59413768624305,"POSITIVE"
"RELEASE_MONTH_ALTERNATIVE","genre_casual",-0.424625641620875,0.113994199133463,-3.72497587463839,0.000195333902106443,0.654014575143667,0.523064672188971,0.817747952103752,"NEGATIVE"
"RELEASE_MONTH_ALTERNATIVE","genre_indie",0.183227510559908,0.123280086414976,1.48627013403561,0.137207683123102,1.20108763711923,0.943275375005067,1.52936411812181,"POSITIVE"
"RELEASE_MONTH_ALTERNATIVE","genre_rpg",0.0123447166773678,0.142427057559476,0.0866739571040621,0.930930677715895,1.01242122720173,0.765820717755372,1.33842910948261,"POSITIVE"
"RELEASE_MONTH_ALTERNATIVE","genre_simulation",0.532130538482043,0.140842320695503,3.7782005852665,0.000157965625375466,1.70255580791214,1.29186209548105,2.24381246976365,"POSITIVE"
"RELEASE_MONTH_ALTERNATIVE","genre_strategy",-0.147276029552779,0.131613736876865,-1.11900196018724,0.263139302788908,0.863055715650973,0.666820614042776,1.11703980445636,"NEGATIVE"
