"model_id","n_games","event_n","non_event_n","parameter_count","residual_df","log_likelihood","aic","bic","null_deviance","residual_deviance","converged","matrix_rank","matrix_columns","warning_count","formula","weights_used","count_offset_used","interactions_used","same_rows","delta_aic_from_linear","delta_bic_from_linear","formal_lrt_valid","lrt_p_value"
"LINEAR_BENCHMARK",2998,2240,758,14,2984,-1179.93439723845,2387.8687944769,2471.94860397818,3390.30972770287,2359.8687944769,TRUE,14,14,0,"has_review ~ is_free + z_log1p_paid_price_component + z_days_since_release +      platform_segment + genre_action + genre_adventure + genre_casual +      genre_indie + genre_rpg + genre_simulation + genre_strategy",FALSE,FALSE,FALSE,TRUE,0,0,TRUE,8.10295774299717e-05
"NONLINEAR_PRICE_DF3_PRIMARY",2998,2240,758,16,2982,-1170.51370092196,2373.02740184393,2469.11861270253,3390.30972770287,2341.02740184393,TRUE,16,16,0,"has_review ~ is_free + price_spline_1 + price_spline_2 + price_spline_3 +      z_days_since_release + platform_segment + genre_action +      genre_adventure + genre_casual + genre_indie + genre_rpg +      genre_simulation + genre_strategy",FALSE,FALSE,FALSE,TRUE,-14.8413926329754,-2.82999127565017,TRUE,8.10295774299717e-05
