"contrast","predicted_count_from","predicted_count_to","positive_count_ratio"
"PRICE_4.99_TO_9.99",80.467026975983,350.264646322271,4.35289657746166
"PRICE_9.99_TO_14.99",350.264646322271,718.570611249917,2.05150767796524
"PRICE_14.99_TO_29.99",718.570611249917,1642.82839815586,2.28624490403003
"DAYS_300_TO_365",106.407764319229,125.702752527971,1.18133064191496
"DAYS_365_TO_430",125.702752527971,144.578400804374,1.15016097815521
"FREE_VS_PAID_REFERENCE",125.702752527971,70.1882744471533,0.558367044759302
"PLATFORM_Windows + macOS",125.702752527971,233.668745155105,1.85889919238728
"PLATFORM_Windows + Linux",125.702752527971,108.853773847953,0.865961736388637
"PLATFORM_Windows + macOS + Linux",125.702752527971,104.93786943785,0.8348096388303
"GENRE_genre_action",125.702752527971,205.587935341862,1.635508620196
"GENRE_genre_adventure",125.702752527971,85.8628269835657,0.683062425100512
"GENRE_genre_casual",125.702752527971,191.659208341055,1.52470176258398
"GENRE_genre_indie",125.702752527971,151.115412626985,1.20216470672238
"GENRE_genre_rpg",125.702752527971,140.92993343855,1.12113641590458
"GENRE_genre_simulation",125.702752527971,188.53863515808,1.4998767438774
"GENRE_genre_strategy",125.702752527971,82.0189004327623,0.652482931227074
