"stage","status","warning_count","warning_text"
"Nonlinear primary df=3","NO WARNING",0,""
"Release-month nonlinear sensitivity","NO WARNING",0,""
"Expanded-genre nonlinear sensitivity","NO WARNING",0,""
"Price spline df=4 sensitivity","NO WARNING",0,""
"Optional GAM diagnostic","NO WARNING",0,""
