"game_type","reference_price_usd","days_since_release","Tier1","Tier2","Tier3","Tier4","probability_high100_logistic"
"Paid reference",6.19200148318903,338,0.602677043851205,0.299456594735502,0.0766345510870027,0.0212318103262905,0.104695961792005
"Free",,338,0.749128174410995,0.198643849048491,0.0413290282090492,0.0108989483314643,0.0561211893932312
