"term","estimate_log_odds","std_error","z_value","p_value","odds_ratio_high100","ci95_lower","ci95_upper"
"(Intercept)",-10.2145679602025,2.40745490933825,-4.24289066456917,2.20658955729512e-05,3.6632748121252e-05,3.27041231918064e-07,0.00410333041813914
"is_free",-0.67638151027896,0.617354865056768,-1.09561218119949,0.273248528651694,0.50845350143571,0.151617095377339,1.70511750326588
"tier_price_spline_1",3.55885234108307,0.36093530918252,9.86008365084449,6.19977184962718e-23,35.1228649365914,17.3123329548785,71.2564646584164
"tier_price_spline_2",5.23750438689137,1.19007948909174,4.40097021661016,1.0776791783198e-05,188.199841863151,18.2643046286013,1939.25699321998
"tier_price_spline_3",4.5098146247082,0.943867354459853,4.7780173807251,1.77032081697043e-06,90.9049654140144,14.2939248304688,578.127619596005
"log_days",1.38560905834347,0.410350917086337,3.37664423460261,0.00073375889663051,3.99725972795959,1.7883998130703,8.93429154711031
"platform_segmentWindows + macOS",0.215405836871394,0.2051850618195,1.04981247153794,0.293804340128899,1.24036518075794,0.829645411698502,1.85441365665719
"platform_segmentWindows + Linux",-1.08439625394419,0.365013931130171,-2.97083525164818,0.00296991054175229,0.338105854361764,0.165328056302594,0.691446880283108
"platform_segmentWindows + macOS + Linux",0.578148005638432,0.210649340860305,2.74459916787415,0.00605848465848559,1.78273375870833,1.17971784744656,2.69398285472858
"genre_action",0.0230399946315866,0.13076375369222,0.176195573934166,0.860140297881233,1.02330746553389,0.791950045828994,1.3222528043688
"genre_adventure",0.24428313415332,0.125585853635012,1.94514849469652,0.0517571087090257,1.27670575832468,0.998136599319503,1.63302056497143
"genre_casual",0.124586205164242,0.131202431341289,0.949572381323966,0.34232957754487,1.13267965908775,0.875841132343735,1.46483553093466
"genre_indie",-0.0671993620012969,0.140183815361439,-0.479366051123915,0.631678240487903,0.935008777533364,0.71037687486334,1.23067268234572
"genre_rpg",0.247314741245822,0.143628866134471,1.72190136914591,0.0850873869285323,1.28058210136234,0.966380300546386,1.69694117047129
"genre_simulation",0.368417252779719,0.138022058672696,2.66926356788649,0.00760177717133779,1.44544502912181,1.10284589685947,1.89447259872171
"genre_strategy",-0.0352916934061122,0.149732236917013,-0.235698698775683,0.813666479677887,0.965323796600033,0.719810801093023,1.29457633987612
