"appid","observed","fitted","pearson_residual"
267390,14,672.815198550234,-0.353492110921645
427410,41961,4046.29271417211,3.0127071781697
444930,214,240.849890428692,-0.0437134379654395
496170,9,123.0057222152,-0.38731156661316
497880,12,329.732102901984,-0.367811591510059
533610,10,145.279499437105,-0.382708914316877
541300,4715,1765.19727166255,0.564792891254407
606160,7248,972.006462751817,2.2704528739185
633080,1101,1761.7896808584,-0.126780385644754
660200,1,1545.18390656611,-0.340659146722128
690320,5,114.758591004931,-0.402534222692278
766500,19,116.105752453975,-0.351574687156103
832360,419,1587.75854939398,-0.250482857101639
863970,7,1217.57656371701,-0.344286809812826
887330,22,971.577639223716,-0.343688835348011
990380,1910,1232.74125392727,0.190084534412417
1004640,5650,1554.75481001364,0.897522792765735
1024820,9,3572.98127493918,-0.323009786660749
1033380,8,758.67293435933,-0.354086228307537
1056170,37,547.842113232699,-0.341836551866107
1057580,36,1872.25170224513,-0.330246127035727
1058230,2,117.666751949073,-0.412652284050078
1058710,365,706.718296746612,-0.173928130630541
1101650,2,84.7055622447923,-0.424519355794456
1126340,8,94.9190641397605,-0.393206493802419
1141550,1682,207.471032950036,2.82437920679889
1151990,76,243.709178924517,-0.269557631861506
1154140,1,784.195445629651,-0.356553614469727
1156820,36,409.897062220503,-0.342052024391004
1166940,43,1939.9706783136,-0.328521764020205
1170570,4712,823.78233788538,1.67914528499845
1191050,5,440.64787243744,-0.368605266515909
1194040,4,337.799030904003,-0.376426943195626
1201700,477,325.19856358126,0.178383119760821
1239360,218,923.628361209484,-0.269601729085314
1264970,576,442.169262058931,0.112814973349545
1273640,206,435.632717842081,-0.196708866306195
1274700,5,50.4765005017077,-0.41655495216143
1275550,326,2118.03938423995,-0.282704285518513
1283360,6,31.6809310078127,-0.39933354137213
1292460,66,1386.72616450394,-0.326958269467022
1295870,63,183.789564463542,-0.264110018834477
1296660,130,1363.19109947185,-0.310909385097794
1298430,10,1072.19540189416,-0.346014962033846
1308940,112,1498.58303885626,-0.316031286921795
1329030,13,463.201830771893,-0.360952252574391
1330360,409,1792.20932770826,-0.260597127461103
1342490,1831,2639.90307949597,-0.101013988714474
1342690,413,527.164765433655,-0.0796248124928312
1344550,83,2031.8730506976,-0.321312635853134
1380990,74,1419.86795714742,-0.324900763116981
1386750,311,1256.71174299351,-0.260032667845547
1395520,3644,554.082546319194,2.04261117769061
1408090,11,6727.63475932444,-0.312096017852022
1408730,5,2121.94328880553,-0.333307223799146
1421250,27145,515.190183335903,19.0383321851691
1423630,4,704.303253793934,-0.357752665742179
1425980,1524,104.365058117773,5.78201223981846
1427070,3,769.469085975592,-0.356101792307896
1447820,152,1489.62249900857,-0.30682586231941
1449110,8398,2809.40038964227,0.653343334230565
1456570,23,845.706474888776,-0.345433846320354
1471650,489,2315.26720925647,-0.262118783485066
1476400,60,813.3297903409,-0.329810073524091
1517560,15,452.076149378776,-0.359738386745866
1533140,5,175.122468442139,-0.39215955209947
1538550,1848,1431.46916291437,0.0996849748446016
1541370,627,1459.64177605955,-0.19517430051231
1548180,197,1060.28878777043,-0.284595615677368
1556010,73,547.311875152213,-0.317722775085351
1558800,102,77.8867797084762,0.135880261299916
1560160,75,1543.60001867291,-0.324338744825805
1567530,19,913.04272056106,-0.345829113006765
1574570,236,121.981248495663,0.390941873404638
1575810,147,1247.65994555321,-0.304980085047586
1583540,15,9339.43980303053,-0.306763319678148
1594040,359,3009.41167596694,-0.288076434540499
1599420,27,1074.41483327217,-0.340447172974743
1605250,725,1765.638159593,-0.199196012766906
1620730,4254,2586.06943191174,0.212887612906735
1622630,63,1884.7068260488,-0.325329065862177
1623120,34,141.376823170148,-0.312994154601646
1639710,6,144.163224949037,-0.394191829103535
1644700,5,31.4801334439007,-0.414772753341434
1645630,737,1494.21853998503,-0.173122930639132
1652400,6,327.948005404535,-0.374888788684111
1657630,43483,2943.688926928,4.51054450245078
1660960,466,1243.30155035443,-0.216186827678497
1665260,295,392.155850636403,-0.0932327478683516
1670690,572,1137.56921438168,-0.172950840065576
1689390,32,975.639640979611,-0.340019231300545
1693040,1056,1128.95075875295,-0.0224902101458658
1699230,2520,791.387405362811,0.779297423431729
1710260,5,208.045388364983,-0.387751052405635
1711790,12,115.64045222131,-0.376899647417936
1714530,60,1645.76475232951,-0.327118560029914
1715860,10,482.616672545045,-0.362516817227766
1717400,50,998.873580278161,-0.333408691720455
1718460,1441,1761.64818328029,-0.0615254361847291
1724030,153,495.896693362474,-0.255434234898975
1727750,2,382.349100225739,-0.375119274575011
1731000,21,549.98343372486,-0.352493260488279
1735700,8544,1346.05898865816,1.83936178444303
1748160,27,119.552856155431,-0.324452384066032
1752780,38,160.908716161124,-0.310842789967471
1757300,10663,1434.17700038258,2.20421692861202
1803850,31,538.863282810285,-0.345941188118748
