"model","current_price_usd","predicted_probability"
"Linear log1p",0.49,0.773752334272388
"Linear log1p",1.49251256281407,0.794455049722563
"Linear log1p",2.49502512562814,0.807273722429917
"Linear log1p",3.49753768844221,0.816433960892613
"Linear log1p",4.50005025125628,0.823498237761323
"Linear log1p",5.50256281407035,0.829212103493165
"Linear log1p",6.50507537688442,0.83398748145307
"Linear log1p",7.50758793969849,0.838075062293509
"Linear log1p",8.51010050251256,0.841638305540854
"Linear log1p",9.51261306532663,0.84478946392926
"Linear log1p",10.5151256281407,0.847608808290259
"Linear log1p",11.5176381909548,0.850155635730585
"Linear log1p",12.5201507537688,0.852474934933356
"Linear log1p",13.5226633165829,0.854601609567209
"Linear log1p",14.525175879397,0.856563257388124
"Linear log1p",15.5276884422111,0.858382058214701
"Linear log1p",16.5302010050251,0.860076092030902
"Linear log1p",17.5327135678392,0.861660281262611
"Linear log1p",18.5352261306533,0.863147078478492
"Linear log1p",19.5377386934673,0.864546977550443
"Linear log1p",20.5402512562814,0.865868899818616
"Linear log1p",21.5427638190955,0.867120490102053
"Linear log1p",22.5452763819095,0.868308346595125
"Linear log1p",23.5477889447236,0.869438201547228
"Linear log1p",24.5503015075377,0.870515064803013
"Linear log1p",25.5528140703518,0.871543338967423
"Linear log1p",26.5553266331658,0.872526912644412
"Linear log1p",27.5578391959799,0.873469236555254
"Linear log1p",28.560351758794,0.874373386159969
"Linear log1p",29.562864321608,0.87524211354363
"Linear log1p",30.5653768844221,0.876077890693565
"Linear log1p",31.5678894472362,0.87688294581935
"Linear log1p",32.5704020100503,0.877659294010197
"Linear log1p",33.5729145728643,0.87840876325259
"Linear log1p",34.5754271356784,0.879133016622369
"Linear log1p",35.5779396984925,0.879833571304033
"Linear log1p",36.5804522613065,0.88051181496404
"Linear log1p",37.5829648241206,0.881169019905921
"Linear log1p",38.5854773869347,0.881806355356688
"Linear log1p",39.5879899497487,0.882424898171609
"Linear log1p",40.5905025125628,0.883025642194432
"Linear log1p",41.5930150753769,0.883609506469812
"Linear log1p",42.595527638191,0.884177342472008
"Linear log1p",43.598040201005,0.884729940487299
"Linear log1p",44.6005527638191,0.885268035265714
"Linear log1p",45.6030653266332,0.885792311039752
"Linear log1p",46.6055778894472,0.886303405992896
"Linear log1p",47.6080904522613,0.886801916248403
"Linear log1p",48.6106030150754,0.887288399438582
"Linear log1p",49.6131155778894,0.887763377906155
"Linear log1p",50.6156281407035,0.888227341582068
"Linear log1p",51.6181407035176,0.888680750578032
"Linear log1p",52.6206532663317,0.889124037526893
"Linear log1p",53.6231658291457,0.889557609699558
"Linear log1p",54.6256783919598,0.889981850923481
"Linear log1p",55.6281909547739,0.890397123324498
"Linear log1p",56.6307035175879,0.890803768911083
"Linear log1p",57.633216080402,0.891202111017748
"Linear log1p",58.6357286432161,0.891592455622268
"Linear log1p",59.6382412060302,0.891975092549681
"Linear log1p",60.6407537688442,0.892350296574477
"Linear log1p",61.6432663316583,0.892718328431093
"Linear log1p",62.6457788944724,0.893079435741664
"Linear log1p",63.6482914572864,0.893433853868986
"Linear log1p",64.6508040201005,0.893781806701785
"Linear log1p",65.6533165829146,0.894123507378593
"Linear log1p",66.6558291457286,0.894459158955877
"Linear log1p",67.6583417085427,0.894788955025474
"Linear log1p",68.6608542713568,0.895113080285842
"Linear log1p",69.6633668341708,0.8954317110712
"Linear log1p",70.6658793969849,0.895745015842209
"Linear log1p",71.668391959799,0.896053155641471
"Linear log1p",72.6709045226131,0.896356284516834
"Linear log1p",73.6734170854271,0.896654549915157
"Linear log1p",74.6759296482412,0.89694809304899
"Linear log1p",75.6784422110553,0.897237049238329
"Linear log1p",76.6809547738693,0.897521548229476
"Linear log1p",77.6834673366834,0.897801714492783
"Linear log1p",78.6859798994975,0.898077667500943
"Linear log1p",79.6884924623115,0.898349521989318
"Linear log1p",80.6910050251256,0.898617388199671
"Linear log1p",81.6935175879397,0.898881372108558
"Linear log1p",82.6960301507538,0.899141575641497
"Linear log1p",83.6985427135678,0.899398096873987
"Linear log1p",84.7010552763819,0.8996510302203
"Linear log1p",85.703567839196,0.899900466610942
"Linear log1p",86.70608040201,0.900146493659583
"Linear log1p",87.7085929648241,0.900389195820181
"Linear log1p",88.7111055276382,0.900628654534992
"Linear log1p",89.7136180904523,0.90086494837409
"Linear log1p",90.7161306532663,0.901098153166959
"Linear log1p",91.7186432160804,0.901328342126698
"Linear log1p",92.7211557788945,0.901555585967336
"Linear log1p",93.7236683417085,0.901779953014686
"Linear log1p",94.7261809045226,0.902001509311182
"Linear log1p",95.7286934673367,0.902220318715066
"Linear log1p",96.7312060301507,0.902436442994299
"Linear log1p",97.7337185929648,0.902649941915513
"Linear log1p",98.7362311557789,0.90286087332833
"Linear log1p",99.738743718593,0.903069293245313
"Linear log1p",100.741256281407,0.903275255917838
"Linear log1p",101.743768844221,0.903478813908113
"Linear log1p",102.746281407035,0.903680018157591
"Linear log1p",103.748793969849,0.903878918051978
"Linear log1p",104.751306532663,0.904075561483042
"Linear log1p",105.753819095477,0.904269994907415
"Linear log1p",106.756331658291,0.904462263402545
"Linear log1p",107.758844221106,0.904652410719979
"Linear log1p",108.76135678392,0.904840479336112
"Linear log1p",109.763869346734,0.905026510500559
