"appid","review_count","attention_tier","high_attention_100","is_free","current_price_usd","days_since_release","log_days","platform_segment","genre_action","genre_adventure","genre_casual","genre_indie","genre_rpg","genre_simulation","genre_strategy","tier_price_spline_1","tier_price_spline_2","tier_price_spline_3"
4021770,121,"Tier3",1,0,8.99,301,5.70711026474888,"Windows only",0,0,0,0,1,0,0,0.200788076739357,-0.0707802778736949,0.0490770781566566
4021980,3,"Tier1",0,0,14.99,356,5.87493073085203,"Windows only",0,1,1,0,0,1,1,0.392571032510476,-0.160815293725573,0.156651314964725
4022550,10,"Tier2",0,0,0.99,314,5.74939298590825,"Windows only",0,0,1,0,0,0,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4022650,1,"Tier1",0,0,0.99,349,5.85507192220243,"Windows only",0,0,1,1,0,1,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4022710,6,"Tier1",0,0,9.99,314,5.74939298590825,"Windows only",1,0,0,1,1,0,0,0.251218860272004,-0.0918672356966252,0.068024739758569
4022780,1,"Tier1",0,0,0.99,345,5.84354441703136,"Windows + Linux",0,0,1,0,0,0,1,-0.10419428022306,-0.415443396766967,0.223507912183871
4022880,4,"Tier1",0,0,3.99,330,5.79909265446053,"Windows only",0,0,1,1,0,1,1,-0.163294420304253,0.0039253576640299,-0.00263922125326072
4023200,4,"Tier1",0,0,4.99,321,5.77144112313002,"Windows only",1,1,0,1,0,0,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4023900,4,"Tier1",0,0,1.99,317,5.75890177387728,"Windows only",0,0,1,1,0,0,0,-0.191000956662677,-0.174609008555128,0.0936365139174693
4024130,1,"Tier1",0,0,4.49,362,5.89164421182577,"Windows only",0,0,1,0,0,1,0,-0.133453755302326,0.0147876202368631,-0.00849676194396054
4025330,133,"Tier3",1,0,6.99,323,5.77765232322266,"Windows + macOS",0,1,1,1,1,1,0,0.0647926208600656,-0.0196821001690604,0.012133851804991
4025420,21,"Tier2",0,0,2.99,268,5.59098698051086,"Windows only",0,1,0,1,0,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4025760,3,"Tier1",0,0,4.99,346,5.84643877505772,"Windows + macOS",0,0,1,1,1,0,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4027120,7,"Tier1",0,0,2.99,321,5.77144112313002,"Windows only",0,0,0,1,0,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4027680,14,"Tier2",0,0,1.99,306,5.72358510195238,"Windows only",0,0,1,1,0,0,0,-0.191000956662677,-0.174609008555128,0.0936365139174693
4028620,3,"Tier1",0,0,0.99,296,5.69035945432406,"Windows only",0,0,1,0,1,0,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4028870,22,"Tier2",0,0,9.99,326,5.78689738136671,"Windows + Linux",0,0,0,1,0,0,0,0.251218860272004,-0.0918672356966252,0.068024739758569
4029000,1,"Tier1",0,0,3.99,287,5.65948221575962,"Windows only",1,1,0,1,0,0,0,-0.163294420304253,0.0039253576640299,-0.00263922125326072
4029480,12,"Tier2",0,0,6.99,345,5.84354441703136,"Windows only",0,0,0,1,1,0,0,0.0647926208600656,-0.0196821001690604,0.012133851804991
4030060,8,"Tier1",0,0,4.99,337,5.82008293035236,"Windows only",0,0,1,0,0,0,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4030450,2,"Tier1",0,0,9.99,325,5.78382518232974,"Windows + macOS + Linux",0,0,1,0,0,0,0,0.251218860272004,-0.0918672356966252,0.068024739758569
4031390,2,"Tier1",0,0,3.48,297,5.6937321388027,"Windows only",0,0,1,0,0,0,0,-0.186490149361295,-0.0178766056130731,0.00911761910817283
4032270,3,"Tier1",0,0,3.99,275,5.61677109766657,"Windows only",0,0,0,1,0,0,1,-0.163294420304253,0.0039253576640299,-0.00263922125326072
4032670,1,"Tier1",0,0,2.99,298,5.6970934865054,"Windows only",1,0,0,0,0,0,1,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4032820,1,"Tier1",0,0,0.99,269,5.59471137960184,"Windows only",0,1,1,0,0,0,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4033140,1,"Tier1",0,0,3.99,345,5.84354441703136,"Windows + macOS",0,1,0,1,1,0,0,-0.163294420304253,0.0039253576640299,-0.00263922125326072
4033260,7,"Tier1",0,0,9.99,325,5.78382518232974,"Windows only",0,0,1,1,1,0,1,0.251218860272004,-0.0918672356966252,0.068024739758569
4033410,3,"Tier1",0,0,4.99,327,5.78996017089725,"Windows only",0,1,0,0,0,0,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4033430,45,"Tier2",0,0,5.99,325,5.78382518232974,"Windows only",0,0,0,1,0,1,0,-0.0168287319568234,0.00432550733585602,-0.00254065785494112
