"model_id","term","estimate_log_odds","std_error","z_value","p_value","odds_ratio","or_ci95_lower","or_ci95_upper","direction","interpretation"
"NONLINEAR_PRICE_DF3_PRIMARY","(Intercept)",1.61093230740049,0.15112905746991,10.6593155172772,1.57754170972139e-26,5.00747756065488,3.72372606640599,6.7338013251505,"POSITIVE","Model intercept; not a substantive effect"
"NONLINEAR_PRICE_DF3_PRIMARY","is_free",-4.23124501812126,0.196069469463222,-21.5803359375895,2.74863729826871e-103,0.0145342838324094,0.00989689589727582,0.0213446123626686,"NEGATIVE","Free versus paid at the centered paid-price reference ($6.00)"
"NONLINEAR_PRICE_DF3_PRIMARY","z_days_since_release",0.0120235312464151,0.0533656550706168,0.22530466890184,0.821742267784079,1.0120961044687,0.911584275862642,1.12369042753768,"POSITIVE","Odds ratio per one market SD of days since release"
"NONLINEAR_PRICE_DF3_PRIMARY","platform_segmentWindows + macOS",0.350081225953443,0.219022930284212,1.59837705348552,0.109959088266534,1.41918281838928,0.923858988170152,2.18007282258577,"POSITIVE","Conditional association"
"NONLINEAR_PRICE_DF3_PRIMARY","platform_segmentWindows + Linux",-0.00602961637358712,0.231439523570237,-0.0260526649924478,0.979215332096953,0.993988525282496,0.631509213665621,1.56452695703093,"NEGATIVE","Conditional association"
"NONLINEAR_PRICE_DF3_PRIMARY","platform_segmentWindows + macOS + Linux",0.692502773484121,0.256427427682119,2.70057996425634,0.00692186952636036,1.99871160101965,1.20914590964997,3.30385938716608,"POSITIVE","Conditional association"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_action",0.106420175110472,0.117007911477138,0.909512645486932,0.363079585889614,1.11228913454454,0.884342261803653,1.3989912868153,"POSITIVE","Conditional association"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_adventure",0.22143774412766,0.116634572828325,1.89856008178291,0.0576223411029534,1.24786955859454,0.992863766736133,1.56837069438627,"POSITIVE","Conditional association"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_casual",-0.413545311587135,0.114408876397121,-3.61462610778286,0.000300781383182518,0.661301569077884,0.528462945434175,0.827531559295189,"NEGATIVE","Conditional association"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_indie",0.166762652400346,0.124397627475398,1.34056135783881,0.180062910453499,1.18147381205388,0.92584150748044,1.50768825688949,"POSITIVE","Conditional association"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_rpg",-0.00523939249586225,0.143581618811188,-0.0364906910734315,0.970891101214788,0.994774309181068,0.750771305018939,1.31807904696319,"NEGATIVE","Conditional association"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_simulation",0.545069225511367,0.141493710242034,3.85225056703222,0.00011703717120957,1.72472777340602,1.30701596478353,2.27593692235485,"POSITIVE","Conditional association"
"NONLINEAR_PRICE_DF3_PRIMARY","genre_strategy",-0.146553602781084,0.13240352163916,-1.10687088203354,0.268349756695023,0.863679435474247,0.666270365496369,1.11957878646665,"NEGATIVE","Conditional association"
