"price_usd","days","predicted_positive_count","central_support"
0.49,365,7.6127053248836,FALSE
1.82892617449664,365,18.952212013672,TRUE
3.16785234899329,365,37.2670528098285,TRUE
4.50677852348993,365,66.3685059774016,TRUE
5.84570469798658,365,111.15782595485,TRUE
7.18463087248322,365,173.937290447939,TRUE
8.52355704697987,365,252.405417725456,TRUE
9.86248322147651,365,341.419209560711,TRUE
11.2014093959732,365,436.604275844047,TRUE
12.5403355704698,365,535.331496920974,TRUE
13.8792617449664,365,635.518217497204,TRUE
15.2181879194631,365,735.551022218486,TRUE
16.5571140939597,365,834.213685515927,TRUE
17.8960402684564,365,930.613751923476,TRUE
19.234966442953,365,1024.11645908249,TRUE
20.5738926174497,365,1114.28876688188,FALSE
21.9128187919463,365,1200.85353531497,FALSE
23.251744966443,365,1283.65278262938,FALSE
24.5906711409396,365,1362.61861808139,FALSE
25.9295973154362,365,1437.75045684484,FALSE
27.2685234899329,365,1509.09727891679,FALSE
28.6074496644295,365,1576.74388900671,FALSE
29.9463758389262,365,1640.80032526181,FALSE
31.2853020134228,365,1701.393733352,FALSE
32.6242281879195,365,1758.66216399062,FALSE
33.9631543624161,365,1812.74986730982,FALSE
35.3020805369128,365,1863.80374982813,FALSE
36.6410067114094,365,1911.97073281971,FALSE
37.979932885906,365,1957.39580833104,FALSE
39.3188590604027,365,2000.22063404279,FALSE
40.6577852348993,365,2040.58254326999,FALSE
41.996711409396,365,2078.61387375646,FALSE
43.3356375838926,365,2114.44154024485,FALSE
44.6745637583893,365,2148.18679242351,FALSE
46.0134899328859,365,2179.96511280994,FALSE
47.3524161073826,365,2209.88621923996,FALSE
48.6913422818792,365,2238.05414452397,FALSE
50.0302684563758,365,2264.56737199745,FALSE
51.3691946308725,365,2289.51901051149,FALSE
52.7081208053691,365,2312.99699617865,FALSE
54.0470469798658,365,2335.08431113658,FALSE
55.3859731543624,365,2355.85921189833,FALSE
56.7248993288591,365,2375.39546166034,FALSE
58.0638255033557,365,2393.76256234796,FALSE
59.4027516778524,365,2411.02598327726,FALSE
60.741677852349,365,2427.24738416745,FALSE
62.0806040268456,365,2442.48483090348,FALSE
63.4195302013423,365,2456.79300296245,FALSE
64.7584563758389,365,2470.22339181456,FALSE
66.0973825503356,365,2482.82448991218,FALSE
67.4363087248322,365,2494.64197011211,FALSE
68.7752348993289,365,2505.7188555489,FALSE
70.1141610738255,365,2516.0956801058,FALSE
71.4530872483221,365,2525.81063972355,FALSE
72.7920134228188,365,2534.89973485302,FALSE
74.1309395973154,365,2543.39690440275,FALSE
75.4698657718121,365,2551.33415156063,FALSE
76.8087919463087,365,2558.74166188501,FALSE
78.1477181208054,365,2565.64791406637,FALSE
79.486644295302,365,2572.07978375994,FALSE
80.8255704697986,365,2578.06264088306,FALSE
82.1644966442953,365,2583.62044076042,FALSE
83.5034228187919,365,2588.77580948803,FALSE
84.8423489932886,365,2593.55012387052,FALSE
86.1812751677852,365,2597.96358627154,FALSE
87.5202013422819,365,2602.03529469903,FALSE
88.8591275167785,365,2605.7833084307,FALSE
90.1980536912752,365,2609.22470946796,FALSE
91.5369798657718,365,2612.37566008949,FALSE
92.8759060402684,365,2615.25145675953,FALSE
94.2148322147651,365,2617.8665806305,FALSE
95.5537583892617,365,2620.23474486396,FALSE
96.8926845637584,365,2622.36893898003,FALSE
98.231610738255,365,2624.28147043123,FALSE
99.5705369127517,365,2625.98400358467,FALSE
100.909463087248,365,2627.48759628315,FALSE
102.248389261745,365,2628.80273414523,FALSE
103.587315436242,365,2629.93936275322,FALSE
104.926241610738,365,2630.9069178681,FALSE
106.265167785235,365,2631.71435380039,FALSE
107.604093959732,365,2632.3701700584,FALSE
108.943020134228,365,2632.88243638546,FALSE
110.281946308725,365,2633.25881629158,FALSE
111.620872483221,365,2633.5065891768,FALSE
112.959798657718,365,2633.63267113728,FALSE
114.298724832215,365,2633.6436345389,FALSE
115.637651006711,365,2633.54572643739,FALSE
116.976577181208,365,2633.3448859185,FALSE
118.315503355705,365,2633.04676042703,FALSE
119.654429530201,365,2632.65672114843,FALSE
120.993355704698,365,2632.17987750305,FALSE
122.332281879195,365,2631.62109080811,FALSE
123.671208053691,365,2630.98498715991,FALSE
125.010134228188,365,2630.27596958431,FALSE
126.349060402685,365,2629.49822950098,FALSE
127.687986577181,365,2628.65575754324,FALSE
129.026912751678,365,2627.75235377351,FALSE
130.365838926175,365,2626.79163733061,FALSE
131.704765100671,365,2625.77705554371,FALSE
133.043691275168,365,2624.7118925449,FALSE
134.382617449664,365,2623.5992774106,FALSE
135.721543624161,365,2622.44219185974,FALSE
137.060469798658,365,2621.24347753527,FALSE
138.399395973154,365,2620.00584289334,FALSE
139.738322147651,365,2618.73186972352,FALSE
141.077248322148,365,2617.42401932134,FALSE
142.416174496644,365,2616.08463833362,FALSE
143.755100671141,365,2614.71596429525,FALSE
145.094026845638,365,2613.3201308756,FALSE
146.432953020134,365,2611.89917285066,FALSE
147.771879194631,365,2610.45503081715,FALSE
149.110805369128,365,2608.98955566257,FALSE
150.449731543624,365,2607.5045128056,FALSE
151.788657718121,365,2606.00158621926,FALSE
153.127583892617,365,2604.48238224915,FALSE
154.466510067114,365,2602.94843323827,FALSE
155.805436241611,365,2601.40120096883,FALSE
157.144362416107,365,2599.84207993138,FALSE
158.483288590604,365,2598.2724004306,FALSE
159.822214765101,365,2596.69343153658,FALSE
161.161140939597,365,2595.10638389015,FALSE
162.500067114094,365,2593.51241236977,FALSE
163.838993288591,365,2591.91261862808,FALSE
165.177919463087,365,2590.30805350416,FALSE
166.516845637584,365,2588.69971931891,FALSE
167.855771812081,365,2587.08857205925,FALSE
169.194697986577,365,2585.47552345723,FALSE
170.533624161074,365,2583.86144296937,FALSE
171.87255033557,365,2582.2471596616,FALSE
173.211476510067,365,2580.63346400464,FALSE
174.550402684564,365,2579.02110958431,FALSE
175.88932885906,365,2577.41081473137,FALSE
177.228255033557,365,2575.80326407484,FALSE
178.567181208054,365,2574.19911002277,FALSE
179.90610738255,365,2572.59897417407,FALSE
181.245033557047,365,2571.00344866497,FALSE
182.583959731544,365,2569.41309745332,FALSE
183.92288590604,365,2567.82845754383,FALSE
185.261812080537,365,2566.25004015727,FALSE
186.600738255034,365,2564.67833184632,FALSE
187.93966442953,365,2563.11379556076,FALSE
189.278590604027,365,2561.55687166437,FALSE
190.617516778524,365,2560.00797890611,FALSE
191.95644295302,365,2558.4675153477,FALSE
193.295369127517,365,2556.93585924949,FALSE
194.634295302013,365,2555.41336991709,FALSE
195.97322147651,365,2553.90038851031,FALSE
197.312147651007,365,2552.39723881619,FALSE
198.651073825503,365,2550.90422798811,FALSE
199.99,365,2549.4216472523,FALSE
