"bin","n_games","percent"
"1",317,14.1454707719768
"2-4",472,21.062025881303
"5-9",313,13.96697902722
"10-19",295,13.1637661758144
"20-49",293,13.074520303436
"50-99",145,6.47032574743418
"100-499",239,10.6648817492191
"500-999",54,2.40963855421687
"1000+",113,5.04239178937974
