"model_id","spline_df","n_games","aic","bic","peak_price_usd","max_abs_probability_difference_vs_df3_full","max_abs_probability_difference_vs_df3_central_5_95","converged","warning_count"
"NONLINEAR_PRICE_DF3_PRIMARY",3,2998,2373.02740184393,2469.11861270253,14.9219236592819,0,0,TRUE,0
"PRICE_SPLINE_DF4_SENSITIVITY",4,2998,2373.94125624571,2476.03816778297,16.2299047965541,0.0526724389352171,0.0116824416508772,TRUE,0
