"price_usd","full","remove_top1_percent","remove_top5_percent"
1.82892617449664,18.952212013672,20.1489467486106,16.6160323449095
3.16785234899329,37.2670528098285,38.4063770307772,22.3067482584324
4.50677852348993,66.3685059774016,56.0744290940411,29.1329122485755
5.84570469798658,111.15782595485,70.3822722627447,37.3868259142879
7.18463087248322,173.937290447939,82.7426632921983,46.6402529147487
8.52355704697987,252.405417725456,95.944758027881,56.0873908283983
9.86248322147651,341.419209560711,111.957199050152,65.0647010203756
11.2014093959732,436.604275844047,131.569446656606,73.3187323765969
12.5403355704698,535.331496920974,155.031268188053,80.8526716173971
13.8792617449664,635.518217497204,182.679991652236,87.7004140178866
15.2181879194631,735.551022218486,214.921684744189,93.9085910910224
16.5571140939597,834.213685515927,252.216552711186,99.5285356822888
17.8960402684564,930.613751923476,295.071705196288,104.611841348652
19.234966442953,1024.11645908249,344.037518115689,109.207995420315
