"model_id","price_usd","price_support_region","predicted_probability","ci95_lower","ci95_upper"
"OPTIONAL_GAM_K5",0.49,"SPARSE_TAIL",0.768792953503955,0.6580954612063,0.851725338663853
"OPTIONAL_GAM_K5",1.49251256281407,"CENTRAL_5_95",0.776526056605657,0.714912031666612,0.828027109275547
"OPTIONAL_GAM_K5",2.49502512562814,"CENTRAL_5_95",0.785870166782347,0.727592928976228,0.834515521855572
"OPTIONAL_GAM_K5",3.49753768844221,"CENTRAL_5_95",0.79660056031281,0.742124755820546,0.842018206987404
"OPTIONAL_GAM_K5",4.50005025125628,"CENTRAL_5_95",0.808154732400812,0.75655896617656,0.85096921519854
"OPTIONAL_GAM_K5",5.50256281407035,"CENTRAL_5_95",0.820105219229241,0.769471921216784,0.861617428607519
"OPTIONAL_GAM_K5",6.50507537688442,"CENTRAL_5_95",0.832074840742536,0.783047247561417,0.871836436264009
"OPTIONAL_GAM_K5",7.50758793969849,"CENTRAL_5_95",0.843438855897118,0.797244253712545,0.880683900548273
"OPTIONAL_GAM_K5",8.51010050251256,"CENTRAL_5_95",0.85335270551328,0.809980087408818,0.888191959505422
"OPTIONAL_GAM_K5",9.51261306532663,"CENTRAL_5_95",0.861547224158733,0.820252464317932,0.894574368945329
"OPTIONAL_GAM_K5",10.5151256281407,"CENTRAL_5_95",0.868056934102712,0.827952968576594,0.899942433651957
"OPTIONAL_GAM_K5",11.5176381909548,"CENTRAL_5_95",0.873024747973575,0.833374792987585,0.904322852069486
"OPTIONAL_GAM_K5",12.5201507537688,"CENTRAL_5_95",0.876621910990441,0.836921199079617,0.907723314881469
"OPTIONAL_GAM_K5",13.5226633165829,"CENTRAL_5_95",0.879094713568288,0.839040913930879,0.910247532858783
"OPTIONAL_GAM_K5",14.525175879397,"CENTRAL_5_95",0.880701534747883,0.840116678518649,0.912062659431244
"OPTIONAL_GAM_K5",15.5276884422111,"CENTRAL_5_95",0.881628845994103,0.840401954030001,0.913304735931563
"OPTIONAL_GAM_K5",16.5302010050251,"CENTRAL_5_95",0.882012367470595,0.840068475067274,0.914081053967551
"OPTIONAL_GAM_K5",17.5327135678392,"CENTRAL_5_95",0.881953052074869,0.839236306575,0.914476146437957
"OPTIONAL_GAM_K5",18.5352261306533,"CENTRAL_5_95",0.881527458320163,0.837991733922249,0.914556896894759
"OPTIONAL_GAM_K5",19.5377386934673,"CENTRAL_5_95",0.880794660180487,0.836398278638489,0.914376605431248
"OPTIONAL_GAM_K5",20.5402512562814,"SPARSE_TAIL",0.879800958964004,0.834503705373822,0.913978118594817
"OPTIONAL_GAM_K5",21.5427638190955,"SPARSE_TAIL",0.878583164568062,0.832344615279666,0.913396202832025
"OPTIONAL_GAM_K5",22.5452763819095,"SPARSE_TAIL",0.877170924167664,0.829949540913366,0.912659335066334
"OPTIONAL_GAM_K5",23.5477889447236,"SPARSE_TAIL",0.875588403454472,0.827341083620664,0.911791054266396
"OPTIONAL_GAM_K5",24.5503015075377,"SPARSE_TAIL",0.873855519500735,0.82453742251653,0.91081098563894
"OPTIONAL_GAM_K5",25.5528140703518,"SPARSE_TAIL",0.871988857767936,0.82155340079705,0.909735621417807
"OPTIONAL_GAM_K5",26.5553266331658,"SPARSE_TAIL",0.870002363110781,0.818401321266856,0.9085789204956
"OPTIONAL_GAM_K5",27.5578391959799,"SPARSE_TAIL",0.867907866732104,0.815091537627073,0.907352772769704
"OPTIONAL_GAM_K5",28.560351758794,"SPARSE_TAIL",0.865715492477415,0.811632899564722,0.906067361972759
"OPTIONAL_GAM_K5",29.562864321608,"SPARSE_TAIL",0.863433973293318,0.808033091366659,0.90473145189076
"OPTIONAL_GAM_K5",30.5653768844221,"SPARSE_TAIL",0.861070900040143,0.804298891767027,0.903352614391684
"OPTIONAL_GAM_K5",31.5678894472362,"SPARSE_TAIL",0.858632918831329,0.800436374706169,0.901937412947337
"OPTIONAL_GAM_K5",32.5704020100503,"SPARSE_TAIL",0.856125888821855,0.796451065213318,0.900491551854632
"OPTIONAL_GAM_K5",33.5729145728643,"SPARSE_TAIL",0.853555009329068,0.792348060841586,0.899019998803855
"OPTIONAL_GAM_K5",34.5754271356784,"SPARSE_TAIL",0.850924922971216,0.788132126420717,0.897527086551409
"OPTIONAL_GAM_K5",35.5779396984925,"SPARSE_TAIL",0.848239799901986,0.783807767988598,0.896016598053406
"OPTIONAL_GAM_K5",36.5804522613065,"SPARSE_TAIL",0.845503407032572,0.779379290379142,0.894491838374437
"OPTIONAL_GAM_K5",37.5829648241206,"SPARSE_TAIL",0.84271916524798,0.77485084192407,0.892955695908663
"OPTIONAL_GAM_K5",38.5854773869347,"SPARSE_TAIL",0.839890196958732,0.770226448962986,0.891410694869133
"OPTIONAL_GAM_K5",39.5879899497487,"SPARSE_TAIL",0.837019365824232,0.765510042277506,0.889859040565454
"OPTIONAL_GAM_K5",40.5905025125628,"SPARSE_TAIL",0.834109310098033,0.760705477121048,0.888302658662197
"OPTIONAL_GAM_K5",41.5930150753769,"SPARSE_TAIL",0.831162470747874,0.755816548171223,0.886743229363187
"OPTIONAL_GAM_K5",42.595527638191,"SPARSE_TAIL",0.828181115272599,0.750847000461823,0.885182217279335
"OPTIONAL_GAM_K5",43.598040201005,"SPARSE_TAIL",0.82516735795787,0.745800537138356,0.883620897594839
"OPTIONAL_GAM_K5",44.6005527638191,"SPARSE_TAIL",0.822123177170914,0.740680824711932,0.882060379036843
"OPTIONAL_GAM_K5",45.6030653266332,"SPARSE_TAIL",0.819050430182467,0.735491496351441,0.880501624068618
"OPTIONAL_GAM_K5",46.6055778894472,"SPARSE_TAIL",0.815950865914976,0.730236153646067,0.878945466659708
"OPTIONAL_GAM_K5",47.6080904522613,"SPARSE_TAIL",0.812826135944791,0.724918367183743,0.877392627933614
"OPTIONAL_GAM_K5",48.6106030150754,"SPARSE_TAIL",0.809677804028776,0.719541676221822,0.875843729951052
"OPTIONAL_GAM_K5",49.6131155778894,"SPARSE_TAIL",0.806507354379402,0.714109587670635,0.874299307852083
"OPTIONAL_GAM_K5",50.6156281407035,"SPARSE_TAIL",0.803316198874781,0.708625574566053,0.872759820551619
"OPTIONAL_GAM_K5",51.6181407035176,"SPARSE_TAIL",0.800105683359413,0.703093074171444,0.871225660158638
"OPTIONAL_GAM_K5",52.6206532663317,"SPARSE_TAIL",0.796877093166228,0.697515485820882,0.86969716026883
"OPTIONAL_GAM_K5",53.6231658291457,"SPARSE_TAIL",0.79363165796986,0.69189616859266,0.868174603262687
"OPTIONAL_GAM_K5",54.6256783919598,"SPARSE_TAIL",0.790370556063964,0.686238438883891,0.866658226725646
"OPTIONAL_GAM_K5",55.6281909547739,"SPARSE_TAIL",0.787094918141198,0.680545567942503,0.865148229093432
"OPTIONAL_GAM_K5",56.6307035175879,"SPARSE_TAIL",0.783805830642719,0.674820779401302,0.863644774613867
"OPTIONAL_GAM_K5",57.633216080402,"SPARSE_TAIL",0.780504338734144,0.669067246849553,0.862147997705952
"OPTIONAL_GAM_K5",58.6357286432161,"SPARSE_TAIL",0.77719144895669,0.663288091470107,0.860658006787741
"OPTIONAL_GAM_K5",59.6382412060302,"SPARSE_TAIL",0.773868131595223,0.657486379764222,0.859174887636259
"OPTIONAL_GAM_K5",60.6407537688442,"SPARSE_TAIL",0.770535322799111,0.65166512138142,0.857698706335425
"OPTIONAL_GAM_K5",61.6432663316583,"SPARSE_TAIL",0.767193926486765,0.645827267067934,0.856229511861419
"OPTIONAL_GAM_K5",62.6457788944724,"SPARSE_TAIL",0.763844816060593,0.639975706744143,0.85476733834914
"OPTIONAL_GAM_K5",63.6482914572864,"SPARSE_TAIL",0.760488835955445,0.634113267718861,0.853312207078299
"OPTIONAL_GAM_K5",64.6508040201005,"SPARSE_TAIL",0.757126803040603,0.628242713046233,0.851864128213109
"OPTIONAL_GAM_K5",65.6533165829146,"SPARSE_TAIL",0.753759507892736,0.622366740029261,0.850423102325511
"OPTIONAL_GAM_K5",66.6558291457286,"SPARSE_TAIL",0.750387715954984,0.616487978872493,0.848989121728323
"OPTIONAL_GAM_K5",67.6583417085427,"SPARSE_TAIL",0.747012168595407,0.61060899148516,0.847562171641483
"OPTIONAL_GAM_K5",68.6608542713568,"SPARSE_TAIL",0.743633584076369,0.604732270435006,0.846142231211837
