"game_type","n_games","has_review_n","zero_review_n","has_review_rate","has_review_percent","raw_risk_difference_free_minus_paid","raw_odds_ratio_free_vs_paid"
"Free",402,34,368,0.0845771144278607,8.45771144278607,-0.764922500660669,0.0163683733574989
"Paid",2598,2207,391,0.84949961508853,84.949961508853,-0.764922500660669,0.0163683733574989
