"bin","observed_n","expected_n","sqrt_observed","sqrt_expected"
"1",317,334.539652818243,17.8044938147649,18.2904251677823
"2-4",471,359.882620358349,21.7025344142107,18.9705724836745
"5-9",313,243.957387735859,17.6918060129541,15.6191353069195
"10-19",295,229.0280679143,17.1755640373177,15.1336733119986
"20-49",293,279.585908935228,17.1172427686237,16.7208226153867
"50-99",145,188.537235695092,12.0415945787923,13.7308861948198
"100-499",239,335.264330485234,15.4596248337403,18.31022475245
"500-999",54,96.9774811711742,7.34846922834953,9.84771451511335
"1000+",113,172.227315177774,10.6301458127346,13.1235404970524
