"genre_id","genre_name","market_games","reviewed_games","model20_games","review_coverage_pct","model20_coverage_pct","median_reviews","positive_rate_all_reviewed","positive_rate_model20","market_composition_pct","model20_composition_pct","composition_change_pp"
23,"Indie",2218,1683,619,75.8791704238052,27.9080252479711,4,0.920634920634921,0.885229786188253,25.2160072760346,24.8994368463395,-0.316570429695059
4,"Casual",1370,977,326,71.3138686131387,23.7956204379562,3,0.9375,0.895920703232305,15.575261482492,13.113435237329,-2.461826245163
25,"Adventure",1187,928,407,78.1802864363943,34.2881213142376,6,0.89914511285479,0.871165644171779,13.4947703501592,16.3716814159292,2.87691106577004
1,"Action",1135,864,322,76.1233480176211,28.3700440528634,5,0.909090909090909,0.850480769230769,12.9035925420646,12.9525341914722,0.04894164940767
28,"Simulation",676,553,259,81.8047337278107,38.3136094674556,8,0.85,0.853658536585366,7.68531150522965,10.4183427192277,2.73303121399803
2,"Strategy",642,474,181,73.8317757009346,28.1931464174455,4,0.9,0.85,7.2987721691678,7.28077232502011,-0.017999844147691
3,"RPG",572,434,209,75.8741258741259,36.5384615384615,7,0.892211703958692,0.866279069767442,6.50295588904047,8.4070796460177,1.90412375697723
37,"Free To Play",396,34,9,8.58585858585859,2.27272727272727,0,1,0.909090909090909,4.50204638472033,0.362027353177796,-4.14001903154253
70,"Early Access",341,259,94,75.9530791788856,27.5659824046921,5,0.888888888888889,0.847483383562483,3.87676216462028,3.78117457763475,-0.0955875869855274
9,"Racing",108,82,21,75.9259259259259,19.4444444444444,3,0.937953897155192,0.909090909090909,1.22783083219645,0.84473049074819,-0.383100341448263
18,"Sports",107,79,33,73.8317757009346,30.8411214953271,4,0.914285714285714,0.9,1.21646202819463,1.32743362831858,0.11097160012395
29,"Massively Multiplayer",43,15,6,34.8837209302326,13.953488372093,0,0.946428571428571,0.675832708165807,0.488858572078217,0.241351568785197,-0.24750700329302
60,"Game Development",1,0,0,0,0,0,,,0.011368804001819,0,-0.011368804001819
