"term","estimate_log_odds","std_error","z_value","p_value","ci95_logit_lower","ci95_logit_upper","odds_ratio","or_ci95_lower","or_ci95_upper"
"(Intercept)",1.77087631067859,0.00946131128557637,187.170282979513,0,1.75233248131234,1.78942014004485,5.87600030770828,5.76804084525429,5.98598042948942
"z_log1p_price",-0.0417282908896476,0.00490856925892909,-8.50111074907221,1.87785106118925e-17,-0.051348909852769,-0.0321076719265261,0.959130349625397,0.949947166777228,0.968402306723517
"z_days_since_release",0.26113824694001,0.00431276539791595,60.5500700469816,0,0.252685382086324,0.269591111793695,1.29840715384245,1.28747814941853,1.30942893120993
"platform_segmentWindows + macOS",0.192994604780871,0.00960228046045452,20.0988302284743,7.55535653259841e-90,0.174174480908928,0.211814728652815,1.21287624976832,1.190263225913,1.23591888350888
"platform_segmentWindows + Linux",0.714457847412537,0.0154087046943701,46.3671581475358,0,0.684257341163158,0.744658353661915,2.04307872152854,1.98229911678471,2.10572189989834
"platform_segmentWindows + macOS + Linux",0.373154440164692,0.0210920781754251,17.6916867584657,4.85986333401232e-70,0.331814726581755,0.414494153747628,1.45230861729564,1.39349464707775,1.51360489564442
"genre_action",0.0197571195806919,0.00713616189551288,2.76859183829824,0.00562991161263041,0.00577049927763954,0.0337437398837442,1.01995358318637,1.00578718067983,1.03431951792382
"genre_adventure",0.00163286548073219,0.007607495909675,0.214639021843647,0.830048767874818,-0.0132775525147666,0.016543283476231,1.00163419933147,0.986810205353019,1.01668088131648
"genre_casual",0.0345669301371484,0.00876231156197503,3.94495560819307,7.98147633250512e-05,0.0173931150543584,0.0517407452199383,1.03517131021533,1.01754525606875,1.05310268521415
"genre_indie",0.215300122656464,0.00869441079836569,24.7630492335299,2.24322770360707e-135,0.198259390624871,0.232340854688057,1.24023406345723,1.21927862225024,1.26154966066808
"genre_rpg",-0.23032194310162,0.00781152242412144,-29.4848981538351,4.49662290565701e-191,-0.245632245717325,-0.215011640485915,0.79427784906224,0.782209833053731,0.806532051697696
"genre_simulation",0.303380170883444,0.00827429052453653,36.6653998894288,2.6009466082887e-294,0.287162859457731,0.319597482309156,1.3544292811533,1.33264122903159,1.37657355759475
"genre_strategy",-0.124238694681526,0.00865208273337645,-14.3593974433763,9.30324764363626e-47,-0.141196465230205,-0.107280924132847,0.883169007976312,0.868318700505247,0.89827329089655
