"specification_id","term","estimate_log_odds","std_error","z_value","p_value","ci95_lower_logit","ci95_upper_logit","odds_ratio","or_ci95_lower","or_ci95_upper","ci_crosses_1","direction","ci_method","threshold"
"PRIMARY","(Intercept)",1.64854792601808,0.0794799043053611,20.7416949029578,1.45700329465069e-95,1.49277017608489,1.80432567595128,5.1994243940999,4.44940409548766,6.07587295956721,FALSE,"+","Wald normal",">=20 (Primary)"
"PRIMARY","z_log1p_price",-0.0730417527083384,0.0321653680584518,-2.27081973927999,0.023157892501763,-0.136084715652379,-0.00999878976429776,0.929562017483736,0.872768692187678,0.990051031943549,FALSE,"-","Wald normal",">=20 (Primary)"
"PRIMARY","z_days_since_release",-0.0174602217714934,0.0305968743691416,-0.570653772043554,0.568234360743685,-0.0774289935745075,0.0425085500315208,0.982691324607685,0.92549273799471,1.04342497765199,TRUE,"-","Wald normal",">=20 (Primary)"
"PRIMARY","platform_segmentWindows + macOS",0.366529652998134,0.1083358116059,3.38327324607567,0.000716273288264698,0.154195364014654,0.578863941981614,1.44271918086519,1.16671879938337,1.78401053958879,FALSE,"+","Wald normal",">=20 (Primary)"
"PRIMARY","platform_segmentWindows + Linux",0.489501800199617,0.165771764774803,2.95286595316514,0.00314838645647288,0.164595111587357,0.814408488811877,1.63150320287972,1.17891569276231,2.25783973981205,FALSE,"+","Wald normal",">=20 (Primary)"
"PRIMARY","platform_segmentWindows + macOS + Linux",0.418186053630357,0.112872129629295,3.70495404847772,0.000211429058503257,0.196960744698604,0.639411362562111,1.51920330139901,1.21769623873481,1.89536486815435,FALSE,"+","Wald normal",">=20 (Primary)"
"PRIMARY","genre_action",-0.124687684110165,0.0655244567545831,-1.90291824283524,0.0570512141588083,-0.2531132594557,0.00373789123536991,0.882772563434394,0.776379944474036,1.00374488586315,TRUE,"-","Wald normal",">=20 (Primary)"
"PRIMARY","genre_adventure",-0.00769179156638015,0.062609430371677,-0.122853562486007,0.902223058739129,-0.130404020187435,0.115020437054675,0.99233771456224,0.877740734297098,1.12189636559501,TRUE,"-","Wald normal",">=20 (Primary)"
"PRIMARY","genre_casual",0.101220050627175,0.0669988735444931,1.51077242455362,0.130846442688238,-0.0300953285247846,0.232535429779135,1.10652010541846,0.970353026816746,1.26179515069055,TRUE,"+","Wald normal",">=20 (Primary)"
"PRIMARY","genre_indie",0.135089176785313,0.0693213115085197,1.94873948350949,0.0513265440200587,-0.000778097132467459,0.270956450703093,1.14463885501351,0.999222205506607,1.31121796652065,TRUE,"+","Wald normal",">=20 (Primary)"
"PRIMARY","genre_rpg",-0.0871883993301128,0.0692183774701941,-1.25961345117713,0.207808840724622,-0.222853926239992,0.0484771275797663,0.916504410549793,0.800231733615687,1.04967136302123,TRUE,"-","Wald normal",">=20 (Primary)"
"PRIMARY","genre_simulation",-0.240956587486069,0.0651969260110111,-3.69582742973762,0.000219171812570787,-0.368740214370373,-0.113172960601764,0.785875742489426,0.69160505616958,0.892996193599071,FALSE,"-","Wald normal",">=20 (Primary)"
"PRIMARY","genre_strategy",-0.191505896848702,0.0746344144908829,-2.56591946429881,0.0102902717221728,-0.337786661258067,-0.0452251324393371,0.82571475597714,0.713347456314887,0.955782280013379,FALSE,"-","Wald normal",">=20 (Primary)"
"TH_GT0","(Intercept)",1.55908662501072,0.0675242344488626,23.0892899080766,5.93198841020643e-118,1.42674155740731,1.69143169261413,4.7544766412624,4.16510529998021,5.42724529255412,FALSE,"+","Wald normal",">0"
"TH_GT0","z_log1p_price",-0.0455980958093568,0.0263759679543328,-1.72877431032314,0.0838494956612544,-0.0972940430572316,0.00609785143851804,0.955425874700415,0.90728918482102,1.00611648118249,TRUE,"-","Wald normal",">0"
"TH_GT0","z_days_since_release",-0.0484974916940341,0.0251412833650992,-1.92899825318216,0.0537310790854129,-0.0977735016147444,0.000778518226676239,0.952659728864919,0.906854281524604,1.00077882135065,TRUE,"-","Wald normal",">0"
"TH_GT0","platform_segmentWindows + macOS",0.229910549496816,0.0902871615665706,2.54643678578042,0.0108828920477807,0.0529509645599886,0.406870134433643,1.25848743256041,1.0543779419654,1.50210902075611,FALSE,"+","Wald normal",">0"
"TH_GT0","platform_segmentWindows + Linux",0.563917681076342,0.130033870338009,4.33669842795958,1.44638854535973e-05,0.309055978443494,0.81877938370919,1.75754452924081,1.36213861876897,2.267730119168,FALSE,"+","Wald normal",">0"
"TH_GT0","platform_segmentWindows + macOS + Linux",0.53095328514248,0.105719029905675,5.02230568721838,5.1054839402042e-07,0.323747794046845,0.738158776238116,1.70055264774634,1.38229863920742,2.09207997876292,FALSE,"+","Wald normal",">0"
