"metric","minimum","p01","p05","p25","median","mean","p75","p95","p99","maximum"
"raw_positive_rate",0,0,0.25,0.740740740740741,0.91566265060241,0.817958457192671,1,1,1,1
"eb_posterior_mean",0.2502234147999,0.497337165362299,0.61813038552312,0.771777905467486,0.852153574587866,0.828199352209808,0.905590772082171,0.959917784950884,0.982682340782504,0.995844426531856
