"group","n_games","review_count","total_eligible_reviews","review_share"
"top_1",1,136842,1071764,0.127679227889722
"top_5",5,409724,1071764,0.382289384603327
"top_10",10,560260,1071764,0.522745679086068
"top_20",20,678562,1071764,0.633126322585942
"top_1pct",9,535657,1071764,0.499790065723424
"top_5pct",43,827877,1071764,0.772443373727798
"top_10pct",85,926217,1071764,0.864198648209867
