"specification_id","price_term","price_scale","baseline_probability","plus_1sd_probability","absolute_probability_contrast"
"PRIMARY","z_log1p_price","per +1 SD log1p price",0.838694701890111,0.828567140679046,-0.0101275612110654
"PRICE_RAW","z_raw_price","per +1 primary-sample SD raw price",0.839898097206064,0.830649989836546,-0.0092481073695182
