"appid","is_free","total_reviews","positive_reviews","negative_reviews","computed_positive_rate","current_price_usd","log1p_current_price","days_since_release","z_log1p_price","z_days_since_release","platform_segment","genre_action","genre_adventure","genre_casual","genre_indie","genre_rpg","genre_simulation","genre_strategy","high_rating_80","high_rating_85","high_rating_90"
1425980,0,1524,1447,77,0.949475065616798,3.99,1.60743590976343,390,-0.929754664727241,0.85423064928016,"Windows only",0,1,1,1,0,1,0,1,1,1
1447820,0,152,141,11,0.927631578947368,19.99,3.04404613383254,388,1.0582700510032,0.814216259029798,"Windows + Linux",1,1,0,1,1,0,0,1,1,1
1449110,0,8398,6147,2251,0.731959990473922,69.99,4.26253902205129,319,2.74445739474864,-0.566280204607693,"Windows only",1,1,0,0,1,0,0,0,0,0
1456570,0,23,18,5,0.782608695652174,14.99,2.77196352684586,339,0.681753903235711,-0.166136302104072,"Windows only",0,1,1,1,0,0,0,0,0,0
1471650,0,489,426,63,0.871165644171779,29.99,3.43366457179966,381,1.59743583961146,0.674165893153531,"Windows only",1,1,0,1,0,0,0,1,1,0
1476400,0,60,48,12,0.8,19.99,3.04404613383254,356,1.0582700510032,0.173986015024005,"Windows only",0,0,0,1,0,0,1,1,0,0
1538550,0,1848,1637,211,0.885822510822511,24.99,3.2577118486534,363,1.35394713505243,0.314036380900273,"Windows only",0,1,1,0,0,0,0,1,1,0
1541370,0,627,553,74,0.881977671451356,12.99,2.63834278867739,319,0.49684548092151,-0.566280204607693,"Windows + macOS",0,0,0,0,0,1,0,1,1,0
1548180,0,197,153,44,0.776649746192893,19.99,3.04404613383254,424,1.0582700510032,1.53447528353632,"Windows only",1,1,0,1,0,0,1,0,0,0
1556010,0,73,69,4,0.945205479452055,10.99,2.48407296903942,277,0.283362234600968,-1.4065823998653,"Windows only",1,0,0,0,0,0,0,1,1,1
1558800,0,102,94,8,0.92156862745098,3.99,1.60743590976343,282,-0.929754664727241,-1.30654642423939,"Windows only",0,0,1,1,0,0,0,1,1,1
1560160,0,75,72,3,0.96,14.99,2.77196352684586,328,0.681753903235711,-0.386215448481063,"Windows only",1,1,1,1,1,0,0,1,1,1
1574570,0,236,207,29,0.877118644067797,4.99,1.79009141212736,311,-0.676990451386808,-0.726337765609141,"Windows + macOS + Linux",0,1,1,1,1,1,0,1,1,0
1575810,0,147,136,11,0.925170068027211,24.99,3.2577118486534,359,1.35394713505243,0.234007600399549,"Windows only",0,1,0,1,1,0,0,1,1,1
1594040,0,359,229,130,0.637883008356546,39.99,3.71332813451625,320,1.98444274340129,-0.546273009482512,"Windows only",1,0,0,0,0,0,0,0,0,0
1599420,0,27,24,3,0.888888888888889,14.99,2.77196352684586,409,0.681753903235711,1.2343673566586,"Windows only",1,1,0,1,0,0,0,1,1,0
1605250,0,725,588,137,0.811034482758621,24.99,3.2577118486534,360,1.35394713505243,0.25401479552473,"Windows only",1,0,0,1,0,0,1,1,0,0
1620730,0,4254,3564,690,0.837799717912553,49.99,3.93162953506706,374,2.28653482969061,0.534115527277264,"Windows only",1,1,0,0,0,0,0,1,0,0
1622630,0,63,44,19,0.698412698412698,29.99,3.43366457179966,376,1.59743583961146,0.574129917527626,"Windows only",1,1,0,0,0,0,0,0,0,0
1623120,0,34,23,11,0.676470588235294,4.99,1.79009141212736,400,-0.676990451386808,1.05430260053197,"Windows only",1,0,0,0,0,0,0,0,0,0
1645630,0,737,465,272,0.630936227951153,24.99,3.2577118486534,283,1.35394713505243,-1.28653922911421,"Windows only",1,1,0,1,0,0,0,0,0,0
1657630,0,43483,41078,2405,0.944691028677874,17.99,2.94391252482419,355,0.919702131710493,0.153978819898824,"Windows only",1,1,1,1,0,1,0,1,1,1
1660960,0,466,432,34,0.927038626609442,19.99,3.04404613383254,306,1.0582700510032,-0.826373741235046,"Windows only",1,1,0,1,0,0,0,1,1,1
1665260,0,295,228,67,0.772881355932203,9.99,2.39698576841553,366,0.162848330158823,0.374057966275816,"Windows + macOS + Linux",1,1,0,1,0,0,0,0,0,0
1670690,0,572,471,101,0.823426573426573,19.99,3.04404613383254,277,1.0582700510032,-1.4065823998653,"Windows only",1,1,0,1,0,0,0,1,0,0
1689390,0,32,28,4,0.875,14.99,2.77196352684586,321,0.681753903235711,-0.526265814357331,"Windows only",1,1,0,1,1,0,0,1,1,0
1693040,0,1056,787,269,0.745265151515151,12.99,2.63834278867739,359,0.49684548092151,0.234007600399549,"Windows only",1,0,0,1,0,0,0,0,0,0
1699230,0,2520,2289,231,0.908333333333333,14.99,2.77196352684586,290,0.681753903235711,-1.14648886323794,"Windows only",1,1,0,1,0,0,0,1,1,1
1714530,0,60,36,24,0.6,24.99,3.2577118486534,342,1.35394713505243,-0.106114716728529,"Windows only",1,1,0,0,1,0,0,0,0,0
1717400,0,50,42,8,0.84,14.99,2.77196352684586,325,0.681753903235711,-0.446237033856606,"Windows + macOS",0,1,0,1,0,0,0,1,0,0
1718460,0,1441,1214,227,0.842470506592644,29.99,3.43366457179966,275,1.59743583961146,-1.44659679011566,"Windows + macOS + Linux",1,0,0,0,0,0,0,1,0,0
1724030,0,153,108,45,0.705882352941177,9.99,2.39698576841553,382,0.162848330158823,0.694173088278712,"Windows + macOS",0,0,0,0,1,0,1,0,0,0
1731000,0,21,17,4,0.80952380952381,9.99,2.39698576841553,263,0.162848330158823,-1.68668313161783,"Windows only",0,0,1,1,1,0,0,1,0,0
1735700,0,8544,8050,494,0.942181647940075,23.99,3.21847574484686,423,1.29965102688788,1.51446808841113,"Windows only",0,1,0,1,1,1,1,1,1,1
1748160,0,27,26,1,0.962962962962963,4.99,1.79009141212736,375,-0.676990451386808,0.554122722402445,"Windows only",1,1,0,1,1,1,1,1,1,1
1752780,0,38,33,5,0.868421052631579,6.99,2.07819075977818,391,-0.278309853045123,0.874237844405341,"Windows + macOS + Linux",1,1,0,0,0,0,0,1,1,0
1757300,0,10663,9095,1568,0.85294945137391,19.99,3.04404613383254,359,1.0582700510032,0.234007600399549,"Windows only",1,1,0,1,0,0,0,1,1,0
1803850,0,31,31,0,1,11.24,2.50470927708418,348,0.311919382355494,0.0139284540225572,"Windows + macOS + Linux",0,0,1,0,0,0,0,1,1,1
1805570,0,42,30,12,0.714285714285714,4.99,1.79009141212736,419,-0.676990451386808,1.43443930791041,"Windows only",0,0,0,1,0,0,1,0,0,0
1817500,0,746,698,48,0.935656836461126,5.99,1.94448055624572,293,-0.463342080238223,-1.0864672778624,"Windows + macOS + Linux",1,0,0,1,0,0,0,1,1,1
1820100,0,66,62,4,0.939393939393939,9.99,2.39698576841553,328,0.162848330158823,-0.386215448481063,"Windows only",1,1,1,1,0,0,0,1,1,1
1856490,0,26,24,2,0.923076923076923,14.99,2.77196352684586,436,0.681753903235711,1.77456162503849,"Windows only",0,0,0,1,1,0,1,1,1,1
1861410,0,43,40,3,0.930232558139535,17.99,2.94391252482419,297,0.919702131710493,-1.00643849736168,"Windows only",1,0,0,0,0,0,1,1,1,1
1864000,0,2301,1952,349,0.848326814428509,18.99,2.99523214851231,402,0.990719780467703,1.09431699078233,"Windows only",0,1,1,1,1,0,0,1,0,0
1869290,0,1466,1345,121,0.917462482946794,25.49,3.27676730328398,394,1.38031664999837,0.934259429780884,"Windows only",1,1,0,1,0,0,0,1,1,1
1869780,0,826,623,203,0.754237288135593,19.99,3.04404613383254,418,1.0582700510032,1.41443211278523,"Windows only",1,1,0,1,1,0,0,0,0,0
1880620,0,1344,1226,118,0.912202380952381,23.99,3.21847574484686,325,1.29965102688788,-0.446237033856606,"Windows only",1,0,1,0,0,0,0,1,1,1
1893440,0,104,96,8,0.923076923076923,14.99,2.77196352684586,310,0.681753903235711,-0.746344960734322,"Windows + macOS + Linux",1,1,0,1,1,0,0,1,1,1
1909840,0,2047,1441,606,0.703957010258915,17.99,2.94391252482419,312,0.919702131710493,-0.70633057048396,"Windows only",1,1,0,1,0,1,0,0,0,0
1926610,0,47,35,12,0.74468085106383,19.99,3.04404613383254,312,1.0582700510032,-0.70633057048396,"Windows + macOS",0,0,1,1,0,1,1,0,0,0
1929290,0,1787,1638,149,0.916620033575825,12.79,2.62394369180521,278,0.476919574794371,-1.38657520474011,"Windows + macOS + Linux",1,0,1,1,0,0,0,1,1,1
1936360,0,181,173,8,0.955801104972376,12.99,2.63834278867739,363,0.49684548092151,0.314036380900273,"Windows only",1,0,0,1,0,0,0,1,1,1
1940870,0,43,35,8,0.813953488372093,6.99,2.07819075977818,320,-0.278309853045123,-0.546273009482512,"Windows only",0,0,1,0,0,1,0,1,0,0
1941370,0,56,52,4,0.928571428571429,14.99,2.77196352684586,290,0.681753903235711,-1.14648886323794,"Windows only",1,0,0,0,0,0,0,1,1,1
1943950,0,136842,123368,13474,0.901536078104676,9.99,2.39698576841553,325,0.162848330158823,-0.446237033856606,"Windows only",1,0,0,1,0,0,0,1,1,1
1961850,0,60,52,8,0.866666666666667,20,3.04452243772342,286,1.05892917474561,-1.22651764373867,"Windows + macOS + Linux",0,1,0,1,0,0,0,1,1,0
1963370,0,6960,4518,2442,0.649137931034483,16.99,2.88981604796244,260,0.844841789473412,-1.74670471699337,"Windows only",0,1,0,1,1,0,0,0,0,0
1968180,0,21,20,1,0.952380952380952,4.49,1.70292825552144,311,-0.797609466016146,-0.726337765609141,"Windows + macOS + Linux",1,1,0,1,0,1,0,1,1,1
1976860,0,123,115,8,0.934959349593496,13.99,2.70738331211451,306,0.592385847181183,-0.826373741235046,"Windows only",1,0,0,1,0,0,1,1,1,1
2000970,0,40,35,5,0.875,11.99,2.56417983068251,339,0.394216534659459,-0.166136302104072,"Windows + Linux",1,1,0,1,0,0,1,1,1,0
2016460,0,3235,2633,602,0.813910355486862,34.99,3.58324112209094,411,1.80442439773998,1.27438174690896,"Windows only",0,0,1,1,1,1,0,1,0,0
2018960,0,30,18,12,0.6,19.99,3.04404613383254,276,1.0582700510032,-1.42658959499048,"Windows only",1,1,0,1,1,1,0,0,0,0
2021390,0,64,53,11,0.828125,3.99,1.60743590976343,283,-0.929754664727241,-1.28653922911421,"Windows + macOS",1,0,0,1,0,0,0,1,0,0
2022230,0,104,96,8,0.923076923076923,19.99,3.04404613383254,405,1.0582700510032,1.15433857615788,"Windows + macOS + Linux",0,0,0,1,0,0,1,1,1,1
2058140,0,177,173,4,0.977401129943503,12.99,2.63834278867739,362,0.49684548092151,0.294029185775092,"Windows only",1,1,1,1,0,0,0,1,1,1
2060160,0,8990,8581,409,0.954505005561735,7.99,2.19611284848353,338,-0.115125697072204,-0.186143497229253,"Windows + macOS",0,0,1,1,0,1,1,1,1,1
2074740,0,20,18,2,0.9,14.99,2.77196352684586,384,0.681753903235711,0.734187478529074,"Windows + macOS",0,1,1,1,1,0,0,1,1,1
2076520,0,146,120,26,0.821917808219178,19.99,3.04404613383254,289,1.0582700510032,-1.16649605836312,"Windows only",1,1,0,1,0,0,0,1,0,0
2077750,0,86,44,42,0.511627906976744,24.99,3.2577118486534,307,1.35394713505243,-0.806366546109865,"Windows only",0,0,0,0,0,1,0,0,0,0
2085620,0,115,80,35,0.695652173913043,11.99,2.56417983068251,312,0.394216534659459,-0.70633057048396,"Windows only",1,1,0,1,1,0,0,0,0,0
2094910,0,959,711,248,0.741397288842544,9.99,2.39698576841553,417,0.162848330158823,1.39442491766005,"Windows only",0,0,1,1,0,0,1,0,0,0
2099220,0,369,319,50,0.86449864498645,4.99,1.79009141212736,429,-0.676990451386808,1.63451125916222,"Windows only",1,0,1,1,0,0,1,1,1,0
2105620,0,894,860,34,0.961968680089485,14.99,2.77196352684586,299,0.681753903235711,-0.966424107111313,"Windows only",1,0,0,0,0,0,0,1,1,1
2112750,0,137,109,28,0.795620437956204,18.99,2.99523214851231,321,0.990719780467703,-0.526265814357331,"Windows + Linux",1,1,0,1,0,0,0,0,0,0
