"conceptual_term","PRIMARY","TH_GT0","TH_10","TH_50","RELEASE_MONTH","PRICE_RAW","GENRE_EXPANDED"
"z_log1p_price","-","-","-","-","-","-","-"
"z_days_since_release","-","-","-","-",,"-","-"
"platform_segmentWindows + macOS","+","+","+","+","+","+","+"
"platform_segmentWindows + Linux","+","+","+","+","+","+","+"
"platform_segmentWindows + macOS + Linux","+","+","+","+","+","+","+"
"genre_indie","+","+","+","+","+","+","+"
"genre_rpg","-","-","-","-","-","-","-"
"genre_simulation","-","-","-","-","-","-","-"
"genre_strategy","-","-","-","-","-","-","-"
