"specification_id","n_games","unique_appids","total_positive_reviews","total_negative_reviews","total_reviews","pooled_positive_rate","n_coefficients","residual_df","convergence_code","converged","positive_definite_hessian","max_abs_fixed_gradient","optimizer","iterations","optimizer_message","warning_count","log_likelihood","aic","bic","beta_precision_phi","intra_game_rho","diagnose_return","dispersion_boundary_flag","extreme_fixed_estimate_or_se_count","formula","response","family","population","threshold","release_spec","price_spec","genre_spec","same_rows_as_primary","aic_comparable_to_primary","delta_aic_vs_primary"
"TH_GT0",2206,2206,949495,127109,1076604,0.881935233382005,13,2192,0,TRUE,TRUE,0.00322510045923741,"nlminb (glmmTMB default)",54,"relative convergence (4)",0,-5087.23422755716,10202.4684551143,10282.2535619117,6.53558441680637,0.132703708788629,FALSE,FALSE,0,"cbind(positive_reviews, negative_reviews) ~ z_log1p_price + z_days_since_release + platform_segment + genre_action + genre_adventure + genre_casual + genre_indie + genre_rpg + genre_simulation + genre_strategy","cbind(positive_reviews, negative_reviews)","glmmTMB::betabinomial(link = logit)","paid; total_reviews > 0",">0","z_days_since_release","z_log1p_price","primary_7",FALSE,FALSE,
"TH_10",1127,1127,946624,126366,1072990,0.882230030102797,13,1113,0,TRUE,TRUE,0.00200315060414402,"nlminb (glmmTMB default)",52,"relative convergence (4)",0,-3977.20183378803,7982.40366757606,8052.78607077261,7.80238520496328,0.113605571298578,FALSE,FALSE,0,"cbind(positive_reviews, negative_reviews) ~ z_log1p_price + z_days_since_release + platform_segment + genre_action + genre_adventure + genre_casual + genre_indie + genre_rpg + genre_simulation + genre_strategy","cbind(positive_reviews, negative_reviews)","glmmTMB::betabinomial(link = logit)","paid; total_reviews >= 10",">=10","z_days_since_release","z_log1p_price","primary_7",FALSE,FALSE,
"PRIMARY",836,836,943294,125730,1069024,0.882388047415212,13,822,0,TRUE,TRUE,0.00249728561476109,"nlminb (glmmTMB default)",61,"relative convergence (4)",0,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,FALSE,FALSE,0,"cbind(positive_reviews, negative_reviews) ~ z_log1p_price + z_days_since_release + platform_segment + genre_action + genre_adventure + genre_casual + genre_indie + genre_rpg + genre_simulation + genre_strategy","cbind(positive_reviews, negative_reviews)","glmmTMB::betabinomial(link = logit)","paid; total_reviews >= 20",">=20 (Primary)","z_days_since_release","z_log1p_price","primary_7",TRUE,TRUE,0
"TH_50",548,548,935666,124209,1059875,0.882807878287534,13,534,0,TRUE,TRUE,0.00201096882662322,"nlminb (glmmTMB default)",59,"relative convergence (4)",0,-2637.49806275276,5302.99612550552,5363.28397952279,9.40181781645829,0.0961370423559764,FALSE,FALSE,0,"cbind(positive_reviews, negative_reviews) ~ z_log1p_price + z_days_since_release + platform_segment + genre_action + genre_adventure + genre_casual + genre_indie + genre_rpg + genre_simulation + genre_strategy","cbind(positive_reviews, negative_reviews)","glmmTMB::betabinomial(link = logit)","paid; total_reviews >= 50",">=50","z_days_since_release","z_log1p_price","primary_7",FALSE,FALSE,
