"comparison","evaluation_n","mean_absolute_difference","median_absolute_difference","p95_absolute_difference","max_absolute_difference","spearman_rank_correlation"
"PRIOR10_VS_ALL",2241,0.00635160921042378,0.00293123753197067,0.0270948356931573,0.0414027569465188,0.998193750678144
"PRIOR20_VS_ALL",2241,0.00794628677154225,0.00355542167680101,0.0353290218968476,0.0601577582921916,0.998078350047964
