"review_count_bin","n_games","median_raw_positive_rate","median_eb_posterior_mean","median_absolute_shrinkage","median_shrinkage_pp","median_wilson_width","median_eb_ci95_width"
"1-9",1102,1,0.852153574587866,0.129518953486559,-9.44092279178288,0.657619772493347,0.460252333696767
"10-19",295,0.909090909090909,0.880188157602032,0.0434131106596307,-2.89027514888772,0.3390148167362,0.274217847374402
"20-49",293,0.888888888888889,0.877677778722419,0.0178197441523644,-0.962299245613873,0.228752522282782,0.209959820979711
"50-99",145,0.870967741935484,0.867118726628925,0.00769888698715782,-0.348096702955225,0.156289385260587,0.149518131489242
"100-499",239,0.868055555555556,0.866427464511003,0.00238833669210126,-0.0912680733745508,0.0921398430463047,0.0909861600759667
"500-999",54,0.834305150631681,0.834245593289409,0.000601337900041354,-0.00595573422726425,0.0548002656496385,0.0545671699046399
"1000+",113,0.894887039239001,0.894790363657019,0.00017011604768824,-0.00571502672563895,0.0224182676583748,0.0224094018539118
