"raw_rate_group","review_count_bin","n_games","median_eb_posterior_mean","median_wilson_lower","median_wilson_upper","median_shrinkage_pp"
"raw_0_percent","1",60,0.710649405258107,0,0.793450685622763,71.0649405258107
"raw_0_percent","2-4",33,0.622555242768293,0,0.657619772493347,62.2555242768293
"raw_0_percent","5-9",3,0.384337366513136,0,0.354330435066687,38.4337366513136
"raw_100_percent","1",257,0.852153574587866,0.206549314377237,1,-14.7846425412134
"raw_100_percent","2-4",275,0.870481046513441,0.342380227506653,1,-12.9518953486559
"raw_100_percent","5-9",140,0.913414570778272,0.609665712097835,1,-8.65854292217277
"raw_100_percent","10-19",102,0.945202489330826,0.771904627645802,1,-5.47975106691736
"raw_100_percent","20-49",46,0.965250183783536,0.86202379532502,1,-3.47498162164644
"raw_100_percent","50-99",7,0.984872350870934,0.942528800411148,1,-1.51276491290655
"raw_100_percent","100+",5,0.992264425641712,0.971082380043122,1,-0.77355743582882
