"specification_id","term","estimate_log_odds","std_error","z_value","p_value","ci95_lower_logit","ci95_upper_logit","odds_ratio","or_ci95_lower","or_ci95_upper","ci_crosses_1","direction","ci_method"
"GENRE_EXPANDED","(Intercept)",1.6421667460677,0.0805918481345856,20.3763381046348,2.71201369999578e-92,1.48420962627639,1.80012386585901,5.16635156546378,4.41147731875618,6.05039685560385,FALSE,"+","Wald normal"
"GENRE_EXPANDED","z_log1p_price",-0.0726759079281605,0.0327060667997732,-2.2220925668954,0.0262770505113361,-0.136778620931677,-0.00857319492464383,0.929902155110678,0.872163283457013,0.991463450114502,FALSE,"-","Wald normal"
"GENRE_EXPANDED","z_days_since_release",-0.0199466840037616,0.0306317936849648,-0.65117584066101,0.514932983899252,-0.079983896408154,0.0400905284006308,0.980250934968713,0.923131211995199,1.04090500139219,TRUE,"-","Wald normal"
"GENRE_EXPANDED","platform_segmentWindows + macOS",0.357701403399194,0.108315291079424,3.30240910433324,0.000958581500380731,0.145407333908551,0.569995472889837,1.43003855207181,1.15651056030321,1.76825904631212,FALSE,"+","Wald normal"
"GENRE_EXPANDED","platform_segmentWindows + Linux",0.491127190496878,0.165785963162068,2.96241721029642,0.00305233881869441,0.166192673556941,0.816061707436815,1.6341571886527,1.18080058885669,2.26157552970988,FALSE,"+","Wald normal"
"GENRE_EXPANDED","platform_segmentWindows + macOS + Linux",0.425927416702513,0.113039065195603,3.76796655178888,0.000164582748232227,0.204374920073057,0.64747991333197,1.53100964537167,1.2267580034476,1.91071957764586,FALSE,"+","Wald normal"
"GENRE_EXPANDED","genre_action",-0.137771796535956,0.0664155488269339,-2.0743906956933,0.038043040732125,-0.267943880250208,-0.00759971282170407,0.87129750216853,0.764950708740686,0.992429091980186,FALSE,"-","Wald normal"
"GENRE_EXPANDED","genre_adventure",0.00152367856010097,0.0633718888153418,0.024043445581065,0.980817954149605,-0.122682941150246,0.125730298270448,1.00152483994806,0.884544070631133,1.13397629167002,TRUE,"+","Wald normal"
"GENRE_EXPANDED","genre_casual",0.0974563749315599,0.0671392044044382,1.45155689281772,0.146624852184319,-0.034134047651812,0.229046797514932,1.10236334983775,0.966441946680666,1.2574008808695,TRUE,"+","Wald normal"
"GENRE_EXPANDED","genre_indie",0.143487397638547,0.0697310743771427,2.05772532432945,0.0396165079709921,0.00681700325606349,0.28015779202103,1.15429226390711,1.0068402919123,1.32333860813733,FALSE,"+","Wald normal"
"GENRE_EXPANDED","genre_rpg",-0.0859111977959503,0.0692696329181803,-1.24024329531855,0.214885418973511,-0.221677183537894,0.0498547879459933,0.91767571922841,0.801173954735394,1.0511184502241,TRUE,"-","Wald normal"
"GENRE_EXPANDED","genre_simulation",-0.257145821217408,0.0661893656153133,-3.88500205171804,0.000102329024200391,-0.386874593982976,-0.12741704845184,0.773255448492998,0.679176262376192,0.880366440564615,FALSE,"-","Wald normal"
"GENRE_EXPANDED","genre_strategy",-0.186108693385506,0.0751577738138196,-2.47624010054547,0.0132774254557003,-0.3334152232188,-0.0388021635522122,0.830183354638351,0.71647263630928,0.961940997312668,FALSE,"-","Wald normal"
"GENRE_EXPANDED","genre_early_access",-0.025751383003606,0.0947797120359111,-0.271697206611569,0.785854849327585,-0.211516205059069,0.160013439051857,0.974577355986731,0.809356165281989,1.17352664197123,TRUE,"-","Wald normal"
"GENRE_EXPANDED","genre_sports",0.213801363076321,0.169656170048824,1.26020387596156,0.207595825000094,-0.118718619974376,0.546321346127018,1.23837664303402,0.88805764729294,1.72688869319127,TRUE,"+","Wald normal"
"GENRE_EXPANDED","genre_racing",0.0592792777128793,0.207972697684453,0.28503394134369,0.775618138580624,-0.348339719516285,0.466898274942044,1.06107153299526,0.7058590413863,1.59503913971507,TRUE,"+","Wald normal"
