"model_id","rating_threshold","term","estimate_log_odds","std_error","z_value","p_value","ci95_logit_lower","ci95_logit_upper","odds_ratio","or_ci95_lower","or_ci95_upper","direction"
"HIGH80",0.8,"(Intercept)",0.748237362068759,0.203661095375094,3.67393370192127,0.000238844729771407,0.349068950081598,1.14740577405592,2.11327179879729,1.41774694073925,3.15001046185526,"POSITIVE"
"HIGH80",0.8,"z_log1p_price",-0.0566109436111731,0.0829852677115164,-0.682180646906762,0.495124730523673,-0.21925907957316,0.106037192350814,0.944961641222511,0.80311362086382,1.11186322854479,"NEGATIVE"
"HIGH80",0.8,"z_days_since_release",-0.0364756167281909,0.0786168870826284,-0.463966688096593,0.642671612307194,-0.190561883986795,0.117610650530413,0.964181603511814,0.826494609364948,1.12480608344793,"NEGATIVE"
"HIGH80",0.8,"platform_segmentWindows + macOS",1.46980000819441,0.372621914326795,3.9444808576271,7.99730412705685e-05,0.73947447626352,2.20012554012529,4.34836541664571,2.09483434000338,9.02614657188116,"POSITIVE"
"HIGH80",0.8,"platform_segmentWindows + Linux",1.2285262320177,0.490718846033822,2.50352364077133,0.012296346523226,0.266734967256352,2.19031749677905,3.41619115135613,1.30569434871347,8.93805046648396,"POSITIVE"
"HIGH80",0.8,"platform_segmentWindows + macOS + Linux",1.09600816298743,0.331994264666325,3.3012864366467,0.000962425728419942,0.445311361167577,1.74670496480729,2.99219778633965,1.56097614753135,5.73567226298447,"POSITIVE"
"HIGH80",0.8,"genre_action",-0.351295101101561,0.169907647674731,-2.06756497373253,0.0386809485790715,-0.684307971241954,-0.0182822309611675,0.703776038124455,0.504439195243554,0.98188387521912,"NEGATIVE"
"HIGH80",0.8,"genre_adventure",-0.169363181537551,0.163587269565888,-1.03530783285882,0.300525172966626,-0.489988338215936,0.151261975140834,0.844202249032997,0.612633538542795,1.16330137420739,"NEGATIVE"
"HIGH80",0.8,"genre_casual",0.140864706113187,0.176609469765473,0.79760562273499,0.425099387074881,-0.205283493955856,0.48701290618223,1.15126887780636,0.814416401554087,1.62744761337851,"POSITIVE"
"HIGH80",0.8,"genre_indie",0.395540280261221,0.182133802171624,2.17170165858891,0.0298781733558293,0.0385645876374943,0.752515972884948,1.48518639108628,1.03931785327499,2.12233303730642,"POSITIVE"
"HIGH80",0.8,"genre_rpg",-0.271020070237837,0.179036796514639,-1.51376742386963,0.130084837535833,-0.621925743313957,0.0798856028382825,0.7626011906642,0.536909491530768,1.08316314979715,"NEGATIVE"
"HIGH80",0.8,"genre_simulation",-0.518272358124218,0.17184971606238,-3.01584646166125,0.002562629869964,-0.855091612359916,-0.18145310388852,0.595548554322597,0.425244231670115,0.834057358433208,"NEGATIVE"
"HIGH80",0.8,"genre_strategy",-0.315738760488609,0.200238256206955,-1.5768153721948,0.114838013500668,-0.708198530981345,0.076721010004128,0.729249934182053,0.49253067749431,1.07974079748702,"NEGATIVE"
"HIGH85",0.85,"(Intercept)",0.251629238823881,0.193938790245592,1.29746730143688,0.194470448815043,-0.128483805262747,0.63174228291051,1.28611910584416,0.879427804405318,1.88088475953511,"POSITIVE"
"HIGH85",0.85,"z_log1p_price",-0.148195403122155,0.0788603093933979,-1.8792140718454,0.0602152689759736,-0.302758769342901,0.00636796309859014,0.862262609673306,0.738777290607925,1.00638828168204,"NEGATIVE"
"HIGH85",0.85,"z_days_since_release",0.00634144334169681,0.0731316495409064,0.0867127075829146,0.930899875276328,-0.136993955888485,0.149676842571879,1.00636159286336,0.871975496433321,1.16145884802156,"POSITIVE"
"HIGH85",0.85,"platform_segmentWindows + macOS",0.900951099639432,0.274949967106739,3.2767819873558,0.00104997407932769,0.36205906655975,1.43984313271911,2.46194355160872,1.43628377579637,4.22003377984764,"POSITIVE"
"HIGH85",0.85,"platform_segmentWindows + Linux",1.11692009872024,0.395074126275302,2.82711527897407,0.00469694159266509,0.342589039997015,1.89125115744346,3.05542927628261,1.40858976890748,6.6276557365639,"POSITIVE"
"HIGH85",0.85,"platform_segmentWindows + macOS + Linux",0.966688148505852,0.279608582363999,3.45729068948035,0.000545635927733272,0.418665397304113,1.51471089970759,2.62922243006003,1.51993169645252,4.54810607796725,"POSITIVE"
"HIGH85",0.85,"genre_action",-0.323543529956198,0.159676392262022,-2.02624524122061,0.0427396596149489,-0.636503507971051,-0.0105835519413444,0.72358045981111,0.52913932475585,0.989472256786125,"NEGATIVE"
"HIGH85",0.85,"genre_adventure",-0.172116296560459,0.152917989913624,-1.12554642300542,0.260357556892868,-0.471830049379421,0.127597456258503,0.841881259580299,0.623859529222874,1.13609558247095,"NEGATIVE"
"HIGH85",0.85,"genre_casual",0.241887014803571,0.163430387211878,1.48006144346937,0.138856849956191,-0.0784306581111461,0.562204687718288,1.27365028105921,0.92456616887333,1.75453644428607,"POSITIVE"
"HIGH85",0.85,"genre_indie",0.225513874852065,0.173583297675643,1.29916805287027,0.193886262603955,-0.11470313690989,0.565730886614021,1.25296641871949,0.891630796895639,1.76073420961311,"POSITIVE"
"HIGH85",0.85,"genre_rpg",-0.0259981425454989,0.170253818050998,-0.152702258563807,0.878633079579772,-0.35968949415589,0.307693209064892,0.974336899393528,0.697892992283895,1.36028360223685,"NEGATIVE"
"HIGH85",0.85,"genre_simulation",-0.435130501901439,0.162706610403238,-2.67432589753452,0.00748796451669728,-0.754029598338375,-0.116231405464503,0.647180203319707,0.470466935183308,0.89026918630476,"NEGATIVE"
"HIGH85",0.85,"genre_strategy",-0.498163343490435,0.188006211936651,-2.64971746602868,0.00805591083292902,-0.866648747756076,-0.129677939224794,0.607645671830738,0.420357916797124,0.878378276560047,"NEGATIVE"
"HIGH90",0.9,"(Intercept)",-0.193129623678834,0.196131858091071,-0.984692775352982,0.324775002551536,-0.577541001758253,0.191281754400586,0.824375108678785,0.561276849813683,1.21080055240966,"NEGATIVE"
"HIGH90",0.9,"z_log1p_price",-0.132646935382983,0.0792586967420275,-1.67359470740132,0.0942102793946004,-0.287991126458939,0.0226972556929728,0.875774242428036,0.749768245308834,1.02295679831636,"NEGATIVE"
"HIGH90",0.9,"z_days_since_release",-0.0477722231632899,0.0729636480722027,-0.654740057898639,0.512635129625534,-0.190778345565462,0.0952338992388827,0.953350913603745,0.826315724398604,1.09991609457823,"NEGATIVE"
"HIGH90",0.9,"platform_segmentWindows + macOS",0.536340498816211,0.253804274137106,2.11320514849359,0.0345832128341177,0.0388932623851523,1.03378773524727,1.70973860937593,1.03965950695154,2.81169564924393,"POSITIVE"
"HIGH90",0.9,"platform_segmentWindows + Linux",1.13543305464795,0.357257696913213,3.17819060151355,0.00148197293101785,0.435220835498326,1.83564527379757,3.11252114283961,1.54530427931375,6.26917817695151,"POSITIVE"
"HIGH90",0.9,"platform_segmentWindows + macOS + Linux",0.892307781382771,0.258138354330605,3.45670361034365,0.000546825928300293,0.386365903866346,1.3982496588992,2.44075588772857,1.47162304487408,4.04810819199381,"POSITIVE"
"HIGH90",0.9,"genre_action",-0.191340482213251,0.160434692296502,-1.19263782336823,0.233011246035849,-0.505786700985159,0.123105736558658,0.825851352579714,0.603030983701669,1.13100400309639,"NEGATIVE"
"HIGH90",0.9,"genre_adventure",-0.0390365304613545,0.152699300916276,-0.255643151128491,0.798226395461859,-0.3383216607217,0.260248599798991,0.961715576590962,0.712965917878905,1.29725254330429,"NEGATIVE"
"HIGH90",0.9,"genre_casual",0.299258626077014,0.162388918812507,1.84285127498469,0.0653507280246712,-0.019017806283899,0.617535058437926,1.34885842832972,0.981161891240073,1.85435153558255,"POSITIVE"
"HIGH90",0.9,"genre_indie",0.039671271927117,0.176255777222014,0.225077853063202,0.821918709658367,-0.305783703495146,0.38512624734938,1.04046868670231,0.736545914534973,1.46979986806598,"POSITIVE"
"HIGH90",0.9,"genre_rpg",-0.244076894157953,0.172619197543083,-1.41396146912938,0.157373215992949,-0.582404304382601,0.094250516066695,0.783427390957168,0.5585538174692,1.0988349872585,"NEGATIVE"
"HIGH90",0.9,"genre_simulation",-0.502411439983964,0.165489732240528,-3.035907020828,0.00239813303880634,-0.826765354986575,-0.178057524981352,0.605069809512503,0.437462034608954,0.83689427977621,"NEGATIVE"
"HIGH90",0.9,"genre_strategy",-0.620289499808909,0.194587799348708,-3.1877101333436,0.00143404216698655,-1.00167457836328,-0.238904421254535,0.537788725323211,0.36726391373726,0.787490146096055,"NEGATIVE"
