"term","profile_ci95_logit_lower","profile_ci95_logit_upper","profile_or_ci95_lower","profile_or_ci95_upper","status","failure_reason"
"(Intercept)",-0.128045239211211,0.633017705685184,0.879813576172125,1.88328521326523,"PASS",""
"z_log1p_price",-0.303537338115266,0.00593544900315547,0.738202325533695,1.0059530986829,"PASS",""
"z_days_since_release",-0.137072783503477,0.149821776138426,0.871906763393672,1.16162719459404,"PASS",""
"platform_segmentWindows + macOS",0.375574070782996,1.45786761676945,1.45582692247622,4.29678735522513,"PASS",""
"platform_segmentWindows + Linux",0.381018691733586,1.94740414905025,1.46377496564571,7.0104658159824,"PASS",""
"platform_segmentWindows + macOS + Linux",0.434359943226348,1.53570513293154,1.54397451127748,4.64459943556481,"PASS",""
"genre_action",-0.637171855052807,-0.01080261114206,0.52878579418603,0.98925552752356,"PASS",""
"genre_adventure",-0.472372720336063,0.127445633705908,0.623521070619474,1.13592311063251,"PASS",""
"genre_casual",-0.0782095167146728,0.56293976480466,0.924770651335982,1.75582663796128,"PASS",""
"genre_indie",-0.115223947190074,0.565836618718968,0.891166547313958,1.76092038558956,"PASS",""
"genre_rpg",-0.35914459560712,0.308889727733723,0.698273376788658,1.36191218108003,"PASS",""
"genre_simulation",-0.755274335010092,-0.116954079410371,0.469881692048614,0.889626044377956,"PASS",""
"genre_strategy",-0.868593360100358,-0.13069656766246,0.419541277883504,0.877483991018183,"PASS",""
