"predictor","level","n_games","high_rated_n","high_rated_percent","not_high_rated_n","not_high_rated_percent"
"platform_segment","Windows + Linux",40,31,77.5,9,22.5
"platform_segment","Windows + macOS",78,56,71.7948717948718,22,28.2051282051282
"platform_segment","Windows + macOS + Linux",75,55,73.3333333333333,20,26.6666666666667
"platform_segment","Windows only",643,329,51.1664074650078,314,48.8335925349922
"genre_action","absent",517,309,59.7678916827853,208,40.2321083172147
"genre_action","present",319,162,50.7836990595611,157,49.2163009404389
"genre_adventure","absent",431,252,58.4686774941995,179,41.5313225058005
"genre_adventure","present",405,219,54.0740740740741,186,45.9259259259259
"genre_casual","absent",512,267,52.1484375,245,47.8515625
"genre_casual","present",324,204,62.962962962963,120,37.037037037037
"genre_indie","absent",222,108,48.6486486486487,114,51.3513513513513
"genre_indie","present",614,363,59.1205211726384,251,40.8794788273616
"genre_rpg","absent",629,359,57.0747217806041,270,42.9252782193959
"genre_rpg","present",207,112,54.1062801932367,95,45.8937198067633
"genre_simulation","absent",581,341,58.6919104991394,240,41.3080895008606
"genre_simulation","present",255,130,50.9803921568627,125,49.0196078431373
"genre_strategy","absent",658,382,58.0547112462006,276,41.9452887537994
"genre_strategy","present",178,89,50,89,50
