"residual_type","min","p01","p05","p25","median","p75","p95","p99","max"
"Pearson",-70.6958320636212,-29.5397796950436,-15.6844866311397,-3.85758826591515,-0.365909312184635,1.80335100397228,7.55953337048717,21.4096472461801,42.143241828939
"Deviance",-58.701871063694,-25.9750501906917,-12.6132786427117,-3.39423546585269,-0.357616298706901,2.12130901609757,9.15804476714118,23.8990809409959,47.4548269221747
"Standardized Pearson",-74.3706242271275,-29.9560763653089,-16.054142873229,-3.85987080428447,-0.366043473875263,1.80443917146512,7.74933418810055,22.1903841180534,57.7120521327522
"Standardized deviance",-61.7532132640926,-27.3828130992846,-12.7450990372746,-3.39536790186623,-0.357748123366771,2.12198478658394,9.50233315297153,24.6791300202924,63.2526015104713
