"genre_name","indicator"
"Action","genre_action"
"Adventure","genre_adventure"
"Casual","genre_casual"
"Early Access","genre_early_access"
"Free To Play","genre_free_to_play"
"Game Development","genre_game_development"
"Indie","genre_indie"
"Massively Multiplayer","genre_massively_multiplayer"
"RPG","genre_rpg"
"Racing","genre_racing"
"Simulation","genre_simulation"
"Sports","genre_sports"
"Strategy","genre_strategy"
