"prior_id","warning_type","warning_count","detail"
"EB_ALL_POSITIVE_N","optimization_audit",0,"convergence=0; gradient_max_abs=3.489818e-07; hessian_min_eigenvalue=2.013623e+02; starts_agree=TRUE"
"EB_N_GE_10","optimization_audit",0,"convergence=0; gradient_max_abs=1.403620e-04; hessian_min_eigenvalue=1.914318e+02; starts_agree=TRUE"
"EB_N_GE_20","optimization_audit",0,"convergence=0; gradient_max_abs=8.752145e-05; hessian_min_eigenvalue=1.725816e+02; starts_agree=TRUE"
