"sample","platform_segment","n_games","share","sparse_lt20","sparse_lt10","sparse_lt5","recommendation","proposed_level","proposed_level_n","reason"
"model20_paid","Windows only",643,0.769138755980861,FALSE,FALSE,FALSE,"retain","Windows only",643,"At least 20 games in model20_paid"
"model20_paid","Windows + macOS",78,0.0933014354066986,FALSE,FALSE,FALSE,"retain","Windows + macOS",78,"At least 20 games in model20_paid"
"model20_paid","Windows + Linux",40,0.0478468899521531,FALSE,FALSE,FALSE,"retain","Windows + Linux",40,"At least 20 games in model20_paid"
"model20_paid","Windows + macOS + Linux",75,0.0897129186602871,FALSE,FALSE,FALSE,"retain","Windows + macOS + Linux",75,"At least 20 games in model20_paid"
"model20_paid","Other",0,0,TRUE,TRUE,TRUE,"merge or omit after review","Other sparse platforms",0,"Sparse level has fewer than 20 games"
