"predictor","scaling_mean","scaling_sd","minus_1sd_original","mean_original","plus_1sd_original","original_unit"
"log1p_current_price",2.27930635818104,0.722631973688152,3.74302152187348,8.76990124657348,19.1245071158975,"USD (back-transformed from log1p)"
"days_since_release",347.303827751196,49.9820186559485,297.321809095248,347.303827751196,397.285846407145,"days"
