"appid","name","total_reviews","raw_positive_rate","eb_all","eb_prior10","eb_prior20"
267390,"Revolution Editions - Shadow & Steel",14,0.857142857142857,0.848266758255084,0.851570924368255,0.851364454763571
427410,"Abiotic Factor",41961,0.959200209718548,0.95918121170699,0.959179971902595,0.959178122033488
444930,"Zaccaria Pinball",214,0.794392523364486,0.795313087872937,0.795892605900695,0.796042826798296
496170,"Desert Race Adventures",9,0.777777777777778,0.797913685011371,0.805664860092241,0.807248908679491
497880,"Doodle WHAT?!",12,0.416666666666667,0.554721224695518,0.575212271992036,0.584447831532193
533610,"Jet Gunner: Refueled",10,0.9,0.872731111014648,0.87523801578664,0.87408406095321
541300,"Survive the Nights",4715,0.683987274655355,0.684172064807053,0.684225089090213,0.684248212898118
606160,"ROUTINE",7248,0.91735651214128,0.917281598570553,0.917280777612465,0.917274001827872
633080,"Relic Hunters Legend",1101,0.659400544959128,0.660323319006908,0.660572934421259,0.660685919558043
660200,"Transistor Defense",1,1,0.852153574587866,0.860194089670355,0.859021775111307
690320,"Snake-A-Roid",5,1,0.905590772082171,0.906157895613021,0.902919151609382
766500,"The Hordes of the Dead",19,0.631578947368421,0.679066386998786,0.688850005105254,0.692800934590329
832360,"Hotel Magnate",419,0.587112171837709,0.59054725699578,0.591376385178277,0.591780057589358
863970,"Survive the Rift",7,0.857142857142857,0.84351180095378,0.848817722790863,0.848639924943097
887330,"Glassbreakers: Champions of Moss",22,0.636363636363636,0.677741013630471,0.686568285759761,0.690174037423315
990380,"METAL EDEN",1910,0.840314136125654,0.840274462466652,0.84031552668697,0.84031716294791
1004640,"FINAL FANTASY TACTICS - The Ivalice Chronicles",5650,0.895398230088496,0.895325704655156,0.895328919736426,0.895322866806147
1024820,"Hockey Club",9,0.666666666666667,0.731543161763258,0.743808968204983,0.747888214016706
1033380,"Skate & Date",8,1,0.925725065222174,0.924720141050274,0.921298523700963
1056170,"SUPERVERSE",37,0.702702702702703,0.720323217966985,0.725092314740969,0.726908270412965
1057580,"Shopkeeper: My First Supermarket",36,0.527777777777778,0.571044988139997,0.57972746273914,0.583837790554689
1058230,"Cozy Jigsaw Puzzles",2,0,0.622555242768293,0.657262542102133,0.670215071609419
1058710,"Monarch : Medieval Remastered",365,0.802739726027397,0.803149204485306,0.803470439169611,0.803546010210783
1101650,"OutSpaceX_EP1",2,0.5,0.746518144640867,0.76635414103533,0.771777466428911
1126340,"Raid on Area 51",8,0.875,0.854636346516529,0.858785823121557,0.85819176819333
1141550,"CUCKOLD SIMULATOR: Life as a Beta Male Cuck",1682,0.932223543400713,0.931848187852536,0.931835178619648,0.931800231905057
1151990,"Slip 'n Slime",76,0.947368421052632,0.938527975849671,0.93817542588223,0.937419719032453
1154140,"Pity Please!",1,1,0.852153574587866,0.860194089670355,0.859021775111307
1156820,"Strike & Resist",36,0.777777777777778,0.784989768273719,0.788221951206258,0.789100900713171
1166940,"Dead Static Drive",43,0.372093023255814,0.428437431954916,0.439034431619088,0.444459242196951
1170570,"The Drifter",4712,0.975382003395586,0.975192208583713,0.975177451894201,0.975158699578583
1191050,"MotoTrials",5,1,0.905590772082171,0.906157895613021,0.902919151609382
1194040,"東１局５３本場",4,1,0.896212616889674,0.89775408144717,0.894724022111121
1201700,"Warnament",477,0.844863731656184,0.844649228333047,0.844801895022563,0.844802079330916
1239360,"Genokids",218,0.986238532110092,0.981948160379185,0.981605886469323,0.981194648481802
1264970,"The Conquest of Go",576,0.947916666666667,0.946664517945574,0.946598896954804,0.946480565552605
1273640,"Bring You Home",206,0.961165048543689,0.957349218499048,0.957114577093153,0.956758090353194
1274700,"You Alone Can Defeat Evil",5,1,0.905590772082171,0.906157895613021,0.902919151609382
1275550,"Arctic Awakening",326,0.840490797546012,0.840258648025783,0.840494999270954,0.840504033777076
1283360,"Geki Yaba Runner",6,0.666666666666667,0.747672325689462,0.761385772518708,0.765486202982612
1292460,"Adventure of Samsara",66,0.893939393939394,0.88837015363434,0.888723280902298,0.888320312764571
1295870,"Next Run",63,0.746031746031746,0.753213001060801,0.755699463304793,0.756555393833591
