"prior_id","minimum_reviews_for_prior_fit","n_games","alpha","beta","prior_mean","prior_precision_ess","prior_variance","prior_mode","log_likelihood","optimizer","convergence_code","gradient_max_abs","hessian_min_eigenvalue","deterministic_starts","starts_agree","relative_alpha_range","relative_beta_range"
"EB_ALL_POSITIVE_N",1,2241,5.02210930338045,1.04482027711562,0.827784340785082,6.06692958049607,0.020172470138875,0.988979332877913,-5198.72272335641,"bounded L-BFGS-B location plus BFGS refinement on log(alpha), log(beta)",0,3.48981778798488e-07,201.362254451888,3,TRUE,1.35730490075349e-06,1.24168509558552e-06
"EB_N_GE_10",10,1139,6.02486853735284,1.14174016376591,0.840686130444421,7.16660870111875,0.0164000707545176,0.972566112131693,-4050.89939353846,"bounded L-BFGS-B location plus BFGS refinement on log(alpha), log(beta)",0,0.000140362010975923,191.431807981654,3,TRUE,6.33119033764487e-07,4.17806253535818e-07
"EB_N_GE_20",20,844,6.59904753920578,1.24711650386651,0.841053985486367,7.8461640430723,0.0151118810744365,0.957730145434536,-3464.0933908976,"bounded L-BFGS-B location plus BFGS refinement on log(alpha), log(beta)",0,8.75214509505972e-05,172.581584971955,3,TRUE,8.56013089029246e-08,7.62547137009783e-08
