"appid","name","is_free","positive_reviews","negative_reviews","total_reviews","raw_positive_rate","wilson_lower_95","wilson_center","wilson_upper_95","wilson_width","eb_posterior_mean","eb_ci95_lower","eb_ci95_upper","data_weight","prior_weight","eb_ci95_width","eb_shrinkage","absolute_shrinkage","eb_shrinkage_pp","raw_rank","wilson_rank","eb_rank","rank_change"
267390,"Revolution Editions - Shadow & Steel",0,12,2,14,0.857142857142857,0.600586205030297,0.780246141879416,0.959906078728535,0.359319873698239,0.848266758255084,0.666627854192177,0.965214221424354,0.69766527778157,0.30233472221843,0.298586367232177,-0.00887609888777308,0.00887609888777308,-0.887609888777308,1330,950,1341,-11
427410,"Abiotic Factor",0,40249,1712,41961,0.959200209718548,0.957264976844056,0.959158174561622,0.961051372279189,0.00378639543513315,0.95918121170699,0.957267500574888,0.961053471346748,0.999855435940027,0.000144564059972935,0.00378597077186005,-1.89980115578026e-05,1.89980115578026e-05,-0.00189980115578026,920,32,117,803
444930,"Zaccaria Pinball",1,170,44,214,0.794392523364486,0.735282717737968,0.789201148124221,0.843119578510475,0.107836860772507,0.795313087872937,0.739682201808941,0.845862305436814,0.972431434418333,0.0275685655816673,0.106180103627873,0.000920564508450683,0.000920564508450683,0.0920564508450683,1547,598,1581,-34
496170,"Desert Race Adventures",0,7,2,9,0.777777777777778,0.452588969106989,0.694681930994571,0.936774892882153,0.484185923775164,0.797913685011371,0.569786239599961,0.952151372444539,0.597334709233019,0.40266529076698,0.382365132844578,0.0201359072335935,0.0201359072335935,2.01359072335935,1575,1265,1551,24
497880,"Doodle WHAT?!",0,5,7,12,0.416666666666667,0.193260313658757,0.436874500554603,0.68048868745045,0.487228373791694,0.554721224695518,0.328854701050569,0.769109250787605,0.664196976389084,0.335803023610916,0.440254549737036,0.138054558028851,0.138054558028851,13.8054558028851,2069,1992,2176,-107
533610,"Jet Gunner: Refueled",0,9,1,10,0.9,0.595849973204762,0.788986880054844,0.982123786904927,0.386273813700165,0.872731111014648,0.677664932231878,0.982519288093029,0.622396454151338,0.377603545848662,0.304854355861151,-0.0272688889853516,0.0272688889853516,-2.72688889853516,1184,970,847,337
541300,"Survive the Nights",0,3225,1490,4715,0.683987274655355,0.670571668000344,0.683837496463973,0.697103324927603,0.0265316569272591,0.684172064807053,0.670840547427181,0.697355785420648,0.99871492404768,0.00128507595231978,0.0265152379934664,0.000184790151697478,0.000184790151697478,0.0184790151697478,1762,779,1995,-233
606160,"ROUTINE",0,6649,599,7248,0.91735651214128,0.910794375213433,0.917135429280597,0.923476483347761,0.0126821081343287,0.917281598570553,0.910835125035537,0.923510154792358,0.999163651281496,0.000836348718503886,0.0126750297568211,-7.49135707274196e-05,7.49135707274196e-05,-0.00749135707274196,1103,119,442,661
633080,"Relic Hunters Legend",0,726,375,1101,0.659400544959128,0.630896428100671,0.658846320075034,0.686796212049398,0.0558997839487276,0.660323319006908,0.632169942496716,0.687928023659006,0.994519816807467,0.00548018319253293,0.0557580811622896,0.000922774047780406,0.000922774047780406,0.0922774047780406,1843,876,2053,-210
660200,"Transistor Defense",0,1,0,1,1,0.206549314377237,0.603274657188619,1,0.793450685622763,0.852153574587866,0.534749383069649,0.995001716766416,0.141504169329759,0.858495830670241,0.460252333696767,-0.147846425412134,0.147846425412134,-14.7846425412134,576,1735,1072,-496
690320,"Snake-A-Roid",0,5,0,5,1,0.565517535216825,0.782758767608413,1,0.434482464783175,0.905590772082171,0.68618151869736,0.996989370906001,0.451796495462645,0.548203504537355,0.310807852208641,-0.0944092279178288,0.0944092279178288,-9.44092279178288,251,1011,524,-273
766500,"The Hordes of the Dead",0,12,7,19,0.631578947368421,0.410395331648031,0.60945010209834,0.808504872548649,0.398109540900619,0.679066386998786,0.488306917807717,0.842788643266784,0.757970773364418,0.242029226635582,0.354481725459067,0.0474874396303647,0.0474874396303647,4.74874396303647,1868,1395,2005,-137
832360,"Hotel Magnate",0,246,173,419,0.587112171837709,0.539385680996645,0.586320769259,0.633255857521355,0.0938701765247103,0.59054725699578,0.543476660682941,0.636810718650958,0.985727119288053,0.0142728807119472,0.0933340579680169,0.00343508515807145,0.00343508515807145,0.343508515807145,1928,1104,2154,-226
863970,"Survive the Rift",0,6,1,7,0.857142857142857,0.486872170725681,0.730596273190469,0.974320375655256,0.487448204929575,0.84351180095378,0.612178260667578,0.97801824063592,0.535703506847418,0.464296493152582,0.365839979968342,-0.0136310561890776,0.0136310561890776,-1.36310561890776,1340,1227,1365,-25
887330,"Glassbreakers: Champions of Moss",0,14,8,22,0.636363636363636,0.42951708090131,0.616092517098824,0.802667953296339,0.373150872395029,0.677741013630471,0.497513183152207,0.833993175975614,0.783840638389173,0.216159361610827,0.336479992823407,0.0413773772668345,0.0413773772668345,4.13773772668345,1861,1385,2007,-146
990380,"METAL EDEN",0,1605,305,1910,0.840314136125654,0.823205314719209,0.839631058259407,0.856056801799605,0.032851487080396,0.840274462466652,0.823543104505964,0.856333067466713,0.996833654666842,0.00316634533315825,0.032789962960749,-3.96736590020375e-05,3.96736590020375e-05,-0.00396736590020375,1392,357,1389,3
