"specification_id","appid","is_free","total_reviews","positive_reviews","negative_reviews"
"TH_GT0",1951060,0,17,14,3
"TH_GT0",1961850,0,60,52,8
"TH_GT0",1962020,0,5,5,0
"TH_GT0",1963370,0,6960,4518,2442
"TH_GT0",1968180,0,21,20,1
"TH_GT0",1968440,0,1,1,0
"TH_GT0",1976860,0,123,115,8
"TH_GT0",1983950,0,2,2,0
"TH_GT0",1985300,0,7,7,0
"TH_GT0",1989960,0,4,4,0
"TH_GT0",1995980,0,7,4,3
"TH_GT0",2000780,0,14,13,1
"TH_GT0",2000970,0,40,35,5
"TH_GT0",2016460,0,3235,2633,602
"TH_GT0",2018960,0,30,18,12
"TH_GT0",2021390,0,64,53,11
"TH_GT0",2022230,0,104,96,8
"TH_GT0",2025870,0,17,16,1
"TH_GT0",2055400,0,1,1,0
"TH_GT0",2058140,0,177,173,4
"TH_GT0",2060160,0,8990,8581,409
"TH_GT0",2070860,0,11,11,0
"TH_GT0",2074740,0,20,18,2
"TH_GT0",2076520,0,146,120,26
"TH_GT0",2077750,0,86,44,42
"TH_GT0",2085620,0,115,80,35
"TH_GT0",2092170,0,6,6,0
"TH_GT0",2094910,0,959,711,248
"TH_GT0",2099220,0,369,319,50
"TH_GT0",2105620,0,894,860,34
"TH_GT0",2112750,0,137,109,28
"TH_GT0",2115390,0,775,634,141
"TH_GT0",2115490,0,37,36,1
"TH_GT0",2117370,0,17,11,6
"TH_GT0",2122880,0,88,63,25
"TH_GT0",2126190,0,1899,1327,572
"TH_GT0",2128430,0,8,2,6
"TH_GT0",2135960,0,86,79,7
"TH_GT0",2140810,0,3,1,2
"TH_GT0",2143760,0,1,1,0
"TH_GT0",2158690,0,31,30,1
"TH_GT0",2165140,0,172,129,43
"TH_GT0",2167530,0,10,8,2
"TH_GT0",2171630,0,1617,1218,399
"TH_GT0",2176710,0,17,15,2
"TH_GT0",2177940,0,1,0,1
"TH_GT0",2179390,0,33,28,5
"TH_GT0",2182990,0,3,3,0
"TH_GT0",2183670,0,590,433,157
"TH_GT0",2185030,0,271,221,50
"TH_GT0",2186270,0,27,16,11
"TH_GT0",2192780,0,18,1,17
"TH_GT0",2201910,0,112,88,24
"TH_GT0",2204560,0,11,10,1
"TH_GT0",2208840,0,1,0,1
"TH_GT0",2212790,0,552,499,53
"TH_GT0",2212830,0,15,14,1
"TH_GT0",2217720,0,22,7,15
"TH_GT0",2218400,0,2920,2437,483
"TH_GT0",2221390,0,90,76,14
"TH_GT0",2221780,0,46,43,3
"TH_GT0",2228490,0,30,27,3
"TH_GT0",2234150,0,1366,1136,230
"TH_GT0",2235200,0,1956,1343,613
"TH_GT0",2238440,0,74,70,4
"TH_GT0",2243700,0,3,2,1
"TH_GT0",2248170,0,11,11,0
"TH_GT0",2262890,0,7,2,5
"TH_GT0",2263360,0,379,378,1
"TH_GT0",2268550,0,18,18,0
"TH_GT0",2271110,0,11,10,1
"TH_GT0",2279180,0,6,3,3
"TH_GT0",2279440,0,95,93,2
"TH_GT0",2282770,0,3,2,1
"TH_GT0",2285150,0,9557,6381,3176
"TH_GT0",2288470,0,2574,2349,225
"TH_GT0",2292540,0,3,2,1
"TH_GT0",2292870,0,24,18,6
"TH_GT0",2296120,0,9,9,0
"TH_GT0",2297590,0,17,14,3
"TH_GT0",2299690,0,62,54,8
"TH_GT0",2300120,0,1083,587,496
"TH_GT0",2308690,0,1403,1187,216
"TH_GT0",2316640,0,12,12,0
"TH_GT0",2319790,0,1009,983,26
"TH_GT0",2321250,0,63,63,0
"TH_GT0",2321470,0,46306,39900,6406
"TH_GT0",2324760,0,22,20,2
"TH_GT0",2327950,0,10,5,5
"TH_GT0",2334690,0,8,8,0
"TH_GT0",2336210,0,7,7,0
"TH_GT0",2345740,0,31,29,2
"TH_GT0",2347080,0,810,588,222
"TH_GT0",2350270,0,621,552,69
"TH_GT0",2352620,0,15273,11436,3837
"TH_GT0",2353100,0,3,3,0
"TH_GT0",2357350,0,22,18,4
"TH_GT0",2359270,0,14,14,0
"TH_GT0",2359390,0,14,14,0
"TH_GT0",2361770,0,3550,2972,578
"TH_GT0",2365410,0,10,9,1
"TH_GT0",2367120,0,108,98,10
"TH_GT0",2372450,0,6,6,0
"TH_GT0",2376990,0,6,5,1
"TH_GT0",2377620,0,21,18,3
"TH_GT0",2377720,0,15,15,0
"TH_GT0",2393510,0,21,20,1
"TH_GT0",2398290,0,3,1,2
"TH_GT0",2402620,0,1,0,1
"TH_GT0",2403600,0,44,43,1
"TH_GT0",2411100,0,29,29,0
"TH_GT0",2416100,0,1338,1296,42
"TH_GT0",2421540,0,86,86,0
"TH_GT0",2424300,0,12,11,1
"TH_GT0",2424480,0,13,8,5
"TH_GT0",2430170,0,16,11,5
"TH_GT0",2430540,0,31,31,0
"TH_GT0",2436660,0,10,10,0
"TH_GT0",2440940,0,1,0,1
"TH_GT0",2444530,0,5,4,1
"TH_GT0",2446540,0,163,117,46
"TH_GT0",2449060,0,4,4,0
"TH_GT0",2451310,0,189,108,81
"TH_GT0",2453160,0,1628,1455,173
"TH_GT0",2460920,0,209,168,41
"TH_GT0",2461360,0,3,2,1
"TH_GT0",2467850,0,513,436,77
"TH_GT0",2471390,0,45,44,1
"TH_GT0",2479770,0,142,135,7
"TH_GT0",2481640,0,368,306,62
"TH_GT0",2483440,0,18,17,1
"TH_GT0",2484630,0,89,83,6
"TH_GT0",2486820,0,11445,10698,747
"TH_GT0",2488250,0,15,15,0
"TH_GT0",2488470,0,81,73,8
"TH_GT0",2495610,0,2,2,0
"TH_GT0",2495630,0,3,2,1
"TH_GT0",2495640,0,2,2,0
"TH_GT0",2500460,0,129,129,0
"TH_GT0",2503550,0,107,105,2
"TH_GT0",2505200,0,5,1,4
"TH_GT0",2507560,0,118,92,26
"TH_GT0",2508780,0,3118,2922,196
"TH_GT0",2521400,0,308,294,14
"TH_GT0",2522040,0,4,2,2
"TH_GT0",2522290,0,12,12,0
"TH_GT0",2523450,0,9,8,1
"TH_GT0",2523720,0,3923,2407,1516
"TH_GT0",2528800,0,13,10,3
"TH_GT0",2529050,0,21,18,3
"TH_GT0",2538520,0,20,20,0
"TH_GT0",2545710,0,1549,1062,487
"TH_GT0",2548500,0,7,6,1
"TH_GT0",2549190,0,2,2,0
"TH_GT0",2549240,0,412,384,28
"TH_GT0",2549930,0,16,12,4
"TH_GT0",2550790,0,83,74,9
"TH_GT0",2552750,0,4,2,2
"TH_GT0",2555950,0,667,621,46
"TH_GT0",2559960,0,83,76,7
"TH_GT0",2560340,0,72,49,23
"TH_GT0",2560730,0,10,10,0
"TH_GT0",2561810,0,5,5,0
"TH_GT0",2567380,0,62,59,3
"TH_GT0",2568650,0,7,7,0
"TH_GT0",2568800,0,4,4,0
"TH_GT0",2571730,0,3,3,0
"TH_GT0",2576200,0,195,162,33
"TH_GT0",2582140,0,1905,1234,671
"TH_GT0",2588400,0,1,1,0
"TH_GT0",2597810,0,256,203,53
"TH_GT0",2602230,0,425,423,2
"TH_GT0",2604780,0,5,3,2
"TH_GT0",2607180,0,3,3,0
"TH_GT0",2610880,0,170,155,15
"TH_GT0",2615540,0,2499,2291,208
"TH_GT0",2617360,0,5,3,2
"TH_GT0",2621760,0,9,9,0
"TH_GT0",2622330,0,2,2,0
"TH_GT0",2632690,0,6,5,1
"TH_GT0",2642760,0,339,333,6
"TH_GT0",2643010,0,135,87,48
"TH_GT0",2643880,0,32,15,17
"TH_GT0",2644020,0,26,24,2
"TH_GT0",2644280,0,8,1,7
"TH_GT0",2651090,0,23,22,1
"TH_GT0",2653120,0,15,15,0
"TH_GT0",2653470,0,447,406,41
"TH_GT0",2656440,0,5,4,1
"TH_GT0",2659530,0,5,5,0
"TH_GT0",2659840,0,5,4,1
"TH_GT0",2673560,0,8,7,1
"TH_GT0",2673790,0,1,1,0
"TH_GT0",2676040,0,3,3,0
"TH_GT0",2676220,0,13,12,1
"TH_GT0",2679310,0,2,2,0
"TH_GT0",2685840,0,214,196,18
"TH_GT0",2687280,0,10,4,6
"TH_GT0",2687400,0,809,567,242
"TH_GT0",2689930,0,431,405,26
"TH_GT0",2691210,0,14,12,2
"TH_GT0",2691340,0,1,1,0
"TH_GT0",2692990,0,2303,1141,1162
"TH_GT0",2695430,0,879,716,163
"TH_GT0",2701070,0,17,11,6
"TH_GT0",2701720,0,1534,1512,22
"TH_GT0",2701800,0,624,520,104
"TH_GT0",2705860,0,277,265,12
"TH_GT0",2707080,0,6,6,0
"TH_GT0",2714970,0,547,218,329
"TH_GT0",2715940,0,9,6,3
"TH_GT0",2717150,0,7,7,0
"TH_GT0",2719740,0,432,345,87
"TH_GT0",2722610,0,78,39,39
"TH_GT0",2722680,0,76,50,26
"TH_GT0",2725250,0,158,155,3
"TH_GT0",2726960,0,29,20,9
"TH_GT0",2727660,0,273,262,11
"TH_GT0",2730810,0,1048,636,412
"TH_GT0",2731330,0,604,558,46
"TH_GT0",2738630,0,1366,650,716
"TH_GT0",2739150,0,47,38,9
"TH_GT0",2740170,0,199,176,23
"TH_GT0",2747330,0,9353,8853,500
"TH_GT0",2749000,0,726,556,170
"TH_GT0",2749690,0,29,29,0
"TH_GT0",2750780,0,4205,3763,442
"TH_GT0",2751920,0,1,1,0
"TH_GT0",2760580,0,208,192,16
"TH_GT0",2764590,0,271,248,23
"TH_GT0",2774180,0,31,27,4
"TH_GT0",2776450,0,2583,2086,497
"TH_GT0",2779730,0,10,7,3
"TH_GT0",2780980,0,16566,14256,2310
"TH_GT0",2780990,0,23,19,4
"TH_GT0",2783460,0,2,1,1
"TH_GT0",2784120,0,3,0,3
"TH_GT0",2784440,0,20,20,0
"TH_GT0",2786550,0,822,713,109
"TH_GT0",2786660,0,27,18,9
"TH_GT0",2787680,0,30,26,4
"TH_GT0",2788430,0,21,13,8
"TH_GT0",2790160,0,31,26,5
"TH_GT0",2797650,0,133,116,17
"TH_GT0",2806120,0,308,261,47
"TH_GT0",2807240,0,18,18,0
"TH_GT0",2808530,0,24,24,0
"TH_GT0",2810550,0,139,123,16
"TH_GT0",2812670,0,62,51,11
"TH_GT0",2813900,0,13,12,1
"TH_GT0",2815080,0,14,13,1
"TH_GT0",2815570,0,2,0,2
"TH_GT0",2819920,0,21,21,0
"TH_GT0",2820450,0,3,2,1
"TH_GT0",2821700,0,6,5,1
"TH_GT0",2823790,0,20,12,8
"TH_GT0",2824490,0,3818,3236,582
"TH_GT0",2824780,0,62,62,0
"TH_GT0",2825880,0,1288,1196,92
"TH_GT0",2826670,0,10,9,1
"TH_GT0",2827080,0,58,51,7
"TH_GT0",2827200,0,8339,7025,1314
"TH_GT0",2831070,0,1,1,0
"TH_GT0",2835650,0,97,92,5
"TH_GT0",2836300,0,45,15,30
"TH_GT0",2845770,0,5,3,2
"TH_GT0",2848680,0,6,2,4
"TH_GT0",2851640,0,26,24,2
"TH_GT0",2854980,0,7,7,0
"TH_GT0",2857670,0,2,2,0
"TH_GT0",2860040,0,1,1,0
"TH_GT0",2863790,0,36,32,4
"TH_GT0",2865380,0,9,9,0
