"term","binomial_estimate","binomial_se","binomial_or","binomial_or_ci_lower","binomial_or_ci_upper","quasi_estimate","quasi_se","quasi_or","quasi_or_ci_lower","quasi_or_ci_upper","beta_estimate","beta_se","beta_or","beta_or_ci_lower","beta_or_ci_upper","beta_profile_or_ci_lower","beta_profile_or_ci_upper","quasi_minus_binomial","beta_minus_binomial","beta_minus_quasi","quasi_relative_abs_estimate_change_pct","beta_relative_abs_estimate_change_pct","beta_or_change_vs_binomial_pct"
"(Intercept)",1.77087631067859,0.00946131128557637,5.87600030770828,5.76804084525429,5.98598042948942,1.77087631067859,0.0811226072555198,5.87600030770828,5.01104637403212,6.89025345985882,1.64854789181884,0.0794798988941229,5.19942421628352,4.44940399051104,6.07587268733727,4.45174804605535,6.08142796619923,3.33066907387547e-15,-0.122328418859751,-0.122328418859754,1.88080277193339e-13,6.90779012187899,11.5142283184909
"z_log1p_price",-0.0417282908896476,0.00490856925892909,0.959130349625397,0.949947166777228,0.968402306723517,-0.0417282908896476,0.0420867598749939,0.959130349625397,0.88308103185322,1.04172889507318,-0.073041801719825,0.0321653648798977,0.92956197192452,0.872768654849208,0.990050977251806,0.872539627685394,0.989941513060224,4.85722573273506e-17,-0.0313135108301774,-0.0313135108301774,1.16401262289419e-13,75.0414411004453,3.0828320376292
"z_days_since_release",0.26113824694001,0.00431276539791595,1.29840715384245,1.28747814941853,1.30942893120993,0.26113824694001,0.0369782541764261,1.29840715384245,1.2075040464592,1.39615361297774,-0.0174600802032998,0.0305968706652562,0.982691463725531,0.925492875733653,1.04342511779306,0.925484142558933,1.04355265698542,-4.44089209850063e-16,-0.27859832714331,-0.278598327143309,1.70059045373036e-13,106.686144372912,24.3156154202173
"platform_segmentWindows + macOS",0.192994604780871,0.00960228046045452,1.21287624976832,1.190263225913,1.23591888350888,0.192994604780871,0.0823312966922798,1.21287624976832,1.03188844745774,1.42560835996986,0.366529394137226,0.108335783042241,1.44271880740164,1.16671856268279,1.7840099779027,1.17244841352267,1.79456622073557,2.4980018054066e-16,0.173534789356355,0.173534789356355,1.29433763614422e-13,89.9169122128513,18.9502068061124
"platform_segmentWindows + Linux",0.714457847412537,0.0154087046943701,2.04307872152854,1.98229911678471,2.10572189989834,0.714457847412537,0.132116390794928,2.04307872152854,1.57638319711641,2.64794161089656,0.489501892940622,0.165771745677179,1.63150335418698,1.17891584622374,2.25783986469395,1.19598652724208,2.29778033087628,-2.22044604925031e-16,-0.224955954471916,-0.224955954471915,3.10787551328861e-14,31.4862458697333,20.1448609397508
"platform_segmentWindows + macOS + Linux",0.373154440164692,0.0210920781754251,1.45230861729564,1.39349464707775,1.51360489564442,0.373154440164692,0.180846430519223,1.45230861729564,1.01834617170581,2.07120169788444,0.418186289208533,0.112872125151793,1.5192036592902,1.2176965362837,1.89536529802776,1.22498632010877,1.90891180656272,-4.44089209850063e-16,0.0450318490438407,0.0450318490438411,1.19009493670788e-13,12.0678850890708,4.60611754264195
"genre_action",0.0197571195806919,0.00713616189551288,1.01995358318637,1.00578718067983,1.03431951792382,0.0197571195806919,0.0611864509356147,1.01995358318637,0.904527343727945,1.1501093019114,-0.124687652573341,0.0655244490550493,0.882772591274237,0.776379980674796,1.00374490237075,0.776589965370336,1.00431146956599,-4.5102810375397e-17,-0.144444772154033,-0.144444772154033,2.28286366295392e-13,731.102383442547,13.4497289066405
"genre_adventure",0.00163286548073219,0.007607495909675,1.00163419933147,0.986810205353019,1.01668088131648,0.00163286548073219,0.0652277347453264,1.00163419933147,0.881262769818478,1.13844712795146,-0.00769169222379799,0.062609422945589,0.992337813143636,0.877740834269532,1.12189646071805,0.877590944935384,1.12202166834828,-4.33680868994202e-18,-0.00932455770453018,-0.00932455770453018,2.65594976507027e-13,571.054861197076,0.928121882623323
"genre_casual",0.0345669301371484,0.00876231156197503,1.03517131021533,1.01754525606875,1.05310268521415,0.0345669301371484,0.0751292857868695,1.03517131021533,0.893239412107004,1.19965557606247,0.101220104036677,0.0669988654247709,1.10652016451714,0.970353094085371,1.26179519800174,0.970622083473116,1.2625217731454,-4.16333634234434e-17,0.0666531738995291,0.0666531738995291,1.20442756294117e-13,192.823527096779,6.89246828981123
"genre_indie",0.215300122656464,0.00869441079836569,1.24023406345723,1.21927862225024,1.26154966066808,0.215300122656464,0.0745470951356616,1.24023406345723,1.07140975617444,1.43566037484281,0.135088797569527,0.0693213076172242,1.14463842094847,0.999221834206709,1.3112174592858,0.997917252191939,1.31000227641964,-2.77555756156289e-17,-0.0802113250869372,-0.0802113250869372,1.28915744557731e-14,37.2555872691831,7.70787106445679
