"term","estimate_log_odds","std_error","z_value","p_value","ci95_lower_logit","ci95_upper_logit","odds_ratio","or_ci95_lower","or_ci95_upper","ci_method","profile_ci95_lower_logit","profile_ci95_upper_logit","profile_or_ci95_lower","profile_or_ci95_upper","profile_ci_status","profile_ci_failure_reason"
"(Intercept)",1.64854789181884,0.0794798988941229,20.7416958848288,1.45697355345198e-95,1.49277015249147,1.80432563114621,5.19942421628352,4.44940399051104,6.07587268733727,"Wald normal",1.49329683838311,1.80523953126383,4.45174804605535,6.08142796619923,"PASS",""
"z_log1p_price",-0.073041801719825,0.0321653648798977,-2.27082148741529,0.0231577866329749,-0.136084758434014,-0.00999884500563598,0.92956197192452,0.872768654849208,0.990050977251806,"Wald normal",-0.136347207386351,-0.0101094153156036,0.872539627685394,0.989941513060224,"PASS",""
"z_days_since_release",-0.0174600802032998,0.0305968706652562,-0.570649214238969,0.568237450919974,-0.077428844746832,0.0425086843402324,0.982691463725531,0.925492875733653,1.04342511779306,"Wald normal",-0.0774382810333271,0.0426309081550334,0.925484142558933,1.04355265698542,"PASS",""
"platform_segmentWindows + macOS",0.366529394137226,0.108335783042241,3.38327174867341,0.000716277193934566,0.154195161137488,0.578863627136964,1.44271880740164,1.16671856268279,1.7840099779027,"Wald normal",0.159094223374807,0.584763332978475,1.17244841352267,1.79456622073557,"PASS",""
"platform_segmentWindows + Linux",0.489501892940622,0.165771745677179,2.95286685279811,0.0031483772814442,0.164595241759016,0.814408544122227,1.63150335418698,1.17891584622374,2.25783986469395,"Wald normal",0.178971390617233,0.831943583419759,1.19598652724208,2.29778033087628,"PASS",""
"platform_segmentWindows + macOS + Linux",0.418186289208533,0.112872125151793,3.70495628257329,0.000211427195007778,0.196960989052522,0.639411589364544,1.5192036592902,1.2176965362837,1.89536529802776,"Wald normal",0.202929676676192,0.646533344914091,1.22498632010877,1.90891180656272,"PASS",""
"genre_action",-0.124687652573341,0.0655244490550493,-1.90291798514149,0.057051247789256,-0.253113212828067,0.00373790768138531,0.882772591274237,0.776379980674796,1.00374490237075,"Wald normal",-0.2528427830012,0.00430220180996467,0.776589965370336,1.00431146956599,"PASS",""
"genre_adventure",-0.00769169222379799,0.062609422945589,-0.122851990354271,0.902224303688343,-0.130403906289988,0.115020521842392,0.992337813143636,0.877740834269532,1.12189646071805,"Wald normal",-0.130574688060464,0.115132119167397,0.877590944935384,1.12202166834828,"PASS",""
"genre_casual",0.101220104036677,0.0669988654247709,1.5107734048173,0.130846192850203,-0.0300952592009193,0.232535467274274,1.10652016451714,0.970353094085371,1.26179519800174,"Wald normal",-0.0298180898763688,0.233111128074425,0.970622083473116,1.2625217731454,"PASS",""
"genre_indie",0.135088797569527,0.0693213076172242,1.94873412249312,0.0513271845718262,-0.000778468721454761,0.270956063860508,1.14463842094847,0.999221834206709,1.3112174592858,"Wald normal",-0.00208491974353028,0.270028874936464,0.997917252191939,1.31000227641964,"PASS",""
"genre_rpg",-0.0871885170435569,0.0692183669455894,-1.25961534331044,0.207808157820386,-0.22285402332559,0.0484769892384761,0.916504302664909,0.800231655924715,1.04967121780835,"Wald normal",-0.22172217850413,0.0499650274546282,0.801137906751346,1.05123433139279,"PASS",""
"genre_simulation",-0.240956521086576,0.0651969181172537,-3.69582685876695,0.000219172305188097,-0.3687401324994,-0.113172909673752,0.785875794671179,0.691605112791962,0.892996239077594,"Wald normal",-0.36812608155516,-0.112246517078005,0.69202992397902,0.893823887485994,"PASS",""
"genre_strategy",-0.191505968627869,0.0746344036460413,-2.56592079888652,0.0102902321307193,-0.337786711781735,-0.0452252254740035,0.825714696708024,0.713347420273958,0.955782191092498,"Wald normal",-0.336560223905398,-0.0435934089156351,0.714222868990416,0.957343125531073,"PASS",""
