"appid","name","total_reviews","positive_rate","fitted_probability","cooks_distance","hat_value","standardized_residual","current_price_usd","days_since_release","platform","genres"
1943950,"Escape the Backrooms",136842,0.901536078104676,0.8679104699717,376.069239717579,0.594787017746082,60.061502858497,9.99,325,"Windows only","Action; Indie"
427410,"Abiotic Factor",41961,0.959200209718548,0.896543103044959,188.503931878581,0.437135312681816,63.2526015104713,34.99,418,"Windows only","Action; Adventure; RPG; Simulation"
2285150,"The Front",9557,0.667678141676258,0.89206904907606,45.3807494896481,0.0963822210959839,-61.7532132640926,19.99,318,"Windows only","Action; Indie; Massively Multiplayer; Simulation"
1657630,"Slime Rancher 2",43483,0.944691028677874,0.912723016733673,31.4101546692004,0.329287100166365,30.7492219696711,17.99,355,"Windows only","Action; Adventure; Casual; Indie; Simulation"
3167020,"Escape From Duckov",83387,0.857219950351973,0.864350550133518,22.2285700083885,0.703330133987668,-10.9606989554738,17.99,332,"Windows + macOS","Action; Adventure; Indie; RPG"
2958130,"Jurassic World Evolution 3",11304,0.935244161358811,0.850456170591916,18.4352009706687,0.225174312970886,31.8114101884292,59.99,327,"Windows only","Simulation; Strategy"
1963370,"No One Survived",6960,0.649137931034483,0.7800747691311,14.0705104915448,0.177787066569131,-27.4829503802055,16.99,260,"Windows only","Adventure; Indie; RPG"
2486820,"Sonic Racing: CrossWorlds",11445,0.934731323722149,0.846512423724559,13.5303658643186,0.174742725728677,31.9712580904796,69.99,353,"Windows only","Action; Adventure; Racing"
3101040,"Magical Girl Witch Trials",29730,0.966296670030272,0.943095155405129,13.046115860667,0.288172040011328,22.0703421100405,29.99,422,"Windows + macOS","Adventure; Indie; Simulation"
1421250,"Tiny Bunny",27145,0.834886719469516,0.861498294789234,12.6277882221676,0.385172683739458,-15.7863436489018,10.99,282,"Windows + macOS","Adventure; Indie"
4035270,"Space Rock Breaker",4621,0.962562215970569,0.808891025139692,12.6120531530808,0.162795520118699,34.2707720135166,2.99,268,"Windows only","Casual"
2692990,"DON'T SCREAM TOGETHER",2303,0.495440729483283,0.856053042067558,11.4843121918636,0.0548727853841922,-41.9957131084352,7.99,284,"Windows only","Casual; Simulation"
3654560,"Plants vs. Zombies<U+2122>: Replanted",6841,0.661306826487356,0.815469349401391,9.48449810150196,0.093728791739357,-31.8295122410319,19.99,325,"Windows only","Strategy"
541300,"Survive the Nights",4715,0.683987274655355,0.872761333582913,8.81119785445042,0.0660368127270652,-34.9210189250669,19.99,282,"Windows only","Action; Adventure; Indie; Massively Multiplayer; Simulation"
2352620,"Fellowship",15273,0.748772343351012,0.802833598521588,8.09624228323514,0.224479033539928,-18.4864881660437,24.99,332,"Windows only","Early Access; RPG"
3447040,"Sora no Kiseki the 1st",5170,0.972920696324952,0.816963456065397,7.99241892859351,0.100065092095303,36.8570287550414,59.99,359,"Windows only","RPG"
3831120,"Mandate Of Heaven",5390,0.910575139146568,0.858975518396974,7.16840683821195,0.341299440427195,14.2357844756885,14.99,298,"Windows + macOS + Linux","RPG; Simulation; Strategy"
2523720,"Gears of War: Reloaded",3923,0.613561050216671,0.869247970740405,6.95425732941149,0.0371428019058123,-40.8754080996737,39.99,383,"Windows only","Action"
2893820,"Of Ash and Steel",6044,0.661647915287889,0.806412852195865,6.43002457495482,0.0860554559107294,-27.6985449600984,29.99,293,"Windows only","Action; Adventure; Indie; RPG"
1004640,"FINAL FANTASY TACTICS - The Ivalice Chronicles",5650,0.895398230088496,0.789936008484275,4.80743288059923,0.126047330816008,22.534645001165,49.99,348,"Windows only","RPG; Strategy"
