"metric","se_inflation","ci_width_inflation"
"minimum",8.57413996928628,8.58676798369097
"median",8.57413996928629,8.58676798369234
"maximum",8.5741399692863,8.58676798369267
"sqrt(phi)",8.57413996928629,
