"release_month","sample","n_games","median_total_reviews","median_positive_rate","share"
"2025-07","model20_all",129,134,0.859872611464968,0.152843601895735
"2025-08","model20_all",147,88,0.893023255813953,0.174170616113744
"2025-09","model20_all",144,89,0.878300691805515,0.170616113744076
"2025-10","model20_all",137,110,0.888888888888889,0.162322274881517
"2025-11","model20_all",176,100.5,0.857142857142857,0.208530805687204
"2025-12","model20_all",111,67,0.876712328767123,0.131516587677725
"2025-07","model20_paid",128,134.5,0.858507734303913,0.15311004784689
"2025-08","model20_paid",146,83,0.893378949774299,0.174641148325359
"2025-09","model20_paid",143,86,0.878787878787879,0.171052631578947
"2025-10","model20_paid",135,110,0.888888888888889,0.161483253588517
"2025-11","model20_paid",173,104,0.857142857142857,0.206937799043062
"2025-12","model20_paid",111,67,0.876712328767123,0.132775119617225
