"term","profile_ci95_logit_lower","profile_ci95_logit_upper","profile_or_ci95_lower","profile_or_ci95_upper","status","failure_reason"
"(Intercept)",1.75234993104941,1.78943768063935,5.7681414969286,5.9860854280657,"PASS",""
"z_log1p_price",-0.0513524148751887,-0.0321111435382307,0.949943837196946,0.96839894481257,"PASS",""
"z_days_since_release",0.252688657037153,0.269594424385879,1.28748236585306,1.30943326882116,"PASS",""
"platform_segmentWindows + macOS",0.174187134022465,0.211827529498261,1.19027828654401,1.23593470441676,"PASS",""
"platform_segmentWindows + Linux",0.684323760831494,0.744725539630121,1.98243078480721,2.10586337961563,"PASS",""
"platform_segmentWindows + macOS + Linux",0.332012421666377,0.414694928290036,1.39377016135294,1.51390881948379,"PASS",""
"genre_action",0.00576425126049668,0.0337375524803948,1.00578089652392,1.03431311819157,"PASS",""
"genre_adventure",-0.0132722665198715,0.0165486250616039,0.986815421640514,1.0166863120187,"PASS",""
"genre_casual",0.017403368662087,0.0517511043268864,1.01755568963215,1.053113594474,"PASS",""
"genre_indie",0.19825073216758,0.232332278269669,1.21926806522407,1.26153884113677,"PASS",""
"genre_rpg",-0.245629666676082,-0.215008980130391,0.782211850407753,0.806534197362549,"PASS",""
"genre_simulation",0.287168886439691,0.319603591159938,1.33264926086044,1.37658196690289,"PASS",""
"genre_strategy",-0.141179700890976,-0.107264022063428,0.86833325741652,0.89828847370238,"PASS",""
