"comparison","spearman","kendall_tau_b"
"RAW_VS_WILSON",0.239460546454593,0.212789502256105
"RAW_VS_EB",0.776077321689239,0.638259006876727
"WILSON_VS_EB",0.672484993318619,0.511103313461312
