"appid","name","is_free","positive_reviews","negative_reviews","total_reviews","raw_positive_rate","wilson_lower_95","wilson_center","wilson_upper_95","wilson_width","eb_posterior_mean","eb_ci95_lower","eb_ci95_upper","data_weight","prior_weight","eb_ci95_width","eb_shrinkage","absolute_shrinkage","eb_shrinkage_pp","raw_rank","wilson_rank","eb_rank","rank_change"
1911200,"Sultan Of Egypt",0,0,1,1,0,0,0.396725342811381,0.793450685622763,0.793450685622763,0.710649405258107,0.356458319924359,0.954614608918397,0.141504169329759,0.858495830670241,0.598156288994038,0.710649405258107,0.710649405258107,71.0649405258107,2182,2182,1877,305
2177940,"Odania Sports Arena",0,0,1,1,0,0,0.396725342811381,0.793450685622763,0.793450685622763,0.710649405258107,0.356458319924359,0.954614608918397,0.141504169329759,0.858495830670241,0.598156288994038,0.710649405258107,0.710649405258107,71.0649405258107,2183,2183,1878,305
2208840,"Amazing Space",0,0,1,1,0,0,0.396725342811381,0.793450685622763,0.793450685622763,0.710649405258107,0.356458319924359,0.954614608918397,0.141504169329759,0.858495830670241,0.598156288994038,0.710649405258107,0.710649405258107,71.0649405258107,2184,2184,1879,305
2402620,"World Guesser",0,0,1,1,0,0,0.396725342811381,0.793450685622763,0.793450685622763,0.710649405258107,0.356458319924359,0.954614608918397,0.141504169329759,0.858495830670241,0.598156288994038,0.710649405258107,0.710649405258107,71.0649405258107,2185,2185,1880,305
2440940,"JUMPING JUMP NINJA",0,0,1,1,0,0,0.396725342811381,0.793450685622763,0.793450685622763,0.710649405258107,0.356458319924359,0.954614608918397,0.141504169329759,0.858495830670241,0.598156288994038,0.710649405258107,0.710649405258107,71.0649405258107,2186,2186,1881,305
2730970,"Westland Survival",1,0,1,1,0,0,0.396725342811381,0.793450685622763,0.793450685622763,0.710649405258107,0.356458319924359,0.954614608918397,0.141504169329759,0.858495830670241,0.598156288994038,0.710649405258107,0.710649405258107,71.0649405258107,2187,2187,1882,305
3052320,"Ground Mine Girl ",0,0,1,1,0,0,0.396725342811381,0.793450685622763,0.793450685622763,0.710649405258107,0.356458319924359,0.954614608918397,0.141504169329759,0.858495830670241,0.598156288994038,0.710649405258107,0.710649405258107,71.0649405258107,2188,2188,1883,305
3064730,"Twisted Jam",0,0,1,1,0,0,0.396725342811381,0.793450685622763,0.793450685622763,0.710649405258107,0.356458319924359,0.954614608918397,0.141504169329759,0.858495830670241,0.598156288994038,0.710649405258107,0.710649405258107,71.0649405258107,2189,2189,1884,305
3146630,"ShoPaDen - Cyber World Rampage",0,0,1,1,0,0,0.396725342811381,0.793450685622763,0.793450685622763,0.710649405258107,0.356458319924359,0.954614608918397,0.141504169329759,0.858495830670241,0.598156288994038,0.710649405258107,0.710649405258107,71.0649405258107,2190,2190,1885,305
3154910,"SERK: Chaos City Delivery ",0,0,1,1,0,0,0.396725342811381,0.793450685622763,0.793450685622763,0.710649405258107,0.356458319924359,0.954614608918397,0.141504169329759,0.858495830670241,0.598156288994038,0.710649405258107,0.710649405258107,71.0649405258107,2191,2191,1886,305
