"model_id","rating_threshold","term","estimate_log_odds","std_error","z_value","p_value","ci95_logit_lower","ci95_logit_upper","odds_ratio","or_ci95_lower","or_ci95_upper","direction"
"HIGH85",0.85,"(Intercept)",0.251629238823881,0.193938790245592,1.29746730143688,0.194470448815043,-0.128483805262747,0.63174228291051,1.28611910584416,0.879427804405318,1.88088475953511,"POSITIVE"
"HIGH85",0.85,"z_log1p_price",-0.148195403122155,0.0788603093933979,-1.8792140718454,0.0602152689759736,-0.302758769342901,0.00636796309859014,0.862262609673306,0.738777290607925,1.00638828168204,"NEGATIVE"
"HIGH85",0.85,"z_days_since_release",0.00634144334169681,0.0731316495409064,0.0867127075829146,0.930899875276328,-0.136993955888485,0.149676842571879,1.00636159286336,0.871975496433321,1.16145884802156,"POSITIVE"
"HIGH85",0.85,"platform_segmentWindows + macOS",0.900951099639432,0.274949967106739,3.2767819873558,0.00104997407932769,0.36205906655975,1.43984313271911,2.46194355160872,1.43628377579637,4.22003377984764,"POSITIVE"
"HIGH85",0.85,"platform_segmentWindows + Linux",1.11692009872024,0.395074126275302,2.82711527897407,0.00469694159266509,0.342589039997015,1.89125115744346,3.05542927628261,1.40858976890748,6.6276557365639,"POSITIVE"
"HIGH85",0.85,"platform_segmentWindows + macOS + Linux",0.966688148505852,0.279608582363999,3.45729068948035,0.000545635927733272,0.418665397304113,1.51471089970759,2.62922243006003,1.51993169645252,4.54810607796725,"POSITIVE"
"HIGH85",0.85,"genre_action",-0.323543529956198,0.159676392262022,-2.02624524122061,0.0427396596149489,-0.636503507971051,-0.0105835519413444,0.72358045981111,0.52913932475585,0.989472256786125,"NEGATIVE"
"HIGH85",0.85,"genre_adventure",-0.172116296560459,0.152917989913624,-1.12554642300542,0.260357556892868,-0.471830049379421,0.127597456258503,0.841881259580299,0.623859529222874,1.13609558247095,"NEGATIVE"
"HIGH85",0.85,"genre_casual",0.241887014803571,0.163430387211878,1.48006144346937,0.138856849956191,-0.0784306581111461,0.562204687718288,1.27365028105921,0.92456616887333,1.75453644428607,"POSITIVE"
"HIGH85",0.85,"genre_indie",0.225513874852065,0.173583297675643,1.29916805287027,0.193886262603955,-0.11470313690989,0.565730886614021,1.25296641871949,0.891630796895639,1.76073420961311,"POSITIVE"
"HIGH85",0.85,"genre_rpg",-0.0259981425454989,0.170253818050998,-0.152702258563807,0.878633079579772,-0.35968949415589,0.307693209064892,0.974336899393528,0.697892992283895,1.36028360223685,"NEGATIVE"
"HIGH85",0.85,"genre_simulation",-0.435130501901439,0.162706610403238,-2.67432589753452,0.00748796451669728,-0.754029598338375,-0.116231405464503,0.647180203319707,0.470466935183308,0.89026918630476,"NEGATIVE"
"HIGH85",0.85,"genre_strategy",-0.498163343490435,0.188006211936651,-2.64971746602868,0.00805591083292902,-0.866648747756076,-0.129677939224794,0.607645671830738,0.420357916797124,0.878378276560047,"NEGATIVE"
